Compute Time (s),Max Component Size,partition_lgraph_louvain,,Average Compute Size,Average Compute Time (s)
0.0674892,21,,,25.15,0.062677634
0.0737958,20,,,,
0.0578432,29,,,,
0.0756189,23,,,,
0.0844168,36,,,,
0.0661604,47,,,,
0.0655955,21,,,,
0.0703472,21,,,,
0.0650058,32,,,,
0.0609466,19,,,,
0.0633644,32,,,,
0.0616475,23,,,,
0.0619926,57,,,,
0.0632083,23,,,,
0.0664424,40,,,,
0.069762,40,,,,
0.0654812,35,,,,
0.065267,21,,,,
0.0671947,17,,,,
0.0722971,21,,,,
0.0597092,22,,,,
0.0687173,20,,,,
0.0672725,22,,,,
0.0619313,22,,,,
0.0560108,22,,,,
0.0667759,28,,,,
0.0534245,22,,,,
0.0663297,20,,,,
0.0553528,23,,,,
0.0522049,23,,,,
0.059478,28,,,,
0.0683689,20,,,,
0.0594008,22,,,,
0.0555526,30,,,,
0.0591418,23,,,,
0.062832,24,,,,
0.0636702,21,,,,
0.0584962,38,,,,
0.0676709,23,,,,
0.063112,37,,,,
0.0666668,23,,,,
0.0639545,26,,,,
0.0601052,24,,,,
0.0616898,21,,,,
0.0598245,18,,,,
0.0672068,23,,,,
0.0625544,41,,,,
0.067837,23,,,,
0.0623768,23,,,,
0.0616457,23,,,,
0.0591579,23,,,,
0.0657217,23,,,,
0.0653247,23,,,,
0.0670091,22,,,,
0.0643878,23,,,,
0.0579909,23,,,,
0.0608915,37,,,,
0.0592983,35,,,,
0.0584345,23,,,,
0.1013457,21,,,,
0.0580694,21,,,,
0.0566183,23,,,,
0.0645362,22,,,,
0.0627373,23,,,,
0.0685061,21,,,,
0.056097,31,,,,
0.0631478,35,,,,
0.068515,21,,,,
0.0767348,21,,,,
0.0668129,40,,,,
0.0674408,29,,,,
0.076216,32,,,,
0.062361,27,,,,
0.0545855,23,,,,
0.0597076,57,,,,
0.0654844,29,,,,
0.0582656,22,,,,
0.0625072,23,,,,
0.0604001,25,,,,
0.0638508,36,,,,
0.0629913,37,,,,
0.0630027,23,,,,
0.0578646,18,,,,
0.0611445,23,,,,
0.063832,26,,,,
0.0614344,21,,,,
0.0556502,21,,,,
0.0659938,17,,,,
0.0572247,27,,,,
0.0649514,23,,,,
0.0598813,22,,,,
0.0577231,23,,,,
0.056221,23,,,,
0.0627937,24,,,,
0.0583631,15,,,,
0.0566702,21,,,,
0.0697078,22,,,,
0.0587716,29,,,,
0.0613961,22,,,,
0.0564909,20,,,,
0.0598751,20,,,,
0.0632782,21,,,,
0.0548783,23,,,,
0.0639659,40,,,,
0.0583779,21,,,,
0.0631449,24,,,,
0.0678954,14,,,,
0.0585062,26,,,,
0.0579437,33,,,,
0.0577845,23,,,,
0.0659484,26,,,,
0.0536396,23,,,,
0.0620625,20,,,,
0.0550856,23,,,,
0.0630069,22,,,,
0.0645404,21,,,,
0.0684223,29,,,,
0.066768,21,,,,
0.0609793,21,,,,
0.0672492,52,,,,
0.0614825,22,,,,
0.0565668,32,,,,
0.0555555,23,,,,
0.062493,37,,,,
0.0685603,21,,,,
0.058515,45,,,,
0.0541794,23,,,,
0.0659873,22,,,,
0.067908,22,,,,
0.0593782,23,,,,
0.0630124,22,,,,
0.0681024,23,,,,
0.0620219,20,,,,
0.0551518,15,,,,
0.06327,23,,,,
0.060835,29,,,,
0.0601163,23,,,,
0.0728397,33,,,,
0.0558813,15,,,,
0.0556814,22,,,,
0.0566553,20,,,,
0.0625667,21,,,,
0.061708,23,,,,
0.0620315,20,,,,
0.055324,23,,,,
0.0663528,30,,,,
0.0623075,18,,,,
0.0647199,21,,,,
0.0542728,23,,,,
0.0659046,23,,,,
0.0640154,34,,,,
0.0640195,20,,,,
0.0650089,34,,,,
0.0550065,19,,,,
0.0661641,20,,,,
0.0664292,21,,,,
0.0664016,20,,,,
0.0675507,23,,,,
0.0652901,21,,,,
0.0626369,23,,,,
0.0655236,19,,,,
0.0637296,28,,,,
0.0614988,32,,,,
0.0557965,23,,,,
0.0673506,27,,,,
0.0691625,20,,,,
0.0580362,23,,,,
0.0659479,17,,,,
0.0562282,39,,,,
0.0597486,29,,,,
0.0650164,18,,,,
0.0658855,21,,,,
0.0618856,41,,,,
0.0577666,20,,,,
0.0617614,28,,,,
0.063324,24,,,,
0.0598883,51,,,,
0.0673962,23,,,,
0.0608606,33,,,,
0.061327,23,,,,
0.060715,23,,,,
0.0577209,29,,,,
0.065975,21,,,,
0.0681174,17,,,,
0.0570602,24,,,,
0.0567996,18,,,,
0.0638724,21,,,,
0.0613479,21,,,,
0.0623947,28,,,,
0.0628059,15,,,,
0.0639852,17,,,,
0.0678839,17,,,,
0.0640882,24,,,,
0.0604276,34,,,,
0.0594103,23,,,,
0.0541211,23,,,,
0.0640185,21,,,,
0.0560068,29,,,,
0.0590854,21,,,,
0.0588454,26,,,,
