Max Component Sizes,Compute Time (s),partition_lgraph_spectral,,Average Compute Size,Average Compute Time (s)
0.7853398,39,,,39.34,0.812804329
0.8750731,33,,,,
0.7931873,34,,,,
0.8488581,55,,,,
0.7658386,29,,,,
0.8112328,55,,,,
0.8108669,45,,,,
0.788943,21,,,,
0.8122655,33,,,,
0.7960946,67,,,,
0.8239304,46,,,,
0.7768958,34,,,,
0.9025371,33,,,,
0.8059803,32,,,,
0.8780965,33,,,,
0.9020216,48,,,,
0.8157856,34,,,,
0.8005572,34,,,,
0.8681642,24,,,,
0.7705187,43,,,,
0.7877684,28,,,,
0.7992912,55,,,,
0.7893908,67,,,,
0.7657025,33,,,,
0.8000844,55,,,,
0.8491916,33,,,,
0.864816,64,,,,
0.7786586,55,,,,
0.8387766,34,,,,
0.8299057,33,,,,
0.8025597,34,,,,
0.8204552,55,,,,
0.7780065,34,,,,
0.8102199,34,,,,
0.7649509,53,,,,
0.8367009,34,,,,
0.8554218,34,,,,
0.7853648,33,,,,
0.8011159,34,,,,
0.8248905,21,,,,
0.8599127,34,,,,
0.7770264,57,,,,
0.7666409,58,,,,
0.7908823,34,,,,
0.8011982,34,,,,
0.7938784,34,,,,
0.7854769,44,,,,
0.7616586,21,,,,
0.7795245,34,,,,
0.7997487,67,,,,
0.8334231,33,,,,
0.8663353,34,,,,
0.7769002,22,,,,
0.773524,54,,,,
0.7891592,34,,,,
0.7969759,20,,,,
0.7947251,29,,,,
0.8643429,38,,,,
0.7855196,38,,,,
0.8144027,67,,,,
0.7856899,55,,,,
0.7799384,34,,,,
0.8497855,55,,,,
0.8283666,22,,,,
0.7840523,25,,,,
0.814804,34,,,,
0.8229909,34,,,,
0.7992139,34,,,,
0.7831985,32,,,,
0.7963036,34,,,,
0.7897313,46,,,,
0.7952043,34,,,,
0.7967254,28,,,,
0.7799935,34,,,,
0.7933557,34,,,,
0.8065903,34,,,,
0.7767572,55,,,,
0.8459938,22,,,,
0.7849465,34,,,,
0.8037102,34,,,,
0.7984039,34,,,,
0.7758336,21,,,,
0.8067357,52,,,,
0.8258072,67,,,,
0.8274995,17,,,,
0.8274436,33,,,,
0.7753733,55,,,,
0.7809012,45,,,,
0.7958797,53,,,,
0.7770524,55,,,,
0.8398114,38,,,,
0.7935541,46,,,,
0.7852899,42,,,,
0.8013676,34,,,,
0.824021,67,,,,
0.7855884,67,,,,
0.7765127,34,,,,
0.8215927,45,,,,
0.7728182,34,,,,
0.9527248,34,,,,
0.8019273,34,,,,
0.7956288,44,,,,
0.8618113,34,,,,
0.8178641,47,,,,
0.7975842,34,,,,
0.7915115,33,,,,
0.7968472,43,,,,
0.8588646,34,,,,
0.8616936,45,,,,
0.8237864,33,,,,
0.7588275,33,,,,
0.8163929,45,,,,
0.7958383,30,,,,
0.8004453,34,,,,
0.9244765,32,,,,
0.7970285,34,,,,
0.7978369,67,,,,
0.7775648,44,,,,
0.8339915,34,,,,
0.7881432,55,,,,
0.8084779,48,,,,
0.8106207,33,,,,
0.7726087,34,,,,
0.8305266,46,,,,
0.8277302,34,,,,
0.9355774,55,,,,
0.8101099,51,,,,
0.7908088,45,,,,
0.7805181,33,,,,
0.7683302,35,,,,
0.8486789,34,,,,
0.8004454,37,,,,
0.8314218,33,,,,
0.7901506,34,,,,
0.7927893,33,,,,
0.7963412,34,,,,
0.7602028,45,,,,
0.819489,53,,,,
0.7789418,34,,,,
0.8137526,44,,,,
0.8174711,34,,,,
0.8406903,34,,,,
0.7780095,33,,,,
0.7960837,67,,,,
0.8916182,51,,,,
0.7606811,34,,,,
0.7703169,34,,,,
0.7830948,50,,,,
0.7770612,33,,,,
0.7574616,34,,,,
0.7821225,35,,,,
0.8177782,44,,,,
0.794193,33,,,,
0.7978789,34,,,,
0.8163477,33,,,,
0.7754682,33,,,,
0.794214,21,,,,
0.9006753,52,,,,
0.9188267,44,,,,
0.9775046,52,,,,
0.8149725,30,,,,
0.8041944,34,,,,
0.785153,32,,,,
0.8307675,34,,,,
0.8106729,23,,,,
0.7771974,48,,,,
0.8469035,34,,,,
0.7952236,34,,,,
0.9215425,44,,,,
0.7919949,30,,,,
0.7621134,34,,,,
0.8238779,34,,,,
0.818467,45,,,,
0.8368552,34,,,,
0.7839506,34,,,,
0.8808266,33,,,,
0.8140989,34,,,,
0.7801244,67,,,,
0.8105334,23,,,,
0.8702524,55,,,,
0.7791911,67,,,,
0.7682588,33,,,,
0.7940212,22,,,,
0.8315619,51,,,,
0.8121926,43,,,,
0.794485,34,,,,
0.7982837,34,,,,
0.7911392,42,,,,
0.8241077,33,,,,
0.8350042,35,,,,
0.9969464,33,,,,
0.8161327,34,,,,
0.8403977,45,,,,
0.8566229,55,,,,
0.8517212,34,,,,
0.9194501,67,,,,
0.8112135,34,,,,
0.8141091,42,,,,
0.8063143,23,,,,
0.8586294,34,,,,
