Max Component Sizes,Compute Time (s),partition_lgraph_louvain,,Average Compute Size,Average Compute Time (s)
0.209229,51,,,112.11,0.196595984
0.1895297,122,,,,
0.2035095,115,,,,
0.2292596,160,,,,
0.1764674,144,,,,
0.1851739,200,,,,
0.1880286,114,,,,
0.1892353,45,,,,
0.1780058,50,,,,
0.2079469,68,,,,
0.1897421,76,,,,
0.1997091,159,,,,
0.2053474,106,,,,
0.2159838,116,,,,
0.1922505,50,,,,
0.1740161,116,,,,
0.2040286,88,,,,
0.2136909,71,,,,
0.1798683,162,,,,
0.2098666,83,,,,
0.178064,160,,,,
0.1769329,98,,,,
0.1821771,162,,,,
0.1915249,55,,,,
0.1930906,133,,,,
0.1894681,88,,,,
0.2191001,122,,,,
0.201519,112,,,,
0.2090343,80,,,,
0.1833799,71,,,,
0.1981293,68,,,,
0.1952517,157,,,,
0.2180108,77,,,,
0.1837541,161,,,,
0.1943295,200,,,,
0.177848,154,,,,
0.2111356,156,,,,
0.1951135,114,,,,
0.165885,101,,,,
0.2009365,200,,,,
0.1700736,108,,,,
0.2107265,53,,,,
0.1673491,132,,,,
0.1876224,104,,,,
0.1663515,75,,,,
0.207703,95,,,,
0.1916307,162,,,,
0.1665575,112,,,,
0.1673219,85,,,,
0.1942631,139,,,,
0.1961088,72,,,,
0.1814797,119,,,,
0.1656325,62,,,,
0.1932408,162,,,,
0.1821196,166,,,,
0.1872291,79,,,,
0.1891097,178,,,,
0.1949985,159,,,,
0.187908,182,,,,
0.1705131,46,,,,
0.1989836,95,,,,
0.2046856,116,,,,
0.1992053,162,,,,
0.1968451,158,,,,
0.1951058,200,,,,
0.1840753,110,,,,
0.1753204,76,,,,
0.2188197,109,,,,
0.1504221,79,,,,
0.1906792,68,,,,
0.1860001,60,,,,
0.2006065,67,,,,
0.1972758,115,,,,
0.1988655,161,,,,
0.1849532,114,,,,
0.1833787,157,,,,
0.2082626,118,,,,
0.1761033,149,,,,
0.1861689,71,,,,
0.1926238,159,,,,
0.1984298,68,,,,
0.201093,51,,,,
0.1900563,115,,,,
0.1967694,114,,,,
0.1813682,113,,,,
0.1859885,129,,,,
0.1944813,92,,,,
0.192043,115,,,,
0.1978941,154,,,,
0.2068952,84,,,,
0.1567912,113,,,,
0.1907807,200,,,,
0.1764855,134,,,,
0.1963221,58,,,,
0.1770636,97,,,,
0.1950283,109,,,,
0.2012054,200,,,,
0.1956375,162,,,,
0.1904107,100,,,,
0.2305021,72,,,,
0.2056367,69,,,,
0.2017706,154,,,,
0.2092734,141,,,,
0.1765954,79,,,,
0.1923734,161,,,,
0.2262204,73,,,,
0.1563359,83,,,,
0.1954434,113,,,,
0.1996112,162,,,,
0.1969506,96,,,,
0.1876065,96,,,,
0.2067948,69,,,,
0.1958346,102,,,,
0.1712076,73,,,,
0.2064786,111,,,,
0.1882289,141,,,,
0.1960954,144,,,,
0.1746454,74,,,,
0.1807401,110,,,,
0.1786155,160,,,,
0.1863276,76,,,,
0.1743475,122,,,,
0.1946922,90,,,,
0.1908874,200,,,,
0.1715641,160,,,,
0.2031076,115,,,,
0.1840179,122,,,,
0.2167842,132,,,,
0.1989893,156,,,,
0.2026278,156,,,,
0.1926255,68,,,,
0.1788394,94,,,,
0.2025711,131,,,,
0.1845874,88,,,,
0.1932671,73,,,,
0.1847791,55,,,,
0.1665176,113,,,,
0.169048,76,,,,
0.1865688,64,,,,
0.1774037,162,,,,
0.1751599,76,,,,
0.1771418,60,,,,
0.1645244,94,,,,
0.1988082,119,,,,
0.169405,127,,,,
0.1901318,172,,,,
0.1971403,81,,,,
0.1853167,129,,,,
0.1767733,122,,,,
0.1856051,154,,,,
0.1751477,130,,,,
0.1755466,154,,,,
0.2160865,64,,,,
0.1933354,200,,,,
0.1738638,82,,,,
0.1934122,162,,,,
0.2087257,86,,,,
0.2008121,156,,,,
0.193339,111,,,,
0.2220175,115,,,,
0.182623,162,,,,
0.1496042,38,,,,
0.1913586,68,,,,
0.2070299,66,,,,
0.2016887,115,,,,
0.1812549,95,,,,
0.1940699,76,,,,
0.1889444,68,,,,
0.1973196,128,,,,
0.1614746,141,,,,
0.1746973,72,,,,
0.2055521,162,,,,
0.1768785,133,,,,
0.1847668,92,,,,
0.1782285,76,,,,
0.169242,54,,,,
0.1989215,97,,,,
0.1776296,154,,,,
0.2278424,51,,,,
0.1687059,79,,,,
0.2786398,97,,,,
0.2650786,110,,,,
0.235584,181,,,,
0.1915269,103,,,,
0.3232481,71,,,,
0.2706021,68,,,,
0.3505987,156,,,,
0.3913291,110,,,,
0.2861757,154,,,,
0.3138939,50,,,,
0.2702415,75,,,,
0.2874494,90,,,,
0.1897855,52,,,,
0.2074985,147,,,,
0.1796783,160,,,,
0.1640392,106,,,,
0.214449,71,,,,
0.2200813,62,,,,
0.2288002,154,,,,
0.1872204,141,,,,
