Compute Time (s),Max Component Size,runScen2Random,,Average Compute Size,Average Compute Time (s)
0.0087036,200,,,186.46,0.008807196
0.0089379,200,,,,
0.0087639,116,,,,
0.0089815,200,,,,
0.0088688,200,,,,
0.0093986,200,,,,
0.0083633,73,,,,
0.0089293,200,,,,
0.009081,200,,,,
0.0088977,200,,,,
0.0086503,200,,,,
0.009196,200,,,,
0.0091476,200,,,,
0.0093023,200,,,,
0.0088699,200,,,,
0.0091117,200,,,,
0.0087978,200,,,,
0.008979,200,,,,
0.007838,101,,,,
0.0086311,200,,,,
0.009191,200,,,,
0.0089257,200,,,,
0.0089173,200,,,,
0.0088477,200,,,,
0.0088629,200,,,,
0.0087969,200,,,,
0.0089435,200,,,,
0.0088709,200,,,,
0.0089475,200,,,,
0.0080232,200,,,,
0.0085356,188,,,,
0.0092508,200,,,,
0.009031,200,,,,
0.0086746,200,,,,
0.0090451,200,,,,
0.0088252,200,,,,
0.0088749,200,,,,
0.0090313,200,,,,
0.0088014,200,,,,
0.0086159,108,,,,
0.0089215,200,,,,
0.0084897,200,,,,
0.0089195,200,,,,
0.0080279,130,,,,
0.0089059,200,,,,
0.0083633,108,,,,
0.009009,200,,,,
0.0085113,177,,,,
0.0089295,200,,,,
0.0088169,200,,,,
0.0086969,200,,,,
0.0083381,112,,,,
0.0088343,200,,,,
0.009223,200,,,,
0.0092379,200,,,,
0.0089608,200,,,,
0.0091971,200,,,,
0.0078916,111,,,,
0.0087356,200,,,,
0.0092017,200,,,,
0.0085981,181,,,,
0.0092469,200,,,,
0.0089017,200,,,,
0.0090797,200,,,,
0.0084503,200,,,,
0.0090766,200,,,,
0.0081851,133,,,,
0.0091843,200,,,,
0.0090737,200,,,,
0.0089489,200,,,,
0.008919,200,,,,
0.0092083,200,,,,
0.0090905,200,,,,
0.0086923,200,,,,
0.0090268,200,,,,
0.008709,200,,,,
0.0090516,200,,,,
0.0092518,200,,,,
0.0089311,200,,,,
0.0088228,190,,,,
0.0085331,103,,,,
0.0085338,200,,,,
0.0092356,200,,,,
0.0090251,200,,,,
0.0091921,200,,,,
0.0079465,106,,,,
0.0090436,200,,,,
0.0088577,200,,,,
0.0087052,150,,,,
0.0093337,200,,,,
0.0089596,200,,,,
0.008969,200,,,,
0.0080233,101,,,,
0.0089531,200,,,,
0.009421,200,,,,
0.0091122,200,,,,
0.0087351,200,,,,
0.0090108,200,,,,
0.008765,200,,,,
0.0090379,200,,,,
0.0085679,200,,,,
0.0088594,200,,,,
0.0095103,200,,,,
0.0089228,200,,,,
0.0083949,110,,,,
0.0084253,200,,,,
0.0090871,200,,,,
0.0090127,200,,,,
0.0089502,200,,,,
0.0081816,121,,,,
0.0091531,200,,,,
0.0087864,200,,,,
0.0088984,200,,,,
0.0088746,200,,,,
0.0092743,200,,,,
0.0087543,200,,,,
0.0092393,200,,,,
0.0086511,106,,,,
0.0088364,200,,,,
0.009026,200,,,,
0.0088285,200,,,,
0.0086133,200,,,,
0.0089276,200,,,,
0.0092347,200,,,,
0.0080955,200,,,,
0.0085011,200,,,,
0.0080621,104,,,,
0.0088767,200,,,,
0.008597,200,,,,
0.008885,200,,,,
0.0089354,200,,,,
0.0083206,100,,,,
0.0075741,100,,,,
0.0087296,200,,,,
0.0089995,200,,,,
0.0089073,200,,,,
0.0089241,200,,,,
0.0089849,200,,,,
0.0086609,200,,,,
0.0086935,200,,,,
0.0091099,200,,,,
0.0083007,200,,,,
0.008916,200,,,,
0.0092579,200,,,,
0.0090838,200,,,,
0.008913,200,,,,
0.0091513,200,,,,
0.0087513,200,,,,
0.009002,200,,,,
0.0081628,200,,,,
0.0091239,200,,,,
0.0082899,108,,,,
0.0090582,200,,,,
0.0090448,200,,,,
0.00786,101,,,,
0.0084658,101,,,,
0.0088764,200,,,,
0.008209,110,,,,
0.0086172,200,,,,
0.0089761,200,,,,
0.008288,200,,,,
0.0090481,200,,,,
0.0092034,200,,,,
0.0091319,200,,,,
0.0087135,200,,,,
0.0090392,200,,,,
0.0089126,200,,,,
0.0076202,100,,,,
0.0084511,102,,,,
0.0089999,200,,,,
0.0081033,200,,,,
0.0087611,200,,,,
0.0087419,200,,,,
0.0082176,200,,,,
0.0091357,200,,,,
0.0089131,200,,,,
0.0091122,200,,,,
0.0084207,200,,,,
0.0087742,156,,,,
0.0090012,200,,,,
0.0087131,200,,,,
0.0082868,137,,,,
0.0087792,200,,,,
0.0089813,200,,,,
0.0084502,101,,,,
0.0094487,200,,,,
0.0090008,200,,,,
0.0090415,200,,,,
0.0088487,200,,,,
0.0089815,200,,,,
0.0088536,200,,,,
0.0089208,200,,,,
0.0081691,135,,,,
0.0091896,200,,,,
0.0083025,200,,,,
0.008069,112,,,,
0.0085826,200,,,,
0.0087999,200,,,,
0.0088797,200,,,,
0.009109,200,,,,
