Max Component Sizes,Compute Time (s),partition_lgraph_louvain,,Average Compute Time (s),Average Comp. Size
0.723507,112,,,0.687841152,88.48
0.7586269,55,,,,
0.720975,152,,,,
0.7493483,105,,,,
0.7231428,99,,,,
0.8301514,125,,,,
0.6242823,93,,,,
0.6891502,69,,,,
0.6427808,147,,,,
0.6424822,70,,,,
0.677451,61,,,,
0.7575992,68,,,,
0.7649216,69,,,,
0.6520871,62,,,,
0.6910583,136,,,,
0.6917243,59,,,,
0.7011333,111,,,,
0.7524003,60,,,,
0.6647724,77,,,,
0.6331197,106,,,,
0.8082231,100,,,,
0.6426016,102,,,,
0.6719633,65,,,,
0.7051442,101,,,,
0.7168472,89,,,,
0.6896323,46,,,,
0.7244223,125,,,,
0.6715859,98,,,,
0.7564139,118,,,,
0.7345688,103,,,,
0.6804406,53,,,,
0.6779408,60,,,,
0.6385838,67,,,,
0.7359165,68,,,,
0.69816,157,,,,
0.744809,67,,,,
0.7933926,74,,,,
0.7393325,106,,,,
0.6679047,146,,,,
0.6700253,64,,,,
0.6044513,93,,,,
0.6774953,68,,,,
0.6688675,105,,,,
0.6657919,60,,,,
0.7171227,56,,,,
0.5954074,107,,,,
0.7327453,56,,,,
0.7294556,94,,,,
0.647106,134,,,,
0.7090509,91,,,,
0.6521642,112,,,,
0.6857378,90,,,,
0.6654905,93,,,,
0.6479268,61,,,,
0.70223,194,,,,
0.7276561,88,,,,
0.5923176,93,,,,
0.6900768,114,,,,
0.650902,80,,,,
0.7701773,67,,,,
0.737424,60,,,,
0.603999,79,,,,
0.6533135,80,,,,
0.7340585,111,,,,
0.689238,37,,,,
0.5969439,49,,,,
0.6434494,160,,,,
0.6738838,66,,,,
0.6553216,60,,,,
0.7323369,67,,,,
0.694321,125,,,,
0.6839664,70,,,,
0.70358,60,,,,
0.6726085,104,,,,
0.6899907,136,,,,
0.6668765,110,,,,
0.6766494,75,,,,
0.7287961,76,,,,
0.684568,85,,,,
0.6824677,87,,,,
0.7170439,93,,,,
0.6851722,158,,,,
0.7148267,66,,,,
0.6200568,58,,,,
0.6442296,85,,,,
0.7395108,128,,,,
0.6583252,86,,,,
0.6398811,92,,,,
0.6775408,55,,,,
0.7393913,85,,,,
0.7212384,99,,,,
0.597356,163,,,,
0.6661122,70,,,,
0.692775,50,,,,
0.7611261,51,,,,
0.6879967,98,,,,
0.7078404,50,,,,
0.6648195,78,,,,
0.6033989,113,,,,
0.7702789,76,,,,
0.6655097,98,,,,
0.692403,54,,,,
0.704658,134,,,,
0.6319857,61,,,,
0.7084519,58,,,,
0.7072754,83,,,,
0.6870629,69,,,,
0.6524584,95,,,,
0.6540116,53,,,,
0.5962249,96,,,,
0.7081889,72,,,,
0.6774206,132,,,,
0.6461322,64,,,,
0.6970714,106,,,,
0.7576225,40,,,,
0.7214665,116,,,,
0.6638775,112,,,,
0.6650211,131,,,,
0.7026684,82,,,,
0.6619361,118,,,,
0.7499255,50,,,,
0.6947149,96,,,,
0.5833123,131,,,,
0.660381,93,,,,
0.6920676,65,,,,
0.6635553,84,,,,
0.6371113,59,,,,
0.714406,78,,,,
0.660712,116,,,,
0.673106,68,,,,
0.6825095,123,,,,
0.6498833,56,,,,
0.6929273,85,,,,
0.7218465,41,,,,
0.6519783,68,,,,
0.6567128,64,,,,
0.6425511,146,,,,
0.671779,65,,,,
0.6423962,114,,,,
0.7350489,100,,,,
0.6925877,55,,,,
0.7178735,105,,,,
0.6931077,44,,,,
0.7649797,63,,,,
0.681007,85,,,,
0.6667039,61,,,,
0.7285743,86,,,,
0.6880519,97,,,,
0.67454,72,,,,
0.7006774,87,,,,
0.6794827,61,,,,
0.6861093,59,,,,
0.688859,65,,,,
0.6616433,127,,,,
0.7507559,81,,,,
0.7502346,167,,,,
0.666279,41,,,,
0.7121448,147,,,,
0.6685057,117,,,,
0.6837906,120,,,,
0.682422,69,,,,
0.6651662,52,,,,
0.6370525,133,,,,
0.7284292,77,,,,
0.6544411,61,,,,
0.726001,48,,,,
0.6227958,112,,,,
0.7230178,58,,,,
0.7455472,54,,,,
0.7032614,88,,,,
0.7229876,87,,,,
0.6440104,74,,,,
0.6778059,100,,,,
0.6507471,66,,,,
0.7228929,60,,,,
0.6420667,128,,,,
0.7216272,65,,,,
0.7189253,76,,,,
0.7189516,95,,,,
0.6692551,62,,,,
0.6735145,93,,,,
0.6484752,164,,,,
0.7023978,107,,,,
0.7656741,62,,,,
0.665466,160,,,,
0.707363,51,,,,
0.6608665,76,,,,
0.637424,48,,,,
0.7040457,111,,,,
0.7284579,108,,,,
0.6888136,128,,,,
0.6969327,202,,,,
0.6434879,80,,,,
0.6254712,63,,,,
0.6804533,56,,,,
0.6579456,83,,,,
0.7198918,84,,,,
0.7969972,88,,,,
0.6023783,120,,,,
0.6469817,79,,,,
