Compute Time (s),Max Component Size,partition_lgraph_spectral,,Average Compute Time (s),Average Comp. Size
0.9992284,326,,,0.969927309,344.705
0.9615869,238,,,,
0.9624668,394,,,,
0.9768049,369,,,,
1.0350775,400,,,,
0.9763732,335,,,,
0.9863795,240,,,,
0.9494986,400,,,,
0.954902,230,,,,
0.9493452,385,,,,
0.9913264,214,,,,
0.9574838,391,,,,
0.9673198,250,,,,
1.0234242,238,,,,
0.969011,400,,,,
0.9729069,357,,,,
0.983876,328,,,,
1.0115418,400,,,,
0.9530318,395,,,,
0.9609159,244,,,,
0.9699383,224,,,,
0.9527694,310,,,,
0.9537889,238,,,,
0.9591772,371,,,,
0.9946363,396,,,,
1.0154673,387,,,,
1.0124338,394,,,,
1.0291955,238,,,,
0.9643728,395,,,,
0.9679194,335,,,,
0.952123,251,,,,
0.9531391,371,,,,
0.953232,363,,,,
1.0119596,400,,,,
0.9643672,176,,,,
1.061957,238,,,,
0.9700195,372,,,,
0.9786627,238,,,,
0.9776361,398,,,,
0.9410404,234,,,,
0.9824464,399,,,,
0.9599264,364,,,,
0.9573196,296,,,,
0.9698336,397,,,,
0.9675878,381,,,,
0.9716524,400,,,,
0.951787,350,,,,
0.9876426,320,,,,
0.9611486,400,,,,
0.9524669,347,,,,
0.9803686,238,,,,
0.9682869,385,,,,
0.9556114,396,,,,
0.9364771,400,,,,
0.9754716,387,,,,
0.957783,400,,,,
0.9373057,395,,,,
0.9669907,393,,,,
0.9568136,361,,,,
0.9610275,344,,,,
1.001941,238,,,,
0.9622893,226,,,,
0.9547088,288,,,,
0.9523518,390,,,,
0.9498043,205,,,,
0.9701799,387,,,,
0.9734918,338,,,,
0.9645029,392,,,,
0.9863738,238,,,,
0.9534462,368,,,,
0.9798854,398,,,,
0.9569992,390,,,,
0.9599707,230,,,,
0.9691971,390,,,,
0.9529045,377,,,,
0.9736442,238,,,,
0.9932733,304,,,,
0.9670663,378,,,,
0.9609237,390,,,,
0.9800629,336,,,,
0.9694053,385,,,,
0.943028,400,,,,
0.9843185,386,,,,
0.9952083,241,,,,
0.9843148,238,,,,
0.9612135,389,,,,
0.9458902,386,,,,
0.9703833,384,,,,
0.9593424,369,,,,
1.0298088,341,,,,
0.9801327,250,,,,
0.953791,371,,,,
0.9572309,384,,,,
0.9765965,388,,,,
0.9482071,364,,,,
1.0021059,397,,,,
0.9522401,390,,,,
0.9660541,389,,,,
0.9473473,387,,,,
0.9563663,352,,,,
0.9584493,382,,,,
0.9634806,393,,,,
0.9563257,231,,,,
0.9883018,381,,,,
0.9491982,387,,,,
0.9457436,344,,,,
0.9687878,387,,,,
0.9606131,382,,,,
0.9391946,396,,,,
1.0102852,394,,,,
0.9707634,366,,,,
0.9749545,362,,,,
1.0108208,385,,,,
0.9564494,386,,,,
0.9706644,393,,,,
0.9785751,400,,,,
0.998251,377,,,,
0.9444739,400,,,,
0.9482936,390,,,,
0.9669999,226,,,,
0.9686499,396,,,,
0.9683838,197,,,,
0.958945,325,,,,
0.9553855,347,,,,
0.9823985,231,,,,
0.9473989,379,,,,
0.9608707,399,,,,
0.9630743,346,,,,
1.0000324,397,,,,
0.961804,369,,,,
0.9838123,389,,,,
0.9750421,395,,,,
0.9694784,386,,,,
0.9587805,390,,,,
0.9776838,330,,,,
0.9673236,371,,,,
0.987689,234,,,,
0.9698457,346,,,,
0.9523644,400,,,,
0.9819675,383,,,,
0.9568262,392,,,,
0.9626079,386,,,,
0.9643406,375,,,,
0.9491638,205,,,,
0.9438195,345,,,,
0.9382161,359,,,,
1.0038739,394,,,,
0.9611249,377,,,,
0.9932359,367,,,,
0.9728627,396,,,,
0.9860357,321,,,,
0.9435551,219,,,,
0.9876715,378,,,,
0.9404621,400,,,,
0.982373,386,,,,
0.9713477,387,,,,
0.9666778,397,,,,
0.9225814,345,,,,
0.977484,387,,,,
0.9770164,383,,,,
0.9800271,400,,,,
0.9660081,162,,,,
0.9644784,384,,,,
0.9505709,364,,,,
0.966525,368,,,,
0.9622441,400,,,,
0.9550607,367,,,,
0.9656583,387,,,,
0.9809632,395,,,,
0.9603227,230,,,,
0.9448411,223,,,,
0.9785102,361,,,,
0.9565838,166,,,,
0.9718035,323,,,,
0.9722993,372,,,,
0.9702895,388,,,,
0.9490959,396,,,,
0.9726619,333,,,,
0.9550113,393,,,,
0.9932418,400,,,,
1.03093,233,,,,
0.959995,394,,,,
0.9511273,215,,,,
0.9626232,375,,,,
0.9837734,345,,,,
0.9751107,394,,,,
0.9586635,389,,,,
0.9852281,393,,,,
0.9368037,211,,,,
0.9860242,400,,,,
0.9724655,376,,,,
0.9721455,400,,,,
0.9645,384,,,,
0.9795104,388,,,,
0.9589117,289,,,,
0.9475429,352,,,,
0.9710588,167,,,,
1.0121625,324,,,,
0.997611,383,,,,
0.9799596,238,,,,
