Compute Time (s),Max Component Size,runScen3Random,,Average Compute Time (s),Average Comp. Size
6.7966358,381,,,6.726176603,381.095
6.8098466,395,,,,
6.6821311,387,,,,
6.6962166,394,,,,
6.7625467,396,,,,
6.7249123,378,,,,
6.7268634,395,,,,
6.7390121,368,,,,
6.6540581,387,,,,
6.6605575,377,,,,
6.709888,378,,,,
6.7546068,316,,,,
6.6872671,381,,,,
6.6920673,400,,,,
6.6416216,364,,,,
6.6838601,388,,,,
6.6998018,369,,,,
6.6901364,392,,,,
6.8311255,396,,,,
6.7382056,383,,,,
6.7052322,400,,,,
6.74184,392,,,,
6.6802259,382,,,,
6.7110832,387,,,,
6.7154035,358,,,,
6.6779335,390,,,,
6.7114802,386,,,,
6.7067212,395,,,,
6.7503332,381,,,,
6.7114025,385,,,,
6.7283401,398,,,,
6.7138422,400,,,,
6.6816636,395,,,,
6.6863414,391,,,,
6.7644009,294,,,,
6.6899834,395,,,,
6.6736968,371,,,,
6.7185216,392,,,,
6.7289377,375,,,,
6.7068251,393,,,,
6.7318984,372,,,,
6.6913486,400,,,,
6.6973785,395,,,,
6.6784832,391,,,,
6.7767825,400,,,,
6.6808086,348,,,,
6.6958216,385,,,,
6.7377619,400,,,,
6.7023808,395,,,,
6.6871908,393,,,,
6.7521415,359,,,,
6.632781,395,,,,
6.730339,393,,,,
6.6977354,284,,,,
6.702847,393,,,,
6.7366253,392,,,,
6.7279788,395,,,,
6.7530858,395,,,,
6.7044796,385,,,,
6.694042,395,,,,
6.7273158,372,,,,
6.900623,388,,,,
6.8063008,374,,,,
7.0320151,357,,,,
6.9455268,400,,,,
6.8600084,400,,,,
6.9184147,390,,,,
6.7610516,388,,,,
6.8103389,229,,,,
6.7755981,373,,,,
6.7452468,386,,,,
6.7487326,378,,,,
6.7334249,389,,,,
6.7347424,395,,,,
6.7202723,389,,,,
6.7261391,395,,,,
6.7419819,355,,,,
6.6761231,372,,,,
6.7485661,396,,,,
6.7148138,387,,,,
6.7965876,313,,,,
6.6856559,379,,,,
6.6831305,385,,,,
6.6982745,381,,,,
6.7047422,386,,,,
6.7809408,384,,,,
6.6926287,395,,,,
6.77709,386,,,,
6.7051191,395,,,,
6.6635152,381,,,,
6.7561905,377,,,,
6.7363712,400,,,,
6.8876049,376,,,,
6.7111453,382,,,,
6.7402878,391,,,,
6.7180286,395,,,,
6.7003959,378,,,,
6.7179473,355,,,,
6.6936617,307,,,,
6.6942777,390,,,,
6.6825077,376,,,,
6.7558373,394,,,,
6.7106109,264,,,,
6.7873,386,,,,
6.6998468,395,,,,
6.7305381,361,,,,
6.7490988,396,,,,
6.6958687,396,,,,
6.6808549,372,,,,
6.6357903,391,,,,
6.7419104,389,,,,
6.6989475,388,,,,
6.7513762,382,,,,
6.6770004,400,,,,
6.6569563,282,,,,
6.7075548,396,,,,
6.7121196,395,,,,
6.6955073,347,,,,
6.7665121,396,,,,
6.7525821,390,,,,
6.7468107,380,,,,
6.7407312,396,,,,
6.7330542,378,,,,
6.7133171,378,,,,
6.7071852,392,,,,
6.7155917,396,,,,
6.6916936,395,,,,
6.6989241,395,,,,
6.689505,395,,,,
6.7217835,365,,,,
6.7310869,350,,,,
6.6905795,396,,,,
6.7259336,387,,,,
6.6786192,400,,,,
6.7471631,395,,,,
6.7336571,387,,,,
6.7234422,396,,,,
6.7363561,390,,,,
6.7462652,376,,,,
6.7732251,383,,,,
6.7160916,396,,,,
6.7275802,400,,,,
6.6178311,400,,,,
6.7639127,400,,,,
6.6960913,395,,,,
6.6710025,396,,,,
6.7381857,395,,,,
6.6932776,395,,,,
6.7490026,396,,,,
6.6767846,391,,,,
6.7407437,375,,,,
6.87702,382,,,,
6.7583235,389,,,,
6.73059,395,,,,
6.6897576,378,,,,
6.6616079,395,,,,
6.6921615,368,,,,
6.7153576,393,,,,
6.7738221,365,,,,
6.7338958,383,,,,
6.7141046,395,,,,
6.7095918,374,,,,
6.757692,393,,,,
6.7216563,400,,,,
6.7357724,396,,,,
6.755344,400,,,,
6.7017991,362,,,,
6.6797199,395,,,,
6.7697932,389,,,,
6.6790275,391,,,,
6.7204259,391,,,,
6.6942459,389,,,,
6.7469903,393,,,,
6.7188214,395,,,,
6.7377752,393,,,,
6.6666237,374,,,,
6.7404445,281,,,,
6.7338231,371,,,,
6.7413923,330,,,,
6.7299384,400,,,,
6.7017283,363,,,,
6.6956084,391,,,,
6.7476237,389,,,,
6.7573516,376,,,,
6.6676768,394,,,,
6.6664731,395,,,,
6.7153499,396,,,,
6.7252078,393,,,,
6.727007,388,,,,
6.7519935,379,,,,
6.7625228,363,,,,
6.7447656,396,,,,
6.6869819,387,,,,
6.7512679,363,,,,
6.7148324,390,,,,
6.7081352,395,,,,
6.7404749,375,,,,
6.7427193,267,,,,
6.6968194,400,,,,
6.750805,395,,,,
