Max Component Sizes,Compute Time (s),partition_lgraph_spectral,,Average Compute Time (s),Average Comp. Size
4.6600648,276,,,4.495285354,545.23
4.483533,289,,,,
4.5697641,763,,,,
4.4770518,470,,,,
4.5051462,297,,,,
4.5305111,800,,,,
4.402314,732,,,,
4.4869662,288,,,,
4.5057554,550,,,,
4.6275296,786,,,,
4.5081476,310,,,,
4.4235107,562,,,,
4.4261409,800,,,,
4.455737,784,,,,
4.4886387,510,,,,
4.5682923,496,,,,
4.3633278,510,,,,
4.5672746,319,,,,
4.4334943,500,,,,
4.4946527,505,,,,
4.4278937,490,,,,
4.6235552,289,,,,
4.5269188,759,,,,
4.5196044,493,,,,
4.524229,407,,,,
4.5185195,506,,,,
4.4339556,366,,,,
4.4376655,770,,,,
4.4233946,503,,,,
4.524468,290,,,,
4.6154711,548,,,,
4.4898621,734,,,,
4.4596098,750,,,,
4.3223953,687,,,,
4.7083926,430,,,,
4.4810793,542,,,,
4.5449312,358,,,,
4.4717521,510,,,,
4.4809978,667,,,,
4.5222489,508,,,,
4.4881267,510,,,,
4.5478255,770,,,,
4.632069,784,,,,
4.5398107,799,,,,
4.5726152,303,,,,
4.5792403,800,,,,
4.490393,289,,,,
4.5077019,798,,,,
4.5684817,793,,,,
4.4027377,510,,,,
4.478812,542,,,,
4.4442045,552,,,,
4.5683056,763,,,,
4.5008849,724,,,,
4.468631,468,,,,
4.337458,290,,,,
4.4634693,754,,,,
4.4963373,502,,,,
4.4491739,290,,,,
4.4479054,505,,,,
4.5226819,504,,,,
4.37916,539,,,,
4.566321,336,,,,
4.4932593,794,,,,
4.5466434,477,,,,
4.7936189,299,,,,
4.4795246,509,,,,
4.4326215,785,,,,
4.4256542,338,,,,
4.4312865,503,,,,
4.5102002,799,,,,
4.4404415,772,,,,
4.6015737,288,,,,
4.4080865,345,,,,
4.6870383,290,,,,
4.4704476,793,,,,
4.4575302,497,,,,
4.5031919,793,,,,
4.4804819,800,,,,
4.414074,438,,,,
4.523254,510,,,,
4.3662017,537,,,,
4.4608186,504,,,,
4.4914999,776,,,,
4.5135903,766,,,,
4.3743612,404,,,,
4.4857248,489,,,,
4.5345276,510,,,,
4.4243001,510,,,,
4.4620982,701,,,,
4.5338251,678,,,,
4.5185065,698,,,,
4.4925404,492,,,,
4.5540167,290,,,,
4.4771264,786,,,,
4.4912455,456,,,,
4.3736017,510,,,,
4.6569332,448,,,,
4.5490564,800,,,,
4.503173,455,,,,
4.4836045,490,,,,
4.4360022,791,,,,
4.4371898,290,,,,
4.6103003,510,,,,
4.5421029,480,,,,
4.5396901,290,,,,
4.4969634,496,,,,
4.4799003,798,,,,
4.3984836,799,,,,
4.6085083,717,,,,
4.4732345,284,,,,
4.3537241,492,,,,
4.5158347,290,,,,
4.431702,559,,,,
4.5136023,498,,,,
4.5809884,455,,,,
4.4583075,791,,,,
4.5851713,560,,,,
4.5025044,461,,,,
4.5804042,778,,,,
4.4626226,510,,,,
4.5410371,324,,,,
4.4972656,512,,,,
4.3726455,510,,,,
4.6260915,633,,,,
4.5184717,791,,,,
4.5031185,510,,,,
4.4724936,285,,,,
4.5983467,288,,,,
4.4759587,533,,,,
4.3536588,503,,,,
4.3636779,515,,,,
4.5877694,789,,,,
4.4752915,791,,,,
4.6253756,794,,,,
4.6600403,507,,,,
4.4979415,770,,,,
4.4029337,510,,,,
4.501051,540,,,,
4.4302392,496,,,,
4.3711195,556,,,,
4.562914,431,,,,
4.4744809,284,,,,
4.4586833,302,,,,
4.6053114,510,,,,
4.5076326,790,,,,
4.5194468,491,,,,
4.3854756,563,,,,
4.473739,786,,,,
4.4683831,783,,,,
4.5274446,337,,,,
4.5446489,794,,,,
4.5420649,795,,,,
4.3941304,800,,,,
4.3894819,289,,,,
4.4572121,789,,,,
4.4503144,284,,,,
4.5118548,288,,,,
4.5447972,290,,,,
4.5144325,339,,,,
4.4604427,405,,,,
4.4865526,504,,,,
4.4052169,793,,,,
4.4188378,496,,,,
4.4174214,699,,,,
4.518579,787,,,,
4.41119,510,,,,
4.4781142,562,,,,
4.464,793,,,,
4.6046262,289,,,,
4.5740478,478,,,,
4.3450661,290,,,,
4.4754479,290,,,,
4.5485218,800,,,,
4.4868022,486,,,,
4.4129802,537,,,,
4.5622873,478,,,,
4.4815761,510,,,,
4.572928,792,,,,
4.4641534,471,,,,
4.437169,382,,,,
4.4255676,290,,,,
4.6020486,387,,,,
4.4840934,447,,,,
4.4622369,689,,,,
4.5349902,468,,,,
4.4618104,310,,,,
4.5183579,542,,,,
4.4671391,800,,,,
4.5178778,496,,,,
4.4133493,498,,,,
4.4602123,771,,,,
4.492043,489,,,,
4.4689802,446,,,,
4.4910096,651,,,,
4.5089109,505,,,,
4.6520565,792,,,,
4.4576461,563,,,,
4.5922401,700,,,,
4.4735038,290,,,,
