Max Component Sizes,Compute Time (s),runScen2Random,,Average Compute Size,Average Compute Time (s)
0.0396412,800,,,796.215,0.038626998
0.03844,800,,,,
0.0337109,409,,,,
0.0380106,800,,,,
0.038332,800,,,,
0.0386074,800,,,,
0.0379597,800,,,,
0.0378183,800,,,,
0.0378056,800,,,,
0.0382281,800,,,,
0.0385873,800,,,,
0.0607469,800,,,,
0.0379215,800,,,,
0.0385678,800,,,,
0.0381802,800,,,,
0.0383444,800,,,,
0.0391511,800,,,,
0.0377587,800,,,,
0.0374474,800,,,,
0.0374649,800,,,,
0.0380001,800,,,,
0.0367831,800,,,,
0.0375016,800,,,,
0.0381928,800,,,,
0.0381234,800,,,,
0.0376041,800,,,,
0.0377835,800,,,,
0.03845,800,,,,
0.0379913,800,,,,
0.0379407,800,,,,
0.038359,800,,,,
0.0378888,800,,,,
0.0382022,800,,,,
0.0385053,800,,,,
0.0381058,800,,,,
0.0379978,800,,,,
0.0374879,800,,,,
0.0382255,800,,,,
0.0384757,800,,,,
0.0380067,800,,,,
0.0372792,800,,,,
0.0386125,800,,,,
0.0379362,800,,,,
0.0378409,800,,,,
0.0382195,800,,,,
0.0380045,800,,,,
0.0379963,800,,,,
0.038611,800,,,,
0.0375245,800,,,,
0.0380872,800,,,,
0.0387096,800,,,,
0.037816,800,,,,
0.0375071,800,,,,
0.0382782,800,,,,
0.038061,800,,,,
0.0605253,800,,,,
0.0377815,800,,,,
0.0330769,434,,,,
0.0382998,800,,,,
0.0378662,800,,,,
0.03882,800,,,,
0.0379845,800,,,,
0.0378091,800,,,,
0.0381621,800,,,,
0.0378598,800,,,,
0.0380873,800,,,,
0.0372051,800,,,,
0.0379854,800,,,,
0.0373181,800,,,,
0.0386842,800,,,,
0.038474,800,,,,
0.0385456,800,,,,
0.0383714,800,,,,
0.0376264,800,,,,
0.0378172,800,,,,
0.0377792,800,,,,
0.0383075,800,,,,
0.0375016,800,,,,
0.0394327,800,,,,
0.0377173,800,,,,
0.0385215,800,,,,
0.0376079,800,,,,
0.0383077,800,,,,
0.037739,800,,,,
0.037882,800,,,,
0.0379319,800,,,,
0.0380445,800,,,,
0.0378838,800,,,,
0.038351,800,,,,
0.0381504,800,,,,
0.0388027,800,,,,
0.0383263,800,,,,
0.0381781,800,,,,
0.0383058,800,,,,
0.0379173,800,,,,
0.037843,800,,,,
0.03824,800,,,,
0.038489,800,,,,
0.038441,800,,,,
0.0612846,800,,,,
0.0382472,800,,,,
0.0375743,800,,,,
0.0387401,800,,,,
0.038069,800,,,,
0.0382972,800,,,,
0.0381034,800,,,,
0.0381284,800,,,,
0.0384654,800,,,,
0.0383772,800,,,,
0.0372435,800,,,,
0.0381177,800,,,,
0.0384388,800,,,,
0.0382345,800,,,,
0.0381314,800,,,,
0.0381329,800,,,,
0.0380795,800,,,,
0.0382351,800,,,,
0.0379597,800,,,,
0.0382766,800,,,,
0.0373125,800,,,,
0.0378264,800,,,,
0.038159,800,,,,
0.0379329,800,,,,
0.0383077,800,,,,
0.0387938,800,,,,
0.0378192,800,,,,
0.0382615,800,,,,
0.0387058,800,,,,
0.0382983,800,,,,
0.0381074,800,,,,
0.0379212,800,,,,
0.0394844,800,,,,
0.0372048,800,,,,
0.0380676,800,,,,
0.0381006,800,,,,
0.0384837,800,,,,
0.0376964,800,,,,
0.0394954,800,,,,
0.0381578,800,,,,
0.0376307,800,,,,
0.0377616,800,,,,
0.0365121,800,,,,
0.038471,800,,,,
0.0617501,800,,,,
0.0381283,800,,,,
0.0383391,800,,,,
0.0386275,800,,,,
0.0375976,800,,,,
0.0378183,800,,,,
0.0394695,800,,,,
0.0383277,800,,,,
0.0380198,800,,,,
0.0373765,800,,,,
0.0380468,800,,,,
0.0382189,800,,,,
0.0381593,800,,,,
0.0381065,800,,,,
0.0388214,800,,,,
0.0382993,800,,,,
0.0378017,800,,,,
0.0381753,800,,,,
0.0376931,800,,,,
0.0380657,800,,,,
0.0375612,800,,,,
0.0377754,800,,,,
0.038049,800,,,,
0.0384281,800,,,,
0.0379012,800,,,,
0.0381429,800,,,,
0.0380689,800,,,,
0.0382217,800,,,,
0.0343894,800,,,,
0.0383668,800,,,,
0.0380198,800,,,,
0.0376522,800,,,,
0.0380706,800,,,,
0.0377645,800,,,,
0.0385259,800,,,,
0.0385581,800,,,,
0.0385762,800,,,,
0.0379554,800,,,,
0.0378425,800,,,,
0.0378245,800,,,,
0.0383554,800,,,,
0.0381585,800,,,,
0.0379312,800,,,,
0.0377153,800,,,,
0.0614548,800,,,,
0.0392347,800,,,,
0.0383155,800,,,,
0.0385964,800,,,,
0.0379098,800,,,,
0.0373212,800,,,,
0.0398738,800,,,,
0.0381421,800,,,,
0.0381242,800,,,,
0.0373334,800,,,,
0.0384004,800,,,,
0.0381393,800,,,,
0.0383745,800,,,,
