Max Component Sizes,Compute Time (s),runScen3_1_rand,,Average Compute Time (s),Average Comp. Size
1.9788059,794,,,1.981866817,790.735
2.0215838,800,,,,
2.011363,800,,,,
1.9894254,798,,,,
1.983413,778,,,,
1.9719775,800,,,,
2.0111959,792,,,,
1.9674386,800,,,,
1.9659624,800,,,,
1.9261416,788,,,,
2.0009983,789,,,,
1.9564305,779,,,,
1.9510559,798,,,,
1.9543206,800,,,,
1.9582831,800,,,,
1.9804894,800,,,,
1.9613796,788,,,,
1.991541,792,,,,
2.0096831,800,,,,
2.0445554,800,,,,
1.9419821,794,,,,
1.9601515,796,,,,
2.0099475,785,,,,
1.9509359,800,,,,
1.98668,800,,,,
1.9204735,800,,,,
1.9753545,794,,,,
1.9998508,729,,,,
1.9606635,800,,,,
2.0149572,793,,,,
1.991806,795,,,,
1.9891145,781,,,,
1.9744051,766,,,,
1.9764158,780,,,,
1.9352525,800,,,,
2.0025439,795,,,,
2.0044504,796,,,,
2.0258847,796,,,,
2.0460501,798,,,,
1.9990917,800,,,,
1.9846758,760,,,,
1.9757133,800,,,,
1.9687212,789,,,,
2.0217653,791,,,,
1.9770652,789,,,,
1.956371,800,,,,
1.9657794,800,,,,
1.9965855,800,,,,
1.9936895,735,,,,
1.9443142,796,,,,
1.999634,797,,,,
2.0205351,800,,,,
1.9764851,800,,,,
2.0104772,788,,,,
1.9881307,800,,,,
1.9613125,800,,,,
2.0415429,765,,,,
1.9401262,800,,,,
1.9685925,800,,,,
1.9637149,754,,,,
1.9897909,796,,,,
1.9611071,770,,,,
1.9436644,800,,,,
1.9716775,800,,,,
1.9528959,800,,,,
1.9570016,800,,,,
2.0259287,800,,,,
2.0243697,781,,,,
2.0091351,800,,,,
2.0139126,761,,,,
1.9579371,800,,,,
2.0010098,774,,,,
1.9637638,800,,,,
1.9923184,800,,,,
1.9904182,800,,,,
1.9747037,800,,,,
1.9550755,794,,,,
1.9690143,786,,,,
1.9501023,792,,,,
1.993665,796,,,,
1.9666575,800,,,,
1.9316465,716,,,,
1.9489702,800,,,,
2.0366676,781,,,,
1.9847277,770,,,,
1.9441734,800,,,,
1.9336736,794,,,,
1.9658913,800,,,,
1.9581957,800,,,,
1.958163,800,,,,
1.9537614,800,,,,
1.9500777,790,,,,
2.05019,800,,,,
1.9588023,798,,,,
1.9784942,794,,,,
2.0080002,724,,,,
1.9600592,795,,,,
1.9455422,800,,,,
2.023958,800,,,,
1.9659653,800,,,,
1.9548797,800,,,,
2.0100218,800,,,,
2.0087468,800,,,,
1.9581637,790,,,,
1.9903052,726,,,,
2.0045904,800,,,,
1.9841416,800,,,,
1.9488772,791,,,,
1.997564,676,,,,
1.9785638,800,,,,
1.9761725,794,,,,
1.9730028,794,,,,
1.9405637,702,,,,
1.9998445,800,,,,
1.9933305,786,,,,
1.9654157,794,,,,
2.0044685,800,,,,
1.9902375,716,,,,
2.0070302,776,,,,
2.0331885,792,,,,
1.966177,800,,,,
1.9445382,800,,,,
1.9901367,800,,,,
2.018863,800,,,,
1.9754134,800,,,,
1.9766626,800,,,,
1.9918004,787,,,,
1.9741075,800,,,,
2.0416052,800,,,,
1.9957248,798,,,,
1.9405718,786,,,,
1.9823204,800,,,,
1.9651404,800,,,,
1.9678957,800,,,,
1.9507297,774,,,,
1.9699993,788,,,,
1.9973875,789,,,,
2.0081444,800,,,,
1.9546705,791,,,,
1.9692187,800,,,,
1.973332,794,,,,
1.951532,796,,,,
1.9978842,795,,,,
2.0338626,800,,,,
1.9770723,794,,,,
1.9923188,800,,,,
2.0155217,800,,,,
1.9711298,800,,,,
1.9607994,782,,,,
1.98182,794,,,,
2.0131936,800,,,,
2.000412,761,,,,
1.9696766,791,,,,
1.9589948,798,,,,
1.9317971,785,,,,
2.0107782,794,,,,
1.9534196,800,,,,
1.9698691,800,,,,
1.9612437,800,,,,
1.9767463,776,,,,
1.992162,790,,,,
1.9598842,757,,,,
1.9620545,800,,,,
1.9570025,795,,,,
2.0093376,784,,,,
1.9516781,800,,,,
2.0025636,797,,,,
2.0067799,793,,,,
2.0881413,796,,,,
2.0039407,790,,,,
1.9917003,800,,,,
1.967298,790,,,,
1.9822713,794,,,,
1.9929725,800,,,,
1.9666087,800,,,,
1.9875501,794,,,,
1.9662943,800,,,,
1.9682326,800,,,,
1.9591955,800,,,,
2.0261973,800,,,,
1.952821,800,,,,
1.9997734,794,,,,
1.9742543,796,,,,
1.9349014,800,,,,
1.9725937,800,,,,
1.9735088,765,,,,
1.9771417,797,,,,
1.9544296,800,,,,
2.0970558,800,,,,
1.9933384,765,,,,
2.0017937,800,,,,
1.9672138,788,,,,
1.9789448,800,,,,
2.0284861,800,,,,
1.935811,800,,,,
1.9581421,795,,,,
2.0316306,800,,,,
1.9849747,800,,,,
2.0369071,787,,,,
1.9977615,800,,,,
