Max Component Sizes,Compute Time (s),runScen2_3_1_rand,,Average Compute Size,Average Compute Time (s)
1.6876391,800,,,800,1.609782747
1.7519141,800,,,,
1.5704352,800,,,,
1.5687206,800,,,,
1.63219,800,,,,
1.6052893,800,,,,
1.7044073,800,,,,
1.6831514,800,,,,
1.5794621,800,,,,
1.6322597,800,,,,
1.6322894,800,,,,
1.6068583,800,,,,
1.5817426,800,,,,
1.5983455,800,,,,
1.5745852,800,,,,
1.6178582,800,,,,
1.5835373,800,,,,
1.6132161,800,,,,
1.5896585,800,,,,
1.5794595,800,,,,
1.6715048,800,,,,
1.6078771,800,,,,
1.6134107,800,,,,
1.6264391,800,,,,
1.5745426,800,,,,
1.6055857,800,,,,
1.6085471,800,,,,
1.6041722,800,,,,
1.6141633,800,,,,
1.5697046,800,,,,
1.5931881,800,,,,
1.6497145,800,,,,
1.6525338,800,,,,
1.6105642,800,,,,
1.5572154,800,,,,
1.6239026,800,,,,
1.6744088,800,,,,
1.5905818,800,,,,
1.6165064,800,,,,
1.6146222,800,,,,
1.6440153,800,,,,
1.6268321,800,,,,
1.6402607,800,,,,
1.6181517,800,,,,
1.54449,800,,,,
1.592681,800,,,,
1.5719809,800,,,,
1.5922513,800,,,,
1.6147071,800,,,,
1.7152726,800,,,,
1.6306546,800,,,,
1.6643497,800,,,,
1.5764611,800,,,,
1.585469,800,,,,
1.6005869,800,,,,
1.6367155,800,,,,
1.6454856,800,,,,
1.5965194,800,,,,
1.622565,800,,,,
1.6113412,800,,,,
1.6199696,800,,,,
1.5796478,800,,,,
1.5990936,800,,,,
1.5962102,800,,,,
1.6694219,800,,,,
1.6289138,800,,,,
1.6934189,800,,,,
1.5473064,800,,,,
1.5749591,800,,,,
1.5742555,800,,,,
1.5731042,800,,,,
1.6236529,800,,,,
1.6839245,800,,,,
1.6712343,800,,,,
1.6174035,800,,,,
1.6087913,800,,,,
1.5901828,800,,,,
1.5618912,800,,,,
1.6070233,800,,,,
1.5732382,800,,,,
1.6115299,800,,,,
1.639301,800,,,,
1.7874378,800,,,,
1.6273206,800,,,,
1.6379128,800,,,,
1.6113423,800,,,,
1.6003338,800,,,,
1.5799244,800,,,,
1.5931838,800,,,,
1.5304405,800,,,,
1.5865128,800,,,,
1.6936666,800,,,,
1.6343251,800,,,,
1.5640568,800,,,,
1.6032289,800,,,,
1.6277244,800,,,,
1.6529835,800,,,,
1.5666285,800,,,,
1.6403499,800,,,,
1.5972459,800,,,,
1.6065036,800,,,,
1.6006946,800,,,,
1.5503701,800,,,,
1.5900012,800,,,,
1.6293833,800,,,,
1.6298629,800,,,,
1.6277292,800,,,,
1.5674803,800,,,,
1.5954107,800,,,,
1.5475254,800,,,,
1.6451409,800,,,,
1.60988,800,,,,
1.6202535,800,,,,
1.5477101,800,,,,
1.6065618,800,,,,
1.6210388,800,,,,
1.5210477,800,,,,
1.6244867,800,,,,
1.6333367,800,,,,
1.6476635,800,,,,
1.7458954,800,,,,
1.5786417,800,,,,
1.6606235,800,,,,
1.643084,800,,,,
1.5893522,800,,,,
1.540256,800,,,,
1.6130153,800,,,,
1.6108492,800,,,,
1.5764307,800,,,,
1.6017876,800,,,,
1.5638945,800,,,,
1.5826697,800,,,,
1.5954206,800,,,,
1.5868969,800,,,,
1.6048921,800,,,,
1.5992424,800,,,,
1.586616,800,,,,
1.6054401,800,,,,
1.5977823,800,,,,
1.6354533,800,,,,
1.5768794,800,,,,
1.5890507,800,,,,
1.6201236,800,,,,
1.5607588,800,,,,
1.5840876,800,,,,
1.5845413,800,,,,
1.6132266,800,,,,
1.5682645,800,,,,
1.5835735,800,,,,
1.6216226,800,,,,
1.6600862,800,,,,
1.5632322,800,,,,
1.6400236,800,,,,
1.6055616,800,,,,
1.6655217,800,,,,
1.5805246,800,,,,
1.5974501,800,,,,
1.6427997,800,,,,
1.5949038,800,,,,
1.5843668,800,,,,
1.6141255,800,,,,
1.5873518,800,,,,
1.6114524,800,,,,
1.5781071,800,,,,
1.6336863,800,,,,
1.5547239,800,,,,
1.5315679,800,,,,
1.5896125,800,,,,
1.6512783,800,,,,
1.5979156,800,,,,
1.6279213,800,,,,
1.5806162,800,,,,
1.6147708,800,,,,
1.6016482,800,,,,
1.6464682,800,,,,
1.5601377,800,,,,
1.6201517,800,,,,
1.7040148,800,,,,
1.5659655,800,,,,
1.6095414,800,,,,
1.5698626,800,,,,
1.6200441,800,,,,
1.6050928,800,,,,
1.6280419,800,,,,
1.5535806,800,,,,
1.6501856,800,,,,
1.5775548,800,,,,
1.5451664,800,,,,
1.7043145,800,,,,
1.5815054,800,,,,
1.6366206,800,,,,
1.6047704,800,,,,
1.563143,800,,,,
1.6427268,800,,,,
1.5864751,800,,,,
1.6467175,800,,,,
1.6103467,800,,,,
1.6139292,800,,,,
1.6107084,800,,,,
1.5656951,800,,,,
