Max Component Sizes,Compute Time (s),runScen2Random,,Average Compute Time (s),Average Comp. Size
0.074309,1412,,,0.076773428,1580.385
0.081909,1579,,,,
0.0749888,1584,,,,
0.0745802,1600,,,,
0.074513,1600,,,,
0.0741682,1589,,,,
0.0993636,1583,,,,
0.0746916,1567,,,,
0.0754575,1585,,,,
0.074859,1556,,,,
0.0752298,1600,,,,
0.0747727,1587,,,,
0.0742526,1580,,,,
0.0741579,1581,,,,
0.0730052,1598,,,,
0.074931,1541,,,,
0.0750483,1585,,,,
0.0754585,1570,,,,
0.0738394,1584,,,,
0.0754434,1578,,,,
0.100903,1567,,,,
0.0758885,1575,,,,
0.0760614,1574,,,,
0.0739467,1517,,,,
0.074913,1573,,,,
0.0739606,1592,,,,
0.0749306,1585,,,,
0.0743401,1584,,,,
0.0750399,1591,,,,
0.0749719,1597,,,,
0.0748069,1592,,,,
0.0748624,1596,,,,
0.0993646,1600,,,,
0.0749539,1593,,,,
0.0741953,1593,,,,
0.0742072,1574,,,,
0.0742122,1579,,,,
0.0747703,1585,,,,
0.0747464,1584,,,,
0.0742858,1574,,,,
0.074068,1591,,,,
0.0741694,1600,,,,
0.0747317,1579,,,,
0.0749117,1590,,,,
0.0752347,1596,,,,
0.0752025,1592,,,,
0.1010664,1593,,,,
0.0752241,1583,,,,
0.0755357,1598,,,,
0.0753101,1585,,,,
0.0751462,1529,,,,
0.074837,1583,,,,
0.0757219,1594,,,,
0.0750547,1588,,,,
0.0762612,1595,,,,
0.0744942,1594,,,,
0.074278,1596,,,,
0.0747663,1600,,,,
0.1000267,1576,,,,
0.0744177,1596,,,,
0.0743981,1600,,,,
0.0740242,1586,,,,
0.0756073,1600,,,,
0.074654,1584,,,,
0.0744191,1596,,,,
0.0736896,1591,,,,
0.0745837,1589,,,,
0.0756053,1596,,,,
0.0751068,1583,,,,
0.0747505,1555,,,,
0.0754019,1597,,,,
0.0748091,1577,,,,
0.1010805,1592,,,,
0.0745677,1588,,,,
0.0745204,1578,,,,
0.0765952,1600,,,,
0.0752901,1600,,,,
0.0750937,1600,,,,
0.0759144,1581,,,,
0.0740545,1521,,,,
0.07455,1562,,,,
0.0749699,1584,,,,
0.0750924,1579,,,,
0.0742848,1522,,,,
0.1001148,1593,,,,
0.0744789,1593,,,,
0.0742361,1590,,,,
0.0746187,1564,,,,
0.0748206,1590,,,,
0.0745296,1583,,,,
0.0749508,1600,,,,
0.0750514,1596,,,,
0.073922,1585,,,,
0.0750487,1569,,,,
0.074881,1594,,,,
0.0743587,1600,,,,
0.0742851,1599,,,,
0.0754494,1593,,,,
0.0990351,1589,,,,
0.075018,1574,,,,
0.0743995,1580,,,,
0.0743503,1593,,,,
0.0740755,1597,,,,
0.0750211,1541,,,,
0.0749652,1582,,,,
0.0757695,1597,,,,
0.0751799,1574,,,,
0.0751847,1559,,,,
0.0751479,1578,,,,
0.0750682,1588,,,,
0.1007315,1588,,,,
0.0746657,1588,,,,
0.0755581,1592,,,,
0.0745063,1596,,,,
0.077035,1590,,,,
0.0744102,1587,,,,
0.0748904,1584,,,,
0.0746539,1580,,,,
0.0740355,1569,,,,
0.0743478,1584,,,,
0.0744546,1545,,,,
0.0748678,1573,,,,
0.0741701,1585,,,,
0.0743177,1563,,,,
0.1000287,1600,,,,
0.0748295,1573,,,,
0.0742608,1272,,,,
0.0744483,1578,,,,
0.0750618,1578,,,,
0.0747969,1574,,,,
0.0750535,1588,,,,
0.0755466,1592,,,,
0.075326,1598,,,,
0.0760062,1567,,,,
0.0749344,1575,,,,
0.0758399,1572,,,,
0.1000346,1569,,,,
0.0748214,1581,,,,
0.0746131,1587,,,,
0.076996,1600,,,,
0.0744561,1589,,,,
0.0744946,1574,,,,
0.0755137,1593,,,,
0.0738913,1593,,,,
0.0740836,1582,,,,
0.0750697,1596,,,,
0.0753155,1593,,,,
0.0748647,1592,,,,
0.0742639,1600,,,,
0.0748994,1596,,,,
0.1005469,1534,,,,
0.0740004,1588,,,,
0.0751219,1592,,,,
0.0748702,1597,,,,
0.0746958,1583,,,,
0.0750361,1587,,,,
0.0754159,1595,,,,
0.0747975,1597,,,,
0.075011,1588,,,,
0.0751379,1555,,,,
0.0747925,1586,,,,
0.0761589,1591,,,,
0.1016706,1591,,,,
0.0753707,1594,,,,
0.0745119,1592,,,,
0.0747557,1591,,,,
0.074871,1586,,,,
0.0746879,1589,,,,
0.0743865,1600,,,,
0.0748016,1559,,,,
0.0746835,1554,,,,
0.0749607,1591,,,,
0.0746971,1556,,,,
0.0741629,1569,,,,
0.07433,1563,,,,
0.0743667,1584,,,,
0.1002996,1592,,,,
0.0745586,1585,,,,
0.0745021,1582,,,,
0.074963,1578,,,,
0.0750076,1583,,,,
0.0739143,1585,,,,
0.074258,1597,,,,
0.0750616,1573,,,,
0.0743471,1541,,,,
0.0743746,1593,,,,
0.0737571,1589,,,,
0.0760917,1597,,,,
0.1010056,1579,,,,
0.0741149,1584,,,,
0.0755498,1587,,,,
0.0759059,1593,,,,
0.0756565,1519,,,,
0.0752867,1593,,,,
0.0742748,1596,,,,
0.0745623,1574,,,,
0.0749347,1559,,,,
0.0746874,1576,,,,
0.0747972,1583,,,,
0.0750164,1587,,,,
