Max Component Sizes,Compute Time (s),runScen2_2Random,,Average Compute Size,Average Compute Time (s)
0.0716566,1600,,,1598.5,0.074818373
0.0718811,1600,,,,
0.0708957,1600,,,,
0.0710798,1600,,,,
0.0710399,1600,,,,
0.0785461,1600,,,,
0.0725357,1600,,,,
0.0761603,1600,,,,
0.0827387,1600,,,,
0.0754489,1600,,,,
0.0722953,1600,,,,
0.0984643,1600,,,,
0.0711541,1600,,,,
0.0797722,1600,,,,
0.0807821,1600,,,,
0.1055255,1600,,,,
0.0907825,1600,,,,
0.0777046,1600,,,,
0.0820022,1600,,,,
0.0773903,1600,,,,
0.0771788,1600,,,,
0.0780554,1600,,,,
0.0745439,1600,,,,
0.0738217,1600,,,,
0.0725067,1600,,,,
0.1064741,1600,,,,
0.0734925,1600,,,,
0.0735707,1600,,,,
0.0721499,1600,,,,
0.0787089,1600,,,,
0.0716631,1600,,,,
0.0717988,1600,,,,
0.0774721,1600,,,,
0.078455,1600,,,,
0.079151,1600,,,,
0.0810559,1600,,,,
0.071395,1600,,,,
0.0714199,1600,,,,
0.0769851,1600,,,,
0.0722465,1600,,,,
0.0716774,1600,,,,
0.0779047,1600,,,,
0.0734381,1600,,,,
0.0730062,1600,,,,
0.0728735,1600,,,,
0.0723018,1600,,,,
0.0810852,1600,,,,
0.0731541,1600,,,,
0.0721002,1600,,,,
0.0803841,1600,,,,
0.081162,1600,,,,
0.0720143,1600,,,,
0.0737083,1600,,,,
0.0845206,1600,,,,
0.0800191,1600,,,,
0.0770526,1600,,,,
0.0763872,1600,,,,
0.07058,1600,,,,
0.1298623,1600,,,,
0.0911618,1600,,,,
0.0842348,1600,,,,
0.0809969,1600,,,,
0.0764948,1600,,,,
0.084926,1600,,,,
0.0784967,1600,,,,
0.073069,1600,,,,
0.0822955,1600,,,,
0.073882,1600,,,,
0.0753876,1600,,,,
0.0725419,1600,,,,
0.0754954,1600,,,,
0.0722607,1600,,,,
0.0714091,1600,,,,
0.0757609,1600,,,,
0.0725083,1600,,,,
0.0803772,1600,,,,
0.0724673,1600,,,,
0.0721266,1600,,,,
0.0735761,1600,,,,
0.0799378,1600,,,,
0.0786646,1600,,,,
0.0712055,1600,,,,
0.0722868,1600,,,,
0.0760911,1600,,,,
0.0849263,1600,,,,
0.0737752,1370,,,,
0.0785459,1600,,,,
0.0844546,1600,,,,
0.0725251,1600,,,,
0.0725148,1600,,,,
0.0732467,1600,,,,
0.076072,1600,,,,
0.0815198,1600,,,,
0.0743288,1600,,,,
0.0738506,1600,,,,
0.0931112,1600,,,,
0.0755775,1600,,,,
0.0747677,1600,,,,
0.0732074,1600,,,,
0.0736982,1600,,,,
0.0763657,1600,,,,
0.0788119,1600,,,,
0.0731329,1600,,,,
0.0731961,1600,,,,
0.0733687,1600,,,,
0.0831845,1600,,,,
0.0761435,1600,,,,
0.0770133,1600,,,,
0.073032,1600,,,,
0.0738964,1600,,,,
0.0736591,1600,,,,
0.0727382,1600,,,,
0.0721493,1600,,,,
0.0726215,1600,,,,
0.073052,1600,,,,
0.073175,1600,,,,
0.0727718,1600,,,,
0.0751946,1600,,,,
0.0736977,1600,,,,
0.0745616,1600,,,,
0.0716901,1600,,,,
0.0733239,1600,,,,
0.0881853,1600,,,,
0.0709111,1600,,,,
0.06811,1600,,,,
0.0676187,1600,,,,
0.068373,1600,,,,
0.0721797,1600,,,,
0.0772591,1600,,,,
0.0721618,1600,,,,
0.0715086,1600,,,,
0.0728503,1600,,,,
0.0705457,1600,,,,
0.07355,1600,,,,
0.0732048,1600,,,,
0.0718613,1600,,,,
0.0686321,1600,,,,
0.0996143,1600,,,,
0.0721423,1600,,,,
0.0720937,1600,,,,
0.0735856,1600,,,,
0.0764015,1600,,,,
0.0748247,1600,,,,
0.0757902,1600,,,,
0.0801919,1600,,,,
0.0693384,1600,,,,
0.0676393,1530,,,,
0.070274,1600,,,,
0.0692957,1600,,,,
0.0696883,1600,,,,
0.0700189,1600,,,,
0.0695893,1600,,,,
0.0695283,1600,,,,
0.0696413,1600,,,,
0.0691573,1600,,,,
0.0693837,1600,,,,
0.0695672,1600,,,,
0.0695258,1600,,,,
0.0701573,1600,,,,
0.0695027,1600,,,,
0.0694869,1600,,,,
0.0689733,1600,,,,
0.0764286,1600,,,,
0.0696211,1600,,,,
0.0702525,1600,,,,
0.0697187,1600,,,,
0.0700159,1600,,,,
0.0691361,1600,,,,
0.0702143,1600,,,,
0.069255,1600,,,,
0.0695911,1600,,,,
0.0697753,1600,,,,
0.069389,1600,,,,
0.0771575,1600,,,,
0.0697783,1600,,,,
0.0691598,1600,,,,
0.0705086,1600,,,,
0.0710259,1600,,,,
0.0690527,1600,,,,
0.0696229,1600,,,,
0.069887,1600,,,,
0.0693316,1600,,,,
0.0699297,1600,,,,
0.0699747,1600,,,,
0.0693352,1600,,,,
0.069499,1600,,,,
0.069503,1600,,,,
0.0702095,1600,,,,
0.0690004,1600,,,,
0.0705763,1600,,,,
0.0699495,1600,,,,
0.0694883,1600,,,,
0.0704046,1600,,,,
0.0704925,1600,,,,
0.0753733,1600,,,,
0.0761157,1600,,,,
0.0696089,1600,,,,
0.0701068,1600,,,,
0.0700428,1600,,,,
0.0689905,1600,,,,
