Max Component Sizes,Compute Time (s),runScen2_2Random,,Average Compute Time (s),Average Comp. Size
0.069462,1549,,,0.071202849,1564.83
0.0688803,819,,,,
0.0690236,1596,,,,
0.0693279,1591,,,,
0.0690013,1582,,,,
0.0694363,1584,,,,
0.0687331,1600,,,,
0.0691499,1579,,,,
0.0695792,1584,,,,
0.0692835,1584,,,,
0.069321,1589,,,,
0.0687423,1584,,,,
0.0685947,1549,,,,
0.0949713,1589,,,,
0.0690087,1584,,,,
0.0690281,1590,,,,
0.0686024,1584,,,,
0.0685316,1589,,,,
0.0685792,1578,,,,
0.0689041,1599,,,,
0.0694796,1573,,,,
0.0689219,1592,,,,
0.0692689,822,,,,
0.0703476,1581,,,,
0.0970606,1587,,,,
0.0697131,1585,,,,
0.0688424,1587,,,,
0.069385,1589,,,,
0.0692603,1586,,,,
0.0688215,1573,,,,
0.0688307,1594,,,,
0.0681199,1074,,,,
0.0688287,1600,,,,
0.0695486,1594,,,,
0.0693288,1575,,,,
0.0685649,1589,,,,
0.0685171,1593,,,,
0.0691355,1564,,,,
0.0946449,1579,,,,
0.0690343,1536,,,,
0.0684342,1597,,,,
0.068243,1319,,,,
0.0691209,1583,,,,
0.0720507,1591,,,,
0.069218,1564,,,,
0.0687032,1596,,,,
0.0687065,1470,,,,
0.0693563,1599,,,,
0.0683529,1584,,,,
0.0690479,1595,,,,
0.0936624,1600,,,,
0.0690665,1555,,,,
0.0686926,1593,,,,
0.0688584,1591,,,,
0.0693181,1586,,,,
0.068914,1587,,,,
0.0691659,1561,,,,
0.068163,1594,,,,
0.06925,1575,,,,
0.0693947,1570,,,,
0.0707028,1591,,,,
0.0700266,1583,,,,
0.0759941,1583,,,,
0.0696195,1563,,,,
0.0958307,1591,,,,
0.0697173,1594,,,,
0.0695289,1584,,,,
0.0697507,1592,,,,
0.0693289,1593,,,,
0.0696265,1592,,,,
0.0693421,1587,,,,
0.0692845,1587,,,,
0.0691315,1596,,,,
0.0687352,1586,,,,
0.0691544,1560,,,,
0.0694161,1590,,,,
0.0938737,1590,,,,
0.0689379,1586,,,,
0.0689552,1592,,,,
0.0695992,1559,,,,
0.0696483,1592,,,,
0.0690103,1583,,,,
0.069209,1600,,,,
0.0689973,1600,,,,
0.0705287,1570,,,,
0.0696992,1585,,,,
0.0695237,1587,,,,
0.0691882,1568,,,,
0.0681529,1577,,,,
0.0686487,1595,,,,
0.0952172,1594,,,,
0.0700728,1580,,,,
0.0686667,1597,,,,
0.0687946,1560,,,,
0.0680683,1592,,,,
0.0691557,1585,,,,
0.0692751,1584,,,,
0.0688693,1593,,,,
0.0693289,1589,,,,
0.0686252,1598,,,,
0.0689765,1581,,,,
0.0695845,1566,,,,
0.0945418,1576,,,,
0.0684083,1578,,,,
0.069547,1590,,,,
0.0697893,1573,,,,
0.0689936,1583,,,,
0.069805,1589,,,,
0.0699902,1596,,,,
0.0694577,1570,,,,
0.0697857,1577,,,,
0.0696136,1572,,,,
0.0700403,1583,,,,
0.0685555,1569,,,,
0.069031,1321,,,,
0.0690347,1535,,,,
0.0961913,1593,,,,
0.0697218,1596,,,,
0.0698908,1589,,,,
0.0689607,1594,,,,
0.0686823,1583,,,,
0.0692044,1588,,,,
0.0689645,1578,,,,
0.0690866,1593,,,,
0.0688391,1581,,,,
0.0691993,1599,,,,
0.0690332,1589,,,,
0.0695362,1595,,,,
0.0944093,1596,,,,
0.0691846,1586,,,,
0.068811,1558,,,,
0.0692799,1581,,,,
0.0686856,1520,,,,
0.0686592,1591,,,,
0.0691205,1591,,,,
0.0692607,1583,,,,
0.06887,1582,,,,
0.0697793,1594,,,,
0.0691596,1542,,,,
0.06909,1556,,,,
0.0693803,1589,,,,
0.0694132,1592,,,,
0.0945852,1322,,,,
0.0693722,1587,,,,
0.0687923,1588,,,,
0.0710406,1595,,,,
0.0687297,1550,,,,
0.0706095,1592,,,,
0.0697085,1597,,,,
0.0697,1592,,,,
0.0692124,1566,,,,
0.0688323,1547,,,,
0.0697752,1591,,,,
0.0694207,1560,,,,
0.0938259,1588,,,,
0.0697401,1575,,,,
0.0688199,1595,,,,
0.0689115,1594,,,,
0.0694896,1575,,,,
0.0691211,1579,,,,
0.0695563,1597,,,,
0.0687441,1593,,,,
0.0695049,1588,,,,
0.0700921,1584,,,,
0.0689481,1586,,,,
0.0701363,1596,,,,
0.0687571,1581,,,,
0.0693973,1574,,,,
0.0960747,1585,,,,
0.0692525,1311,,,,
0.0690356,1568,,,,
0.069155,1595,,,,
0.0689617,1566,,,,
0.069558,1581,,,,
0.0691131,1577,,,,
0.0691298,1600,,,,
0.0689613,1560,,,,
0.0689076,1595,,,,
0.0684107,1595,,,,
0.0694245,1589,,,,
0.094753,1588,,,,
0.0687973,1591,,,,
0.0699712,1583,,,,
0.0692163,1598,,,,
0.0688989,1568,,,,
0.0690981,1590,,,,
0.0690631,1107,,,,
0.068927,1595,,,,
0.0693684,1598,,,,
0.0703934,1566,,,,
0.0699797,1592,,,,
0.0703581,1583,,,,
0.0703685,1592,,,,
0.069913,1565,,,,
0.0964713,1598,,,,
0.0697571,1586,,,,
0.0690583,1587,,,,
0.06883,1581,,,,
0.0693807,1582,,,,
0.068821,1590,,,,
