Max Component Sizes,Compute Time (s),runScen2_3Random,,Average Compute Size,Average Compute Time (s)
111.8325334,1600,,,1600,246.4051627
114.2794145,1600,,,,
114.4733387,1600,,,,
112.8477954,1600,,,,
112.9318321,1600,,,,
113.4422737,1600,,,,
111.8396426,1600,,,,
113.5640143,1600,,,,
113.43461,1600,,,,
112.0859093,1600,,,,
110.8527125,1600,,,,
112.3776638,1600,,,,
112.8856992,1600,,,,
112.994393,1600,,,,
111.1917754,1600,,,,
112.6306607,1600,,,,
113.2404032,1600,,,,
110.1865212,1600,,,,
110.7917879,1600,,,,
111.7076567,1600,,,,
114.6399396,1600,,,,
111.7449016,1600,,,,
112.2378648,1600,,,,
113.8764685,1600,,,,
113.7653363,1600,,,,
112.0968988,1600,,,,
111.9148778,1600,,,,
111.8280588,1600,,,,
110.4849335,1600,,,,
114.5128066,1600,,,,
114.3685502,1600,,,,
114.0624118,1600,,,,
114.9399016,1600,,,,
112.3224098,1600,,,,
114.2467534,1600,,,,
113.859569,1600,,,,
112.149732,1600,,,,
112.1895375,1600,,,,
113.0574638,1600,,,,
114.1134621,1600,,,,
112.4244043,1600,,,,
112.9728306,1600,,,,
113.5916713,1600,,,,
112.7298809,1600,,,,
112.3273327,1600,,,,
113.4756003,1600,,,,
112.9642836,1600,,,,
113.811394,1600,,,,
111.7122523,1600,,,,
114.290294,1600,,,,
113.9277609,1600,,,,
114.0005917,1600,,,,
113.5917188,1600,,,,
112.6573685,1600,,,,
111.2782648,1600,,,,
112.1142383,1600,,,,
110.7681911,1600,,,,
110.7360805,1600,,,,
112.365057,1600,,,,
111.9891579,1600,,,,
111.7404712,1600,,,,
112.6463575,1600,,,,
113.3564966,1600,,,,
112.7772301,1600,,,,
112.8467625,1600,,,,
112.1417892,1600,,,,
114.2118288,1600,,,,
112.6870205,1600,,,,
113.3227972,1600,,,,
112.3216899,1600,,,,
112.4535746,1600,,,,
113.0640848,1600,,,,
112.1751049,1600,,,,
112.8099232,1600,,,,
112.2859625,1600,,,,
112.3658525,1600,,,,
114.0878195,1600,,,,
113.486859,1600,,,,
113.832647,1600,,,,
112.4759185,1600,,,,
111.1571308,1600,,,,
113.2055218,1600,,,,
113.2675899,1600,,,,
112.9718303,1600,,,,
112.8131671,1600,,,,
113.8549776,1600,,,,
113.872627,1600,,,,
113.390498,1600,,,,
111.9940447,1600,,,,
113.8861518,1600,,,,
113.5532971,1600,,,,
112.0319686,1600,,,,
114.0889086,1600,,,,
112.3938525,1600,,,,
113.7314354,1600,,,,
115.1483343,1600,,,,
112.9140616,1600,,,,
114.4718489,1600,,,,
112.9119156,1600,,,,
111.8417019,1600,,,,
114.3596917,1600,,,,
113.3009372,1600,,,,
112.9167048,1600,,,,
113.0007955,1600,,,,
112.7481197,1600,,,,
26490.95145,1600,,,,
115.7965057,1600,,,,
116.0358087,1600,,,,
114.6369789,1600,,,,
112.9248354,1600,,,,
114.0701538,1600,,,,
117.3834761,1600,,,,
116.6884463,1600,,,,
115.3846186,1600,,,,
113.435304,1600,,,,
113.0802178,1600,,,,
112.3744911,1600,,,,
114.2904898,1600,,,,
113.5739968,1600,,,,
114.5438649,1600,,,,
113.2715437,1600,,,,
119.4841109,1600,,,,
115.4335402,1600,,,,
115.0246126,1600,,,,
116.2035329,1600,,,,
116.3281638,1600,,,,
111.9655729,1600,,,,
114.6732187,1600,,,,
114.8970269,1600,,,,
111.2641442,1600,,,,
113.5494365,1600,,,,
112.195538,1600,,,,
115.4967159,1600,,,,
113.7767123,1600,,,,
114.168632,1600,,,,
115.3922508,1600,,,,
115.9891395,1600,,,,
113.5973509,1600,,,,
113.361226,1600,,,,
119.7715092,1600,,,,
111.8686317,1600,,,,
112.9771801,1600,,,,
115.2272689,1600,,,,
113.6590535,1600,,,,
113.2841417,1600,,,,
110.7669612,1600,,,,
114.8772858,1600,,,,
112.5365311,1600,,,,
111.5285351,1600,,,,
113.4257302,1600,,,,
112.4052142,1600,,,,
115.5958833,1600,,,,
113.5132878,1600,,,,
117.8924164,1600,,,,
113.6819666,1600,,,,
115.4564025,1600,,,,
117.8331366,1600,,,,
118.9049401,1600,,,,
113.9732897,1600,,,,
118.535572,1600,,,,
118.5870407,1600,,,,
118.4914074,1600,,,,
118.3640981,1600,,,,
114.8010644,1600,,,,
118.1363426,1600,,,,
118.2276202,1600,,,,
117.2673467,1600,,,,
118.2129468,1600,,,,
120.0749021,1600,,,,
117.5450577,1600,,,,
121.9668821,1600,,,,
118.9850199,1600,,,,
117.5074176,1600,,,,
116.3455277,1600,,,,
114.6923954,1600,,,,
115.4712394,1600,,,,
123.2953807,1600,,,,
127.6229915,1600,,,,
121.8962195,1600,,,,
115.4541605,1600,,,,
114.874559,1600,,,,
123.299658,1600,,,,
125.2646477,1600,,,,
126.6506018,1600,,,,
123.046747,1600,,,,
119.9625597,1600,,,,
122.0060698,1600,,,,
118.513761,1600,,,,
118.9842403,1600,,,,
116.4926677,1600,,,,
115.2554186,1600,,,,
115.7750518,1600,,,,
115.4186396,1600,,,,
117.8524362,1600,,,,
122.6591487,1600,,,,
112.9140484,1600,,,,
117.3682821,1600,,,,
120.3176862,1600,,,,
113.5693824,1600,,,,
116.2556419,1600,,,,
