Max Component Size,Compute Time (s),partition_lgraph_spectral,,
1600,3.0412574,,1600,3.152131227
1600,2.9946424,,,
1600,3.1444832,,,
1600,2.926876,,,
1600,2.9507681,,,
1600,3.0483463,,,
1600,2.9611155,,,
1600,2.9937139,,,
1600,2.9895706,,,
1600,3.0724734,,,
1600,3.8608887,,,
1600,2.9579988,,,
1600,3.0211726,,,
1600,2.9932709,,,
1600,3.026289,,,
1600,2.9970353,,,
1600,2.9325433,,,
1600,2.9377817,,,
1600,2.9552943,,,
1600,2.9564701,,,
1600,2.9947379,,,
1600,2.9608187,,,
1600,2.9903457,,,
1600,3.0348158,,,
1600,2.9788371,,,
1600,4.1462451,,,
1600,2.9836129,,,
1600,2.997003,,,
1600,3.0482648,,,
1600,2.9548987,,,
1600,2.9877494,,,
1600,3.0043483,,,
1600,2.9859798,,,
1600,2.9730793,,,
1600,2.983001,,,
1600,2.9837708,,,
1600,3.0060063,,,
1600,3.1761885,,,
1600,2.9753624,,,
1600,2.9689934,,,
1600,3.022032,,,
1600,3.764531,,,
1600,3.0993086,,,
1600,2.9908069,,,
1600,3.0220667,,,
1600,2.966528,,,
1600,2.9754247,,,
1600,3.0159489,,,
1600,2.9669074,,,
1600,2.996424,,,
1600,2.938466,,,
1600,3.0079669,,,
1600,3.0148568,,,
1600,3.020134,,,
1600,3.0638564,,,
1600,3.024792,,,
1600,5.3593629,,,
1600,3.0427063,,,
1600,3.0670546,,,
1600,2.9719319,,,
1600,2.9852836,,,
1600,2.9903405,,,
1600,2.953643,,,
1600,2.9934914,,,
1600,2.9710577,,,
1600,3.0777688,,,
1600,2.9735813,,,
1600,2.9765395,,,
1600,3.0836594,,,
1600,3.0772796,,,
1600,2.9883353,,,
1600,5.7564183,,,
1600,2.9988585,,,
1600,2.9908806,,,
1600,3.034728,,,
1600,2.9994269,,,
1600,2.9910843,,,
1600,3.055959,,,
1600,2.9617392,,,
1600,3.0587889,,,
1600,2.9867884,,,
1600,3.0035136,,,
1600,2.9411238,,,
1600,2.9297057,,,
1600,2.9523583,,,
1600,2.9631808,,,
1600,5.9674074,,,
1600,3.0255241,,,
1600,2.9566444,,,
1600,2.9829129,,,
1600,2.9774221,,,
1600,3.0013062,,,
1600,2.9707557,,,
1600,3.0073826,,,
1600,2.9574658,,,
1600,2.9279172,,,
1600,2.9661371,,,
1600,2.9795815,,,
1600,3.0171158,,,
1600,2.9617792,,,
1600,2.9771183,,,
1600,5.7091157,,,
1600,3.0579438,,,
1600,2.9767706,,,
1600,2.954851,,,
1600,2.995484,,,
1600,2.9178586,,,
1600,2.9509291,,,
1600,2.9696864,,,
1600,2.9755272,,,
1600,3.0191145,,,
1600,2.9787809,,,
1600,3.0172231,,,
1600,3.0732777,,,
1600,2.980329,,,
1600,2.9521745,,,
1600,6.0569332,,,
1600,2.9409928,,,
1600,3.0171871,,,
1600,2.9727334,,,
1600,2.9672303,,,
1600,2.9559313,,,
1600,2.9828822,,,
1600,2.9847092,,,
1600,3.1790919,,,
1600,3.0015858,,,
1600,2.9537071,,,
1600,2.9388393,,,
1600,2.9921926,,,
1600,3.0037294,,,
1600,3.0263764,,,
1600,5.7914687,,,
1600,2.9862164,,,
1600,2.9552796,,,
1600,3.014657,,,
1600,2.9772778,,,
1600,3.0129732,,,
1600,3.0056794,,,
1600,2.9240911,,,
1600,2.941707,,,
1600,2.9640643,,,
1600,3.019084,,,
1600,3.0785381,,,
1600,2.977397,,,
1600,3.0120813,,,
1600,2.9838943,,,
1600,5.7894231,,,
1600,2.9706711,,,
1600,2.9805857,,,
1600,3.0085888,,,
1600,2.9651221,,,
1600,3.0060608,,,
1600,3.0532786,,,
1600,3.0726966,,,
1600,3.0241244,,,
1600,2.9736613,,,
1600,2.9776786,,,
1600,3.1296692,,,
1600,2.9887259,,,
1600,2.9701054,,,
1600,2.9857287,,,
1600,5.6339107,,,
1600,2.9849726,,,
1600,3.0665847,,,
1600,2.9511118,,,
1600,3.1017708,,,
1600,3.0088519,,,
1600,3.0210104,,,
1600,3.0352327,,,
1600,3.018355,,,
1600,3.0355538,,,
1600,3.024598,,,
1600,2.955827,,,
1600,3.0489218,,,
1600,3.0406355,,,
1600,2.9896192,,,
1600,6.2330728,,,
1600,3.1073527,,,
1600,3.1153274,,,
1600,2.9864345,,,
1600,3.0245823,,,
1600,2.9765701,,,
1600,2.968386,,,
1600,2.969378,,,
1600,3.0275164,,,
1600,2.9626247,,,
1600,3.0089154,,,
1600,2.9822502,,,
1600,2.979701,,,
1600,3.0034707,,,
1600,3.0351063,,,
1600,5.703057,,,
1600,2.9741874,,,
1600,2.904149,,,
1600,2.9502681,,,
1600,2.9943409,,,
1600,2.9748546,,,
1600,2.9719413,,,
1600,3.021478,,,
1600,2.991446,,,
