Max Component Size,Compute Time (s),runScen2_2Random,,,,
100,0.0013329,,100,0.001347769,,100
100,0.0015175,,,,,
100,0.0013577,,,,,
100,0.0019278,,,,,
100,0.0013316,,,,,
100,0.0015594,,,,,
100,0.0012795,,,,,
100,0.0013441,,,,,
100,0.0014225,,,,,
100,0.0013344,,,,,
100,0.0013726,,,,,
100,0.0014644,,,,,
100,0.0018957,,,,,
100,0.0013526,,,,,
100,0.0013231,,,,,
100,0.001594,,,,,
100,0.0013889,,,,,
100,0.0015595,,,,,
100,0.0017276,,,,,
100,0.0013286,,,,,
100,0.0017655,,,,,
100,0.001366,,,,,
100,0.0012496,,,,,
100,0.0016316,,,,,
100,0.001612,,,,,
100,0.0020824,,,,,
100,0.0019144,,,,,
100,0.0017579,,,,,
100,0.0013522,,,,,
100,0.0013268,,,,,
100,0.0012824,,,,,
100,0.0012663,,,,,
100,0.0013491,,,,,
100,0.0015718,,,,,
100,0.001363,,,,,
100,0.0013995,,,,,
100,0.0013444,,,,,
100,0.0015418,,,,,
100,0.0013686,,,,,
100,0.0025664,,,,,
100,0.0014317,,,,,
100,0.0015158,,,,,
100,0.0015193,,,,,
100,0.0013004,,,,,
100,0.0015232,,,,,
100,0.001257,,,,,
100,0.0012647,,,,,
100,0.001279,,,,,
100,0.0012717,,,,,
100,0.001604,,,,,
100,0.0012785,,,,,
100,0.0012976,,,,,
100,0.0013363,,,,,
100,0.0012782,,,,,
100,0.0012746,,,,,
100,0.0013469,,,,,
100,0.0013394,,,,,
100,0.0012575,,,,,
100,0.001286,,,,,
100,0.0012734,,,,,
100,0.0012817,,,,,
100,0.0013429,,,,,
100,0.0012453,,,,,
100,0.0014201,,,,,
100,0.0013141,,,,,
100,0.001247,,,,,
100,0.0012844,,,,,
100,0.0012842,,,,,
100,0.0012705,,,,,
100,0.0016503,,,,,
100,0.0013232,,,,,
100,0.001266,,,,,
100,0.0012675,,,,,
100,0.0013017,,,,,
100,0.0012727,,,,,
100,0.0014276,,,,,
100,0.0012537,,,,,
100,0.0013148,,,,,
100,0.0012675,,,,,
100,0.0013832,,,,,
100,0.0013544,,,,,
100,0.0012623,,,,,
100,0.0016805,,,,,
100,0.0012854,,,,,
100,0.0013861,,,,,
100,0.001413,,,,,
100,0.0012448,,,,,
100,0.0012572,,,,,
100,0.0013095,,,,,
100,0.001288,,,,,
100,0.0018506,,,,,
100,0.0012767,,,,,
100,0.0013038,,,,,
100,0.0012803,,,,,
100,0.0013046,,,,,
100,0.0012653,,,,,
100,0.0014451,,,,,
100,0.0012645,,,,,
100,0.0012785,,,,,
100,0.001307,,,,,
100,0.0012161,,,,,
100,0.0012553,,,,,
100,0.0012944,,,,,
100,0.0013366,,,,,
100,0.0014405,,,,,
100,0.0012622,,,,,
100,0.001259,,,,,
100,0.0012804,,,,,
100,0.0012183,,,,,
100,0.0012769,,,,,
100,0.0013176,,,,,
100,0.001239,,,,,
100,0.0013029,,,,,
100,0.0013134,,,,,
100,0.0012207,,,,,
100,0.0013614,,,,,
100,0.0012544,,,,,
100,0.0012807,,,,,
100,0.0013074,,,,,
100,0.0012981,,,,,
100,0.0012132,,,,,
100,0.0013008,,,,,
100,0.0012421,,,,,
100,0.0012368,,,,,
100,0.0013154,,,,,
100,0.0013556,,,,,
100,0.0012837,,,,,
100,0.0012843,,,,,
100,0.0013418,,,,,
100,0.001278,,,,,
100,0.0012163,,,,,
100,0.0013141,,,,,
100,0.001299,,,,,
100,0.0012715,,,,,
100,0.0012295,,,,,
100,0.0012386,,,,,
100,0.0012733,,,,,
100,0.0012893,,,,,
100,0.0012507,,,,,
100,0.0012521,,,,,
100,0.0012889,,,,,
100,0.0012845,,,,,
100,0.0012591,,,,,
100,0.0012613,,,,,
100,0.0012655,,,,,
100,0.0012633,,,,,
100,0.0012642,,,,,
100,0.0012771,,,,,
100,0.0012687,,,,,
100,0.0012922,,,,,
100,0.0012633,,,,,
100,0.0012881,,,,,
100,0.0012927,,,,,
100,0.0013393,,,,,
100,0.0012618,,,,,
100,0.0012719,,,,,
100,0.0012738,,,,,
100,0.0012384,,,,,
100,0.0012426,,,,,
100,0.0012984,,,,,
100,0.00123,,,,,
100,0.001242,,,,,
100,0.0012503,,,,,
100,0.0012491,,,,,
100,0.001241,,,,,
100,0.0012606,,,,,
100,0.0013497,,,,,
100,0.0012167,,,,,
100,0.0012963,,,,,
100,0.0013654,,,,,
100,0.0012652,,,,,
100,0.0012861,,,,,
100,0.0012789,,,,,
100,0.0012528,,,,,
100,0.0013884,,,,,
100,0.0012931,,,,,
100,0.0012746,,,,,
100,0.0012675,,,,,
100,0.0012169,,,,,
100,0.0012804,,,,,
100,0.001269,,,,,
100,0.0012293,,,,,
100,0.0012534,,,,,
100,0.0012682,,,,,
100,0.0012962,,,,,
100,0.0012468,,,,,
100,0.0012563,,,,,
100,0.0012859,,,,,
100,0.0013766,,,,,
100,0.0018929,,,,,
100,0.0013542,,,,,
100,0.0012406,,,,,
100,0.0012441,,,,,
100,0.0012807,,,,,
100,0.001338,,,,,
100,0.0014528,,,,,
100,0.001294,,,,,
100,0.0012745,,,,,
100,0.0012878,,,,,
100,0.0012538,,,,,
