Max Component Size,Compute Time (s),runScen2_2Random,,
400,0.004941,,400,0.005190309
400,0.0059869,,,
400,0.0052742,,,
400,0.0051788,,,
400,0.0054298,,,
400,0.0057272,,,
400,0.0066267,,,
400,0.0051857,,,
400,0.0052534,,,
400,0.0051343,,,
400,0.0051015,,,
400,0.0050436,,,
400,0.005105,,,
400,0.0051158,,,
400,0.0049486,,,
400,0.0051696,,,
400,0.0053316,,,
400,0.0051503,,,
400,0.0051623,,,
400,0.0050416,,,
400,0.0051298,,,
400,0.005186,,,
400,0.0051439,,,
400,0.0050266,,,
400,0.0051965,,,
400,0.005046,,,
400,0.0050147,,,
400,0.0052701,,,
400,0.0050208,,,
400,0.0052642,,,
400,0.0049659,,,
400,0.0054559,,,
400,0.0051907,,,
400,0.0049696,,,
400,0.0050183,,,
400,0.0054823,,,
400,0.0050718,,,
400,0.0052776,,,
400,0.0049784,,,
400,0.0050134,,,
400,0.0052477,,,
400,0.0052073,,,
400,0.0049836,,,
400,0.005096,,,
400,0.0052359,,,
400,0.0052838,,,
400,0.0050726,,,
400,0.005113,,,
400,0.0051412,,,
400,0.0052188,,,
400,0.0051728,,,
400,0.0051196,,,
400,0.0051549,,,
400,0.0051958,,,
400,0.0058153,,,
400,0.0051578,,,
400,0.0051877,,,
400,0.0050563,,,
400,0.0051659,,,
400,0.0050912,,,
400,0.0052106,,,
400,0.0051533,,,
400,0.0052051,,,
400,0.0052829,,,
400,0.0051715,,,
400,0.0050201,,,
400,0.0050797,,,
400,0.0050603,,,
400,0.0051323,,,
400,0.0050054,,,
400,0.0053601,,,
400,0.005159,,,
400,0.0051222,,,
400,0.0052753,,,
400,0.0055754,,,
400,0.0050336,,,
400,0.0051406,,,
400,0.0052885,,,
400,0.0051169,,,
400,0.0051428,,,
400,0.0052096,,,
400,0.0052044,,,
400,0.0052199,,,
400,0.00522,,,
400,0.0051775,,,
400,0.0051046,,,
400,0.0052616,,,
400,0.0054499,,,
400,0.0051287,,,
400,0.005142,,,
400,0.0050756,,,
400,0.0053084,,,
400,0.0051999,,,
400,0.0052184,,,
400,0.0052178,,,
400,0.0052379,,,
400,0.0050826,,,
400,0.0051052,,,
400,0.00501,,,
400,0.0049792,,,
400,0.0049885,,,
400,0.005106,,,
400,0.0051155,,,
400,0.0052093,,,
400,0.0052713,,,
400,0.0050949,,,
400,0.0051462,,,
400,0.0049803,,,
400,0.0050716,,,
400,0.0052812,,,
400,0.0050252,,,
400,0.005221,,,
400,0.004999,,,
400,0.0052087,,,
400,0.0051647,,,
400,0.00527,,,
400,0.0052193,,,
400,0.0051578,,,
400,0.0050246,,,
400,0.0053179,,,
400,0.0050742,,,
400,0.005372,,,
400,0.0050174,,,
400,0.0051942,,,
400,0.0052746,,,
400,0.005544,,,
400,0.0050904,,,
400,0.0053534,,,
400,0.0049838,,,
400,0.0052434,,,
400,0.0052842,,,
400,0.0051686,,,
400,0.0050936,,,
400,0.0052966,,,
400,0.0057901,,,
400,0.0053276,,,
400,0.0051805,,,
400,0.0052127,,,
400,0.0051691,,,
400,0.0050798,,,
400,0.0051249,,,
400,0.0051193,,,
400,0.0051642,,,
400,0.0051006,,,
400,0.0053022,,,
400,0.0049783,,,
400,0.0051529,,,
400,0.0052399,,,
400,0.0053085,,,
400,0.0049547,,,
400,0.0050331,,,
400,0.005265,,,
400,0.0052065,,,
400,0.0053568,,,
400,0.005133,,,
400,0.0052307,,,
400,0.0049273,,,
400,0.00528,,,
400,0.0051942,,,
400,0.0050628,,,
400,0.0051822,,,
400,0.0049361,,,
400,0.0055463,,,
400,0.0050974,,,
400,0.0051608,,,
400,0.0050282,,,
400,0.0050717,,,
400,0.0052158,,,
400,0.0049822,,,
400,0.0052554,,,
400,0.0051342,,,
400,0.0050425,,,
400,0.0052281,,,
400,0.0053249,,,
400,0.0052873,,,
400,0.0051858,,,
400,0.0053169,,,
400,0.0053565,,,
400,0.0053502,,,
400,0.0052492,,,
400,0.005124,,,
400,0.0053951,,,
400,0.0051455,,,
400,0.0051363,,,
400,0.0051955,,,
400,0.0052189,,,
400,0.0052705,,,
400,0.005101,,,
400,0.0051317,,,
400,0.0051507,,,
400,0.0051093,,,
400,0.0052998,,,
400,0.0050934,,,
400,0.0050661,,,
400,0.0051804,,,
400,0.0051681,,,
400,0.0052078,,,
400,0.0051827,,,
400,0.0055691,,,
400,0.0051696,,,
