Max Component Size,Compute Time (s),partition_lgraph_louvain,,,,
6,0.0049756,,6.64,0.004282001,,6
6,0.0046427,,,,,
6,0.0036561,,,,,
6,0.0047907,,,,,
6,0.0033401,,,,,
6,0.0036885,,,,,
6,0.0048585,,,,,
6,0.0040313,,,,,
6,0.0044202,,,,,
6,0.0048216,,,,,
6,0.0047453,,,,,
6,0.0033675,,,,,
6,0.0035778,,,,,
6,0.0046909,,,,,
6,0.003941,,,,,
6,0.0039938,,,,,
6,0.0042817,,,,,
6,0.0037389,,,,,
6,0.0042604,,,,,
6,0.0043072,,,,,
6,0.004277,,,,,
6,0.0035449,,,,,
6,0.003473,,,,,
6,0.0044027,,,,,
6,0.0037207,,,,,
6,0.0038398,,,,,
6,0.004379,,,,,
6,0.0047981,,,,,
6,0.0032187,,,,,
6,0.0054118,,,,,
6,0.0037821,,,,,
6,0.0263105,,,,,
16,0.0038092,,,,,
6,0.0059815,,,,,
6,0.0037852,,,,,
6,0.003499,,,,,
6,0.0052863,,,,,
6,0.0036577,,,,,
6,0.0035612,,,,,
6,0.0050351,,,,,
6,0.003707,,,,,
6,0.0048058,,,,,
6,0.0036888,,,,,
6,0.0041171,,,,,
6,0.0043939,,,,,
6,0.0035403,,,,,
6,0.0040892,,,,,
30,0.0035102,,,,,
6,0.0047009,,,,,
6,0.0042825,,,,,
6,0.0029678,,,,,
6,0.0031926,,,,,
30,0.0045832,,,,,
6,0.0040592,,,,,
6,0.0041512,,,,,
6,0.0055342,,,,,
6,0.0038949,,,,,
6,0.0039147,,,,,
6,0.0042314,,,,,
6,0.00391,,,,,
6,0.0048776,,,,,
12,0.0052843,,,,,
6,0.0057099,,,,,
6,0.0076065,,,,,
6,0.0033356,,,,,
6,0.0042604,,,,,
6,0.0034033,,,,,
6,0.0036936,,,,,
6,0.0074936,,,,,
6,0.0056939,,,,,
6,0.0039434,,,,,
6,0.0041215,,,,,
6,0.0051412,,,,,
6,0.003761,,,,,
6,0.0035513,,,,,
6,0.0039361,,,,,
6,0.0038919,,,,,
16,0.0044243,,,,,
6,0.0040279,,,,,
6,0.0061158,,,,,
6,0.0033252,,,,,
6,0.0037903,,,,,
6,0.0061109,,,,,
6,0.0035952,,,,,
6,0.0042304,,,,,
6,0.0032418,,,,,
6,0.0036912,,,,,
6,0.0039335,,,,,
6,0.0048359,,,,,
6,0.0045262,,,,,
6,0.0040571,,,,,
6,0.0047249,,,,,
6,0.0041028,,,,,
6,0.0044462,,,,,
6,0.0034981,,,,,
6,0.0053055,,,,,
6,0.0032142,,,,,
30,0.0042134,,,,,
6,0.0042163,,,,,
6,0.0047084,,,,,
6,0.0050423,,,,,
6,0.0051387,,,,,
6,0.0047567,,,,,
6,0.0032243,,,,,
6,0.0050557,,,,,
30,0.0041774,,,,,
6,0.0031929,,,,,
6,0.004281,,,,,
6,0.0042137,,,,,
6,0.004176,,,,,
6,0.00355,,,,,
6,0.0042359,,,,,
6,0.0033899,,,,,
6,0.00365,,,,,
6,0.005731,,,,,
6,0.0036327,,,,,
6,0.0036249,,,,,
6,0.0046311,,,,,
6,0.0041133,,,,,
6,0.0036115,,,,,
6,0.0034479,,,,,
6,0.0050049,,,,,
6,0.0032022,,,,,
6,0.0032503,,,,,
6,0.0050357,,,,,
6,0.0040649,,,,,
6,0.0038921,,,,,
6,0.0038653,,,,,
6,0.0047444,,,,,
6,0.0032826,,,,,
6,0.0038839,,,,,
6,0.0055387,,,,,
6,0.0038869,,,,,
6,0.0029204,,,,,
6,0.0040465,,,,,
6,0.0040837,,,,,
6,0.0034672,,,,,
6,0.0036172,,,,,
6,0.0061512,,,,,
6,0.0034992,,,,,
6,0.0040435,,,,,
6,0.0044209,,,,,
6,0.0041033,,,,,
6,0.0037429,,,,,
6,0.0037103,,,,,
6,0.0042169,,,,,
6,0.0036276,,,,,
6,0.0033295,,,,,
6,0.0046589,,,,,
6,0.0038747,,,,,
6,0.0041816,,,,,
6,0.0031999,,,,,
6,0.0037018,,,,,
6,0.0040287,,,,,
12,0.0041644,,,,,
6,0.0033986,,,,,
6,0.0048523,,,,,
6,0.0036347,,,,,
6,0.0038793,,,,,
6,0.0055162,,,,,
6,0.0032325,,,,,
6,0.0040535,,,,,
6,0.0042679,,,,,
6,0.0039772,,,,,
6,0.0060668,,,,,
6,0.0040255,,,,,
6,0.003718,,,,,
6,0.0039277,,,,,
6,0.0036908,,,,,
6,0.0032929,,,,,
6,0.003449,,,,,
6,0.0048845,,,,,
6,0.0039374,,,,,
6,0.0038796,,,,,
6,0.0031812,,,,,
6,0.0047965,,,,,
6,0.0042829,,,,,
6,0.0049242,,,,,
6,0.0041536,,,,,
6,0.0036654,,,,,
6,0.0036301,,,,,
6,0.0035819,,,,,
6,0.0039411,,,,,
6,0.0038496,,,,,
6,0.0052221,,,,,
6,0.0045503,,,,,
6,0.0040709,,,,,
6,0.0050736,,,,,
6,0.0035912,,,,,
6,0.003747,,,,,
6,0.0039684,,,,,
6,0.0047696,,,,,
6,0.0038847,,,,,
6,0.0038263,,,,,
6,0.0038697,,,,,
6,0.0036025,,,,,
6,0.0036375,,,,,
6,0.0046776,,,,,
6,0.0040592,,,,,
6,0.0036209,,,,,
