Max Component Size,Compute Time (s),partition_lgraph_spectral,,,,
50,0.2102871,,47.6,0.213581004,,26
50,0.2129407,,,,,
26,0.2117157,,,,,
50,0.219453,,,,,
50,0.2882724,,,,,
50,0.2100476,,,,,
50,0.2157397,,,,,
34,0.2109614,,,,,
50,0.2124947,,,,,
50,0.212588,,,,,
26,0.202624,,,,,
50,0.20364,,,,,
50,0.2105917,,,,,
50,0.2078799,,,,,
50,0.2180228,,,,,
50,0.2161642,,,,,
50,0.2006629,,,,,
50,0.213588,,,,,
34,0.206684,,,,,
50,0.2306982,,,,,
50,0.2071886,,,,,
50,0.212985,,,,,
50,0.2242388,,,,,
50,0.2082188,,,,,
26,0.2131343,,,,,
50,0.2110398,,,,,
50,0.202109,,,,,
50,0.2062534,,,,,
50,0.2305675,,,,,
50,0.204737,,,,,
50,0.2047285,,,,,
50,0.2094948,,,,,
26,0.2133404,,,,,
26,0.2203873,,,,,
50,0.2297874,,,,,
50,0.2054188,,,,,
50,0.1994434,,,,,
34,0.2129241,,,,,
50,0.2316495,,,,,
50,0.2032106,,,,,
26,0.2075524,,,,,
50,0.2104461,,,,,
26,0.2195774,,,,,
50,0.2135416,,,,,
50,0.211326,,,,,
50,0.2246891,,,,,
50,0.209088,,,,,
34,0.2126847,,,,,
26,0.2134818,,,,,
34,0.2039952,,,,,
34,0.2021966,,,,,
50,0.2272906,,,,,
50,0.2073125,,,,,
50,0.2097205,,,,,
50,0.210254,,,,,
50,0.2091168,,,,,
50,0.2174917,,,,,
50,0.2040312,,,,,
50,0.2018416,,,,,
50,0.2187705,,,,,
50,0.2105204,,,,,
50,0.2145463,,,,,
50,0.2077064,,,,,
50,0.2167288,,,,,
50,0.2142192,,,,,
50,0.2092054,,,,,
50,0.1998508,,,,,
50,0.206998,,,,,
50,0.2234576,,,,,
50,0.2033611,,,,,
50,0.2414208,,,,,
50,0.2171831,,,,,
50,0.3310906,,,,,
50,0.2320211,,,,,
50,0.2104509,,,,,
50,0.2170377,,,,,
50,0.2416521,,,,,
50,0.2421883,,,,,
50,0.2048803,,,,,
50,0.2025355,,,,,
50,0.2047358,,,,,
50,0.20926,,,,,
50,0.2090311,,,,,
50,0.2036852,,,,,
50,0.2146057,,,,,
34,0.2098676,,,,,
50,0.2033361,,,,,
50,0.2143276,,,,,
50,0.2143545,,,,,
50,0.2033729,,,,,
50,0.2148428,,,,,
50,0.2397178,,,,,
50,0.2280828,,,,,
50,0.2057125,,,,,
50,0.2089171,,,,,
50,0.2077878,,,,,
50,0.2373726,,,,,
26,0.2042491,,,,,
50,0.2611699,,,,,
50,0.2094803,,,,,
50,0.2487654,,,,,
50,0.2064268,,,,,
50,0.2046081,,,,,
50,0.2090841,,,,,
50,0.2061514,,,,,
50,0.2159818,,,,,
50,0.2108604,,,,,
50,0.219551,,,,,
50,0.2108856,,,,,
50,0.2035567,,,,,
50,0.2139711,,,,,
50,0.2118772,,,,,
50,0.2060063,,,,,
50,0.2137013,,,,,
50,0.2031146,,,,,
50,0.2115355,,,,,
50,0.208752,,,,,
50,0.2041811,,,,,
50,0.2057499,,,,,
50,0.2031182,,,,,
50,0.2292118,,,,,
50,0.2145946,,,,,
50,0.2106267,,,,,
50,0.2001866,,,,,
50,0.2022842,,,,,
50,0.2031012,,,,,
50,0.2033276,,,,,
50,0.2216167,,,,,
50,0.2093406,,,,,
50,0.2088775,,,,,
50,0.2222433,,,,,
50,0.2243466,,,,,
26,0.2099407,,,,,
50,0.2009888,,,,,
50,0.203993,,,,,
50,0.2156634,,,,,
50,0.2060471,,,,,
50,0.2053515,,,,,
50,0.2125138,,,,,
50,0.2175697,,,,,
50,0.2147728,,,,,
50,0.210297,,,,,
50,0.2172519,,,,,
50,0.205177,,,,,
50,0.2157933,,,,,
50,0.2064344,,,,,
50,0.2071267,,,,,
50,0.2094518,,,,,
50,0.207731,,,,,
50,0.2204621,,,,,
50,0.2050964,,,,,
26,0.211279,,,,,
50,0.2353414,,,,,
34,0.2110146,,,,,
50,0.2083505,,,,,
50,0.2041781,,,,,
50,0.2268039,,,,,
50,0.2098956,,,,,
50,0.2170976,,,,,
50,0.2363045,,,,,
50,0.2073494,,,,,
34,0.2165528,,,,,
50,0.206947,,,,,
50,0.2110203,,,,,
50,0.2100997,,,,,
50,0.2254248,,,,,
50,0.2119587,,,,,
50,0.2049532,,,,,
50,0.2195791,,,,,
50,0.2210332,,,,,
50,0.2108842,,,,,
50,0.2019137,,,,,
50,0.2030587,,,,,
50,0.2043347,,,,,
50,0.2102357,,,,,
50,0.2172956,,,,,
50,0.2083935,,,,,
26,0.2165565,,,,,
50,0.1998702,,,,,
50,0.2151534,,,,,
50,0.207067,,,,,
50,0.2169112,,,,,
50,0.200237,,,,,
50,0.2053653,,,,,
26,0.2147101,,,,,
50,0.2122524,,,,,
50,0.2054405,,,,,
50,0.2163398,,,,,
50,0.2047868,,,,,
50,0.2106868,,,,,
50,0.2032531,,,,,
26,0.2028393,,,,,
50,0.2048125,,,,,
50,0.223997,,,,,
50,0.2186269,,,,,
50,0.2038459,,,,,
50,0.217291,,,,,
50,0.2037315,,,,,
50,0.2390312,,,,,
50,0.2115127,,,,,
