Max Component Size,Compute Time (s),runScen3_1_rand,,
200,0.0041536,,200,0.004724456
200,0.004334,,,
200,0.0042807,,,
200,0.0048863,,,
200,0.0042585,,,
200,0.0047308,,,
200,0.023727,,,
200,0.0070558,,,
200,0.0044745,,,
200,0.0048484,,,
200,0.0054802,,,
200,0.0042195,,,
200,0.0049266,,,
200,0.0042134,,,
200,0.0048372,,,
200,0.0044564,,,
200,0.0041165,,,
200,0.0043591,,,
200,0.004334,,,
200,0.0044846,,,
200,0.0045644,,,
200,0.0047409,,,
200,0.004935,,,
200,0.0044067,,,
200,0.0041187,,,
200,0.0055177,,,
200,0.0045162,,,
200,0.0046159,,,
200,0.0044539,,,
200,0.0042978,,,
200,0.004377,,,
200,0.0050772,,,
200,0.0046993,,,
200,0.0055126,,,
200,0.004787,,,
200,0.0050893,,,
200,0.0047944,,,
200,0.0044146,,,
200,0.0050324,,,
200,0.0039961,,,
200,0.0045955,,,
200,0.0042804,,,
200,0.004302,,,
200,0.0055475,,,
200,0.0051425,,,
200,0.0044764,,,
200,0.0047027,,,
200,0.0053945,,,
200,0.0046323,,,
200,0.0053733,,,
200,0.0056809,,,
200,0.00442,,,
200,0.0042266,,,
200,0.0046396,,,
200,0.0042701,,,
200,0.0045966,,,
200,0.0050728,,,
200,0.004891,,,
200,0.0043508,,,
200,0.0050834,,,
200,0.0043902,,,
200,0.0046598,,,
200,0.0047712,,,
200,0.0050114,,,
200,0.0046768,,,
200,0.0051952,,,
200,0.0047904,,,
200,0.004233,,,
200,0.0042953,,,
200,0.0044159,,,
200,0.0043071,,,
200,0.0048051,,,
200,0.005128,,,
200,0.0047985,,,
200,0.0051474,,,
200,0.004512,,,
200,0.0042335,,,
200,0.0048668,,,
200,0.00561,,,
200,0.0043764,,,
200,0.0047605,,,
200,0.0046435,,,
200,0.0044055,,,
200,0.0052311,,,
200,0.0045047,,,
200,0.0045732,,,
200,0.0043036,,,
200,0.0045205,,,
200,0.0045141,,,
200,0.0047646,,,
200,0.0044738,,,
200,0.0042059,,,
200,0.0045232,,,
200,0.0044809,,,
200,0.0047948,,,
200,0.0042839,,,
200,0.004176,,,
200,0.0048019,,,
200,0.0043646,,,
200,0.0049305,,,
200,0.0053228,,,
200,0.0043771,,,
200,0.005076,,,
200,0.0046343,,,
200,0.0048066,,,
200,0.0043886,,,
200,0.0043713,,,
200,0.0042696,,,
200,0.0046032,,,
200,0.003854,,,
200,0.0045243,,,
200,0.0044671,,,
200,0.0050736,,,
200,0.0044378,,,
200,0.0041538,,,
200,0.0045023,,,
200,0.0046621,,,
200,0.0043591,,,
200,0.0042011,,,
200,0.0051451,,,
200,0.004324,,,
200,0.004589,,,
200,0.0048141,,,
200,0.0046199,,,
200,0.0044809,,,
200,0.004414,,,
200,0.0051769,,,
200,0.0050636,,,
200,0.0047182,,,
200,0.004937,,,
200,0.0047072,,,
200,0.0050402,,,
200,0.0040098,,,
200,0.0041887,,,
200,0.0041792,,,
200,0.0051293,,,
200,0.0040563,,,
200,0.0043012,,,
200,0.0045334,,,
200,0.0040545,,,
200,0.0048941,,,
200,0.0045916,,,
200,0.0039899,,,
200,0.0043338,,,
200,0.0047919,,,
200,0.0044877,,,
200,0.0043367,,,
200,0.0048687,,,
200,0.0053438,,,
200,0.0040433,,,
200,0.0039508,,,
200,0.0046264,,,
200,0.0051081,,,
200,0.004207,,,
200,0.0047797,,,
200,0.0042422,,,
200,0.0050607,,,
200,0.0041841,,,
200,0.004662,,,
200,0.0045921,,,
200,0.004208,,,
200,0.0048676,,,
200,0.0049465,,,
200,0.0043339,,,
200,0.0043169,,,
200,0.0044519,,,
200,0.0044864,,,
200,0.0049596,,,
200,0.0050909,,,
200,0.0046392,,,
200,0.0042761,,,
200,0.004325,,,
200,0.0052859,,,
200,0.0048279,,,
200,0.0047587,,,
200,0.0048499,,,
200,0.004432,,,
200,0.0050263,,,
200,0.0044823,,,
200,0.004198,,,
200,0.0043309,,,
200,0.005086,,,
200,0.0043691,,,
200,0.0052245,,,
200,0.0046034,,,
200,0.0044573,,,
200,0.0044346,,,
200,0.0051806,,,
200,0.0045939,,,
200,0.0047826,,,
200,0.0041044,,,
200,0.0044852,,,
200,0.0042789,,,
200,0.0044125,,,
200,0.0045459,,,
200,0.0044235,,,
200,0.0044243,,,
200,0.0038714,,,
200,0.0047818,,,
200,0.0047917,,,
