Max Component Size,Compute Time (s),partition_lgraph_louvain,,
10,0.0638252,,10,0.076847
10,0.0906933,,,
10,0.0736715,,,
10,0.0878465,,,
10,0.0697264,,,
10,0.1011381,,,
10,0.1020063,,,
10,0.0730809,,,
10,0.0937914,,,
10,0.0820591,,,
10,0.0672471,,,
10,0.0967531,,,
10,0.1039532,,,
10,0.0578872,,,
10,0.0805467,,,
10,0.0729642,,,
10,0.0786392,,,
10,0.0928874,,,
10,0.064347,,,
10,0.0752682,,,
10,0.0909488,,,
10,0.085904,,,
10,0.0788668,,,
10,0.069903,,,
10,0.0953428,,,
10,0.0784592,,,
10,0.0611227,,,
10,0.0721554,,,
10,0.0554814,,,
10,0.0685672,,,
10,0.053403,,,
10,0.0634588,,,
10,0.0660809,,,
10,0.078669,,,
10,0.0716263,,,
10,0.0591082,,,
10,0.0723405,,,
10,0.0814677,,,
10,0.0753938,,,
10,0.0710011,,,
10,0.0602396,,,
10,0.0877168,,,
10,0.0844988,,,
10,0.0620664,,,
10,0.0612985,,,
10,0.0567442,,,
10,0.0804878,,,
10,0.0817902,,,
10,0.0623358,,,
10,0.0830494,,,
10,0.0762294,,,
10,0.080692,,,
10,0.0909356,,,
10,0.1148073,,,
10,0.0707363,,,
10,0.072441,,,
10,0.0700084,,,
10,0.0655592,,,
10,0.068698,,,
10,0.064614,,,
10,0.099629,,,
10,0.0787108,,,
10,0.0645123,,,
10,0.0551474,,,
10,0.0849191,,,
10,0.0503875,,,
10,0.0733032,,,
10,0.1312841,,,
10,0.0637889,,,
10,0.0715408,,,
10,0.0734906,,,
10,0.0515868,,,
10,0.0565453,,,
10,0.0609033,,,
10,0.1033901,,,
10,0.0693661,,,
10,0.064486,,,
10,0.0626639,,,
10,0.0793023,,,
10,0.0812571,,,
10,0.0831637,,,
10,0.1208796,,,
10,0.0636793,,,
10,0.0905497,,,
10,0.0513351,,,
10,0.0970389,,,
10,0.0658397,,,
10,0.0758276,,,
10,0.084501,,,
10,0.0620711,,,
10,0.0936246,,,
10,0.0711944,,,
10,0.0763076,,,
10,0.0873373,,,
10,0.0631657,,,
10,0.1052915,,,
10,0.0870807,,,
10,0.077966,,,
10,0.0711023,,,
10,0.0815707,,,
10,0.0776135,,,
10,0.0577437,,,
10,0.0822286,,,
10,0.0860142,,,
10,0.0760018,,,
10,0.0997449,,,
10,0.056488,,,
10,0.1086466,,,
10,0.1092032,,,
10,0.0675201,,,
10,0.0745506,,,
10,0.0758028,,,
10,0.0623723,,,
10,0.0687502,,,
10,0.0893273,,,
10,0.1116712,,,
10,0.0918658,,,
10,0.0788954,,,
10,0.0792058,,,
10,0.0504789,,,
10,0.0968797,,,
10,0.0817273,,,
10,0.1199072,,,
10,0.0587258,,,
10,0.0721733,,,
10,0.0786925,,,
10,0.1086391,,,
10,0.0702147,,,
10,0.0765213,,,
10,0.1048979,,,
10,0.0719856,,,
10,0.0744084,,,
10,0.0734246,,,
10,0.0836216,,,
10,0.0647676,,,
10,0.1229922,,,
10,0.0681137,,,
10,0.0664177,,,
10,0.0898704,,,
10,0.0684575,,,
10,0.0605815,,,
10,0.0478005,,,
10,0.0943447,,,
10,0.0650291,,,
10,0.0661911,,,
10,0.0754451,,,
10,0.0808918,,,
10,0.0828988,,,
10,0.058886,,,
10,0.0702298,,,
10,0.0641999,,,
10,0.0806383,,,
10,0.0605391,,,
10,0.0871521,,,
10,0.0692707,,,
10,0.0643894,,,
10,0.0612578,,,
10,0.0824664,,,
10,0.0571881,,,
10,0.0723409,,,
10,0.0582814,,,
10,0.0763423,,,
10,0.0720945,,,
10,0.0600812,,,
10,0.0796461,,,
10,0.0741853,,,
10,0.0638048,,,
10,0.1030798,,,
10,0.0661145,,,
10,0.1307891,,,
10,0.051699,,,
10,0.0604469,,,
10,0.0711337,,,
10,0.0758673,,,
10,0.0795333,,,
10,0.0587481,,,
10,0.1015907,,,
10,0.0508079,,,
10,0.0762774,,,
10,0.0619005,,,
10,0.0782198,,,
10,0.1201837,,,
10,0.0586328,,,
10,0.0903518,,,
10,0.0689838,,,
10,0.0872312,,,
10,0.0581435,,,
10,0.0537023,,,
10,0.0761968,,,
10,0.0775808,,,
10,0.0797709,,,
10,0.0710012,,,
10,0.0950442,,,
10,0.1337148,,,
10,0.0700814,,,
10,0.058276,,,
10,0.0647974,,,
10,0.0713963,,,
10,0.0683454,,,
10,0.0986955,,,
