Max Component Size,Compute Time (s),runScen3_1_rand,,,,
60,0.0026332,,99.6,0.002275519,,60
100,0.0021998,,,,,
100,0.0023552,,,,,
100,0.0022945,,,,,
100,0.0021215,,,,,
100,0.0021337,,,,,
100,0.0022702,,,,,
100,0.0021108,,,,,
100,0.0022293,,,,,
100,0.0019717,,,,,
100,0.0024212,,,,,
100,0.0020736,,,,,
100,0.0021822,,,,,
100,0.0029123,,,,,
100,0.0021597,,,,,
100,0.0027541,,,,,
100,0.0048628,,,,,
100,0.0025176,,,,,
100,0.0020174,,,,,
100,0.0023585,,,,,
100,0.0020505,,,,,
100,0.0021074,,,,,
100,0.0021351,,,,,
100,0.0021663,,,,,
100,0.0024739,,,,,
100,0.0025986,,,,,
100,0.0020432,,,,,
100,0.0022212,,,,,
100,0.0023869,,,,,
100,0.0025587,,,,,
100,0.0021592,,,,,
100,0.0023417,,,,,
100,0.0025448,,,,,
100,0.0019844,,,,,
100,0.0022704,,,,,
100,0.0022573,,,,,
100,0.0027198,,,,,
100,0.0025378,,,,,
60,0.0020451,,,,,
100,0.007093,,,,,
100,0.003076,,,,,
100,0.0021999,,,,,
100,0.002271,,,,,
100,0.0022928,,,,,
100,0.0021627,,,,,
100,0.0018494,,,,,
100,0.0022147,,,,,
100,0.0022591,,,,,
100,0.0021112,,,,,
100,0.0021667,,,,,
100,0.0022538,,,,,
100,0.002191,,,,,
100,0.0020182,,,,,
100,0.0023661,,,,,
100,0.0021965,,,,,
100,0.0022225,,,,,
100,0.0022638,,,,,
100,0.002235,,,,,
100,0.0019582,,,,,
100,0.0021159,,,,,
100,0.0022657,,,,,
100,0.0020937,,,,,
100,0.002213,,,,,
100,0.0021396,,,,,
100,0.0022001,,,,,
100,0.0020762,,,,,
100,0.002084,,,,,
100,0.0022076,,,,,
100,0.0021017,,,,,
100,0.0024332,,,,,
100,0.0021025,,,,,
100,0.0022801,,,,,
100,0.0023118,,,,,
100,0.0022697,,,,,
100,0.0023193,,,,,
100,0.0022239,,,,,
100,0.002181,,,,,
100,0.0023753,,,,,
100,0.0024269,,,,,
100,0.0023364,,,,,
100,0.002097,,,,,
100,0.0024348,,,,,
100,0.0022294,,,,,
100,0.0020074,,,,,
100,0.0023577,,,,,
100,0.0023716,,,,,
100,0.0022361,,,,,
100,0.0021213,,,,,
100,0.0022702,,,,,
100,0.0020153,,,,,
100,0.0018762,,,,,
100,0.0018914,,,,,
100,0.0021907,,,,,
100,0.0022433,,,,,
100,0.0022302,,,,,
100,0.0023073,,,,,
100,0.0024009,,,,,
100,0.0020528,,,,,
100,0.00215,,,,,
100,0.0020503,,,,,
100,0.002125,,,,,
100,0.0022293,,,,,
100,0.0025818,,,,,
100,0.0022493,,,,,
100,0.0021634,,,,,
100,0.0021961,,,,,
100,0.0024331,,,,,
100,0.0021089,,,,,
100,0.0022183,,,,,
100,0.0022679,,,,,
100,0.0023124,,,,,
100,0.0021832,,,,,
100,0.0020865,,,,,
100,0.0020902,,,,,
100,0.0023088,,,,,
100,0.0022078,,,,,
100,0.002071,,,,,
100,0.0022607,,,,,
100,0.0023947,,,,,
100,0.0023375,,,,,
100,0.0023226,,,,,
100,0.0021221,,,,,
100,0.0021953,,,,,
100,0.0020865,,,,,
100,0.0020319,,,,,
100,0.0019892,,,,,
100,0.002131,,,,,
100,0.0022741,,,,,
100,0.0020899,,,,,
100,0.0024748,,,,,
100,0.0021614,,,,,
100,0.0022922,,,,,
100,0.0020877,,,,,
100,0.0022091,,,,,
100,0.0023464,,,,,
100,0.0023349,,,,,
100,0.0024604,,,,,
100,0.002114,,,,,
100,0.0022488,,,,,
100,0.0023539,,,,,
100,0.0024067,,,,,
100,0.0021433,,,,,
100,0.0021728,,,,,
100,0.0021552,,,,,
100,0.0021486,,,,,
100,0.0023135,,,,,
100,0.0022541,,,,,
100,0.0024183,,,,,
100,0.0023438,,,,,
100,0.0021209,,,,,
100,0.0023859,,,,,
100,0.0020601,,,,,
100,0.0021205,,,,,
100,0.0019244,,,,,
100,0.0023193,,,,,
100,0.0022134,,,,,
100,0.0023406,,,,,
100,0.0020801,,,,,
100,0.0019969,,,,,
100,0.002668,,,,,
100,0.0023343,,,,,
100,0.002091,,,,,
100,0.0022672,,,,,
100,0.0024326,,,,,
100,0.0022235,,,,,
100,0.0026157,,,,,
100,0.0025272,,,,,
100,0.0022299,,,,,
100,0.0022427,,,,,
100,0.002355,,,,,
100,0.0025939,,,,,
100,0.0024406,,,,,
100,0.0023246,,,,,
100,0.0022775,,,,,
100,0.0020338,,,,,
100,0.0022425,,,,,
100,0.0021286,,,,,
100,0.0021275,,,,,
100,0.0022999,,,,,
100,0.0021015,,,,,
100,0.0020757,,,,,
100,0.0021331,,,,,
100,0.0022463,,,,,
100,0.0022129,,,,,
100,0.0023284,,,,,
100,0.002405,,,,,
100,0.0021841,,,,,
100,0.0022494,,,,,
100,0.0020513,,,,,
100,0.0020479,,,,,
100,0.0023192,,,,,
100,0.0019678,,,,,
100,0.0021131,,,,,
100,0.0022067,,,,,
100,0.0019095,,,,,
100,0.0020525,,,,,
100,0.002068,,,,,
100,0.0023624,,,,,
100,0.0027697,,,,,
100,0.0018981,,,,,
