Compute Time (s),Max Component Size,partition_lgraph_spectral,,Avg. Compute Time (s),Avg. Component Size
0.8239678,34,,,0.827799753,37.615
0.8971724,34,,,,
0.8601347,34,,,,
0.902415,25,,,,
0.9071739,24,,,,
0.8569895,38,,,,
0.8242705,46,,,,
0.8576973,33,,,,
0.8584602,34,,,,
0.7915598,42,,,,
0.7355197,31,,,,
0.7701397,33,,,,
0.8726223,34,,,,
0.8276754,33,,,,
0.8796721,44,,,,
0.7792096,34,,,,
0.8863201,34,,,,
0.8983276,33,,,,
0.8372369,55,,,,
0.8456078,55,,,,
0.8493653,34,,,,
0.8681279,43,,,,
0.7885721,34,,,,
0.8212489,34,,,,
0.844263,22,,,,
0.8209732,55,,,,
0.8746663,44,,,,
0.8166107,33,,,,
0.911383,34,,,,
0.7800397,33,,,,
0.8080339,34,,,,
0.8912981,49,,,,
0.8037165,34,,,,
0.7471777,34,,,,
0.8178401,42,,,,
0.8654339,20,,,,
0.8278282,39,,,,
0.8435536,33,,,,
0.8162184,41,,,,
0.7977785,21,,,,
0.7200922,44,,,,
0.8493041,45,,,,
0.7642392,32,,,,
0.7855065,33,,,,
0.8500125,34,,,,
0.8269719,42,,,,
0.9153289,34,,,,
0.8377776,22,,,,
0.8034461,32,,,,
0.8096402,22,,,,
0.8879597,34,,,,
0.7689146,40,,,,
0.8468022,45,,,,
0.8117576,47,,,,
0.7185192,22,,,,
0.748769,33,,,,
0.823337,42,,,,
0.7101984,33,,,,
0.812315,67,,,,
0.7939489,33,,,,
0.8616134,46,,,,
0.7743082,49,,,,
0.8644589,34,,,,
0.8484588,55,,,,
0.7820127,34,,,,
0.8250805,43,,,,
0.7515614,33,,,,
0.9058309,34,,,,
0.9125855,47,,,,
0.8972845,22,,,,
0.8448558,42,,,,
0.8180358,21,,,,
0.8558199,34,,,,
0.8382174,48,,,,
0.7982293,43,,,,
0.8710912,33,,,,
0.8256612,67,,,,
0.8598833,33,,,,
0.8571598,21,,,,
0.8103975,22,,,,
0.7990033,34,,,,
0.8703527,34,,,,
0.890227,45,,,,
0.8150928,55,,,,
0.8032251,42,,,,
0.8000541,44,,,,
0.887795,34,,,,
0.8484959,22,,,,
0.8012224,55,,,,
0.8264736,33,,,,
0.7998053,33,,,,
0.8025491,34,,,,
0.9162414,33,,,,
0.778754,41,,,,
0.8249838,55,,,,
0.8383432,47,,,,
0.7533695,46,,,,
0.8746135,55,,,,
0.8474888,45,,,,
0.8254077,33,,,,
0.9081018,55,,,,
0.8410688,67,,,,
0.7818402,67,,,,
0.8505905,44,,,,
0.8026161,41,,,,
0.8064274,45,,,,
0.8714,44,,,,
0.7419064,34,,,,
0.8154928,44,,,,
0.787315,34,,,,
0.7929697,34,,,,
0.7724313,34,,,,
0.8403267,55,,,,
0.816973,34,,,,
0.8788746,33,,,,
0.814877,67,,,,
0.7361671,45,,,,
0.7839116,24,,,,
0.8444698,34,,,,
0.7237392,34,,,,
0.7083296,23,,,,
0.6643411,34,,,,
0.7040602,33,,,,
0.7441937,33,,,,
0.7440947,34,,,,
0.7506752,34,,,,
0.8065523,33,,,,
0.7250123,45,,,,
0.8454393,27,,,,
0.8192993,22,,,,
0.9539814,34,,,,
0.8863626,33,,,,
0.8081272,34,,,,
0.8501603,34,,,,
0.833391,67,,,,
0.9390375,42,,,,
0.8602967,55,,,,
0.8949638,34,,,,
0.8402659,34,,,,
0.9423505,33,,,,
0.8209674,43,,,,
0.7473746,33,,,,
0.8535525,34,,,,
0.8001173,34,,,,
0.8880677,34,,,,
0.8374529,33,,,,
0.8280727,34,,,,
0.854839,40,,,,
0.8459448,46,,,,
0.7933444,34,,,,
0.8267414,22,,,,
0.9688781,55,,,,
0.7362032,34,,,,
0.8158953,34,,,,
0.8218307,31,,,,
0.8142926,34,,,,
0.8135579,55,,,,
0.7694335,33,,,,
0.8064503,33,,,,
0.9155103,38,,,,
0.8681484,34,,,,
0.8599789,34,,,,
0.9546797,34,,,,
0.8055248,34,,,,
0.795471,22,,,,
0.9038692,34,,,,
0.9030771,34,,,,
0.8093622,41,,,,
0.8319524,45,,,,
0.8343734,34,,,,
0.8533902,34,,,,
0.8150514,45,,,,
0.8920219,34,,,,
0.8773065,44,,,,
0.851026,34,,,,
0.770314,16,,,,
0.7541189,33,,,,
0.8164321,21,,,,
0.8678031,55,,,,
0.7865324,35,,,,
0.761166,22,,,,
0.9032064,33,,,,
0.8616627,33,,,,
0.7706491,55,,,,
0.7848684,40,,,,
0.7826342,55,,,,
0.8322781,42,,,,
0.7927055,34,,,,
0.845183,24,,,,
0.8300411,34,,,,
0.8780598,34,,,,
0.8289604,34,,,,
0.8554691,55,,,,
0.8149662,34,,,,
0.8445909,34,,,,
0.8502313,45,,,,
0.8448469,38,,,,
0.8177534,33,,,,
0.8195299,43,,,,
0.9025681,23,,,,
