Compute Time (s),Max Component Size,partition_lgraph_spectral,,Average Compute Size,Average Compute Time (s)
0.3209425,200,,,195.45,0.3420089
0.3371863,200,,,,
0.3533544,150,,,,
0.3500349,200,,,,
0.3551024,200,,,,
0.3550256,200,,,,
0.3630832,200,,,,
0.3981543,200,,,,
0.3396504,200,,,,
0.3685966,200,,,,
0.376372,200,,,,
0.3578501,200,,,,
0.3443025,200,,,,
0.3398727,200,,,,
0.3556043,200,,,,
0.3519338,200,,,,
0.3221462,200,,,,
0.4034969,200,,,,
0.3150064,200,,,,
0.3394792,200,,,,
0.3416731,200,,,,
0.3633336,200,,,,
0.3642,200,,,,
0.3193723,144,,,,
0.3917412,200,,,,
0.4211293,200,,,,
0.3718162,200,,,,
0.3577635,200,,,,
0.3578687,200,,,,
0.3859251,200,,,,
0.3357974,165,,,,
0.3351629,200,,,,
0.3417277,141,,,,
0.3266861,200,,,,
0.3376011,200,,,,
0.3476343,200,,,,
0.3305634,200,,,,
0.3357073,119,,,,
0.3615828,200,,,,
0.401937,200,,,,
0.3218653,200,,,,
0.3298676,200,,,,
0.3181475,145,,,,
0.3342444,200,,,,
0.341874,200,,,,
0.3530585,200,,,,
0.3520401,186,,,,
0.3252349,200,,,,
0.3351758,200,,,,
0.3291801,200,,,,
0.3540633,200,,,,
0.3492967,200,,,,
0.3371683,200,,,,
0.363811,110,,,,
0.3195253,200,,,,
0.3336546,200,,,,
0.337609,200,,,,
0.3309286,200,,,,
0.4016669,200,,,,
0.3545302,200,,,,
0.329495,200,,,,
0.3295749,200,,,,
0.3652858,200,,,,
0.327918,200,,,,
0.3390112,200,,,,
0.3467806,200,,,,
0.3266879,200,,,,
0.3452381,155,,,,
0.361011,200,,,,
0.3629579,200,,,,
0.3486462,200,,,,
0.3845296,200,,,,
0.3338931,200,,,,
0.3699083,200,,,,
0.3307737,200,,,,
0.3479845,200,,,,
0.3511021,200,,,,
0.3377426,200,,,,
0.3592451,200,,,,
0.3148922,200,,,,
0.3427136,200,,,,
0.3477508,200,,,,
0.3587056,200,,,,
0.3304606,200,,,,
0.3286286,200,,,,
0.3413823,200,,,,
0.3355864,200,,,,
0.3887785,200,,,,
0.4268534,200,,,,
0.345474,200,,,,
0.3283073,200,,,,
0.328228,200,,,,
0.3394127,200,,,,
0.3537342,178,,,,
0.5093268,200,,,,
0.3463843,200,,,,
0.3289152,200,,,,
0.3201492,200,,,,
0.3424522,200,,,,
0.3231623,200,,,,
0.3358252,200,,,,
0.3272767,200,,,,
0.3270201,200,,,,
0.333022,200,,,,
0.3308315,200,,,,
0.3316044,200,,,,
0.3252435,200,,,,
0.3261623,200,,,,
0.3221263,200,,,,
0.3213758,200,,,,
0.3177897,200,,,,
0.3310584,200,,,,
0.3696442,200,,,,
0.3294614,200,,,,
0.3321813,200,,,,
0.3301952,200,,,,
0.359326,200,,,,
0.3506328,200,,,,
0.3427038,200,,,,
0.3527245,147,,,,
0.3135851,200,,,,
0.3276938,200,,,,
0.3202778,200,,,,
0.3640463,200,,,,
0.3367739,200,,,,
0.329211,200,,,,
0.3282663,200,,,,
0.3556323,200,,,,
0.3245576,200,,,,
0.3400134,200,,,,
0.3239603,200,,,,
0.3434354,200,,,,
0.3630404,200,,,,
0.339299,200,,,,
0.3269346,200,,,,
0.3908718,200,,,,
0.3475178,200,,,,
0.3392778,200,,,,
0.3273581,200,,,,
0.3362797,200,,,,
0.3194426,200,,,,
0.3324844,200,,,,
0.3383821,200,,,,
0.3693879,200,,,,
0.3308176,200,,,,
0.356932,200,,,,
0.3245458,200,,,,
0.3266676,200,,,,
0.3264199,200,,,,
0.342968,200,,,,
0.3342498,200,,,,
0.3188336,200,,,,
0.3619516,200,,,,
0.3189931,200,,,,
0.322838,151,,,,
0.3207155,134,,,,
0.3220537,200,,,,
0.318286,200,,,,
0.3290173,200,,,,
0.3484765,200,,,,
0.3448154,157,,,,
0.3241232,200,,,,
0.3380125,200,,,,
0.3366787,200,,,,
0.3307656,200,,,,
0.3266777,200,,,,
0.3233015,200,,,,
0.3446791,200,,,,
0.3260957,200,,,,
0.3283238,200,,,,
0.3209272,134,,,,
0.3461368,200,,,,
0.3200712,200,,,,
0.328776,200,,,,
0.3201456,200,,,,
0.3211549,200,,,,
0.3330331,200,,,,
0.3364978,200,,,,
0.3410518,200,,,,
0.3254175,200,,,,
0.3422418,200,,,,
0.3401648,200,,,,
0.3143895,200,,,,
0.3479593,200,,,,
0.3185699,200,,,,
0.3304517,200,,,,
0.3383016,200,,,,
0.3398879,200,,,,
0.3296801,176,,,,
0.3393038,200,,,,
0.3253418,200,,,,
0.3170163,200,,,,
0.3347937,200,,,,
0.3241125,200,,,,
0.3401481,200,,,,
0.3566098,149,,,,
0.3200478,200,,,,
0.3458116,149,,,,
0.3279372,200,,,,
0.3361816,200,,,,
