Compute Time (s),Max Component Size,partition_lgraph_spectral,,Average Compute Time (s),Average Comp. Size
0.691794,131,,,0.658423704,99.395
0.7155473,135,,,,
0.7436632,65,,,,
0.7326608,96,,,,
0.6860691,61,,,,
0.696416,97,,,,
0.6746993,99,,,,
0.6631184,67,,,,
0.729502,135,,,,
0.6937109,105,,,,
0.7274864,132,,,,
0.6689285,135,,,,
0.647101,65,,,,
0.6956303,130,,,,
0.7256312,95,,,,
0.6902258,105,,,,
0.6696685,135,,,,
0.6589717,73,,,,
0.6442687,65,,,,
0.6456525,135,,,,
0.6450776,135,,,,
0.6630768,100,,,,
0.6557808,135,,,,
0.6450117,91,,,,
0.6644343,79,,,,
0.6559603,75,,,,
0.6489103,65,,,,
0.6578036,111,,,,
0.6473601,131,,,,
0.6556612,130,,,,
0.655475,71,,,,
0.6647492,115,,,,
0.6403205,67,,,,
0.6593142,95,,,,
0.6562974,131,,,,
0.6593082,135,,,,
0.6609164,65,,,,
0.6521511,132,,,,
0.6494487,125,,,,
0.6533958,95,,,,
0.649493,76,,,,
0.6576135,61,,,,
0.6472642,132,,,,
0.6503994,68,,,,
0.6559823,108,,,,
0.6512966,117,,,,
0.6591471,70,,,,
0.6569636,135,,,,
0.6441871,109,,,,
0.6540671,88,,,,
0.6576034,68,,,,
0.6623919,68,,,,
0.667415,60,,,,
0.6659968,59,,,,
0.6666267,60,,,,
0.6508244,67,,,,
0.6484724,65,,,,
0.6677732,135,,,,
0.6687445,71,,,,
0.6626133,112,,,,
0.6545574,71,,,,
0.658126,65,,,,
0.6525008,80,,,,
0.6598761,135,,,,
0.6559535,65,,,,
0.6577145,73,,,,
0.6440299,60,,,,
0.6605235,135,,,,
0.6503033,88,,,,
0.6592762,65,,,,
0.6746819,74,,,,
0.6440603,132,,,,
0.6416663,71,,,,
0.6661817,95,,,,
0.6481475,131,,,,
0.653157,88,,,,
0.669665,79,,,,
0.6398003,135,,,,
0.6614475,130,,,,
0.6574378,90,,,,
0.6536154,131,,,,
0.6506596,83,,,,
0.6456946,131,,,,
0.6489226,102,,,,
0.6480648,65,,,,
0.6638295,65,,,,
0.6556732,65,,,,
0.650058,135,,,,
0.6522138,92,,,,
0.6446538,92,,,,
0.6455851,112,,,,
0.6594999,92,,,,
0.648032,117,,,,
0.6697127,109,,,,
0.6744232,68,,,,
0.64643,135,,,,
0.6526127,116,,,,
0.6431355,98,,,,
0.6609615,65,,,,
0.6456884,135,,,,
0.6462629,65,,,,
0.6578276,90,,,,
0.6491836,65,,,,
0.6436897,131,,,,
0.6597702,109,,,,
0.6450473,86,,,,
0.6492221,101,,,,
0.6623056,118,,,,
0.6409653,111,,,,
0.6520469,99,,,,
0.6545895,96,,,,
0.6672248,124,,,,
0.652432,84,,,,
0.6576683,131,,,,
0.6485586,87,,,,
0.6541496,135,,,,
0.6811985,65,,,,
0.6564114,132,,,,
0.6553746,81,,,,
0.6672238,124,,,,
0.6610446,70,,,,
0.6614502,80,,,,
0.6503586,79,,,,
0.6606095,131,,,,
0.6560317,131,,,,
0.6531631,135,,,,
0.6527736,65,,,,
0.6482402,135,,,,
0.6591293,132,,,,
0.6596061,81,,,,
0.6563896,87,,,,
0.6558155,135,,,,
0.6608614,135,,,,
0.667476,99,,,,
0.6648749,109,,,,
0.6521956,83,,,,
0.6614226,65,,,,
0.6523743,96,,,,
0.6475586,135,,,,
0.665886,135,,,,
0.6462795,65,,,,
0.6612347,81,,,,
0.6710696,107,,,,
0.6617697,135,,,,
0.638085,135,,,,
0.6521628,107,,,,
0.6561688,135,,,,
0.6734128,70,,,,
0.6492938,83,,,,
0.6397853,110,,,,
0.6627088,71,,,,
0.657336,76,,,,
0.6500299,127,,,,
0.6562574,135,,,,
0.6480817,135,,,,
0.6574755,65,,,,
0.6482651,135,,,,
0.6621924,72,,,,
0.654157,78,,,,
0.6521513,79,,,,
0.6568006,132,,,,
0.6564863,102,,,,
0.643145,75,,,,
0.6475072,78,,,,
0.660635,102,,,,
0.6369686,65,,,,
0.6438924,70,,,,
0.6518393,102,,,,
0.6563115,135,,,,
0.6267324,87,,,,
0.6538832,135,,,,
0.6359435,125,,,,
0.6546033,65,,,,
0.646484,65,,,,
0.6393681,130,,,,
0.6552928,93,,,,
0.6575637,67,,,,
0.6501065,127,,,,
0.6740001,65,,,,
0.6516192,79,,,,
0.6601604,131,,,,
0.6439486,89,,,,
0.6592229,69,,,,
0.6484704,135,,,,
0.6685439,130,,,,
0.658139,127,,,,
0.6536647,125,,,,
0.652327,65,,,,
0.6421466,70,,,,
0.6630534,122,,,,
0.6487063,82,,,,
0.6778663,96,,,,
0.6442698,124,,,,
0.6541327,135,,,,
0.6516589,79,,,,
0.663679,75,,,,
0.6619339,126,,,,
0.6672239,135,,,,
0.6643252,79,,,,
0.6511074,90,,,,
