Compute Time (s),Max Component Size,runScen2_2Random,,Average Compute Time (s),Average Comp. Size
0.0169567,393,,,0.017291044,375.415
0.0169473,400,,,,
0.0190899,389,,,,
0.0171129,382,,,,
0.0165926,370,,,,
0.0167069,398,,,,
0.0167989,386,,,,
0.0164038,384,,,,
0.0164452,331,,,,
0.0167223,392,,,,
0.0387801,400,,,,
0.0165951,390,,,,
0.0166916,395,,,,
0.0164074,397,,,,
0.0168771,399,,,,
0.0167005,383,,,,
0.0171598,330,,,,
0.0166173,391,,,,
0.0166475,397,,,,
0.0165624,351,,,,
0.0173391,354,,,,
0.0166229,398,,,,
0.0180986,389,,,,
0.0167611,204,,,,
0.0168472,389,,,,
0.0165571,343,,,,
0.0172734,225,,,,
0.0162747,400,,,,
0.0172789,400,,,,
0.0168381,392,,,,
0.0165268,298,,,,
0.0167023,392,,,,
0.0171881,397,,,,
0.0167294,397,,,,
0.0164929,398,,,,
0.0169889,324,,,,
0.0172815,395,,,,
0.0165811,351,,,,
0.016611,398,,,,
0.0167759,391,,,,
0.0164501,305,,,,
0.0167703,392,,,,
0.0168559,399,,,,
0.016553,399,,,,
0.0165098,169,,,,
0.0164912,327,,,,
0.0167262,367,,,,
0.0164706,384,,,,
0.0166637,393,,,,
0.0164042,390,,,,
0.0168591,397,,,,
0.0166257,391,,,,
0.0168797,394,,,,
0.0165456,394,,,,
0.0167305,393,,,,
0.0161384,177,,,,
0.0393334,395,,,,
0.0167676,400,,,,
0.0164994,388,,,,
0.0168133,393,,,,
0.0169511,390,,,,
0.0164665,295,,,,
0.0167464,385,,,,
0.0165612,400,,,,
0.0166182,389,,,,
0.0165796,393,,,,
0.0168971,391,,,,
0.0165504,395,,,,
0.0164522,393,,,,
0.0167198,387,,,,
0.0165464,364,,,,
0.0165216,397,,,,
0.016759,400,,,,
0.0167187,373,,,,
0.0163801,369,,,,
0.016502,218,,,,
0.0168925,400,,,,
0.0166623,387,,,,
0.0165202,232,,,,
0.0169727,392,,,,
0.0168993,394,,,,
0.0169097,389,,,,
0.0167074,398,,,,
0.0164957,338,,,,
0.0166255,329,,,,
0.0168679,393,,,,
0.0170444,380,,,,
0.0173211,314,,,,
0.0166618,371,,,,
0.0166286,380,,,,
0.0165092,377,,,,
0.0166832,397,,,,
0.0171135,392,,,,
0.0162887,306,,,,
0.0164501,400,,,,
0.0165167,400,,,,
0.0165331,382,,,,
0.0175114,362,,,,
0.0168954,398,,,,
0.0167671,397,,,,
0.0167146,383,,,,
0.0173313,386,,,,
0.0389406,400,,,,
0.0166699,398,,,,
0.0164024,375,,,,
0.0167468,390,,,,
0.0169782,400,,,,
0.016683,400,,,,
0.0165188,393,,,,
0.0164747,400,,,,
0.016591,394,,,,
0.0167805,399,,,,
0.0166399,390,,,,
0.0166633,392,,,,
0.016924,369,,,,
0.0165305,395,,,,
0.0165259,397,,,,
0.0175495,393,,,,
0.0175451,395,,,,
0.0165174,378,,,,
0.0166511,400,,,,
0.017119,384,,,,
0.0165246,396,,,,
0.0165182,393,,,,
0.0163971,202,,,,
0.0166685,400,,,,
0.01671,368,,,,
0.0170699,400,,,,
0.0166062,396,,,,
0.016669,358,,,,
0.0163233,394,,,,
0.016897,379,,,,
0.0166241,400,,,,
0.0163645,359,,,,
0.016766,400,,,,
0.0164645,390,,,,
0.0166511,398,,,,
0.0165307,388,,,,
0.0166281,397,,,,
0.0168734,399,,,,
0.0169642,391,,,,
0.0165238,387,,,,
0.0177194,375,,,,
0.0166895,325,,,,
0.016599,397,,,,
0.0166516,396,,,,
0.0166673,342,,,,
0.0163881,387,,,,
0.0389253,331,,,,
0.0168534,398,,,,
0.0171719,395,,,,
0.0166029,400,,,,
0.0169008,399,,,,
0.0166857,396,,,,
0.0173891,400,,,,
0.0164409,397,,,,
0.0167617,389,,,,
0.0167086,375,,,,
0.0168951,394,,,,
0.0166671,381,,,,
0.0167473,400,,,,
0.0165852,280,,,,
0.0171519,383,,,,
0.0168918,391,,,,
0.0166595,400,,,,
0.0164691,390,,,,
0.0170055,392,,,,
0.0165965,385,,,,
0.016736,400,,,,
0.0163599,398,,,,
0.0165607,381,,,,
0.0166194,400,,,,
0.0165696,386,,,,
0.0172233,392,,,,
0.0163549,352,,,,
0.0169312,390,,,,
0.0168984,400,,,,
0.017069,390,,,,
0.0168199,394,,,,
0.0164562,362,,,,
0.0165006,388,,,,
0.0160786,387,,,,
0.01656,379,,,,
0.0166531,384,,,,
0.0166324,380,,,,
0.0164215,359,,,,
0.0168405,330,,,,
0.0166631,394,,,,
0.0167234,389,,,,
0.0165616,384,,,,
0.0166615,367,,,,
0.0162264,276,,,,
0.0167519,391,,,,
0.0166787,385,,,,
0.0385709,387,,,,
0.0169645,400,,,,
0.0165778,238,,,,
0.0165055,336,,,,
0.0172363,396,,,,
0.0165862,397,,,,
