Compute Time (s),Max Component Size,runScen3Random,,Average Compute Size,Average Compute Time (s)
6.962435,400,,,399.225,6.797965811
6.9034807,400,,,,
6.8066616,400,,,,
6.7546093,400,,,,
6.9442207,400,,,,
6.7796242,400,,,,
6.7093915,400,,,,
6.8749697,400,,,,
6.7710721,400,,,,
6.6898759,400,,,,
6.7862543,400,,,,
6.6980192,400,,,,
6.8200251,400,,,,
6.8274016,400,,,,
6.8541634,400,,,,
6.7458789,400,,,,
6.8345238,400,,,,
6.745467,400,,,,
6.7547733,400,,,,
6.7743801,400,,,,
6.791965,400,,,,
6.8430065,400,,,,
6.8243811,400,,,,
7.0194283,400,,,,
6.8901503,400,,,,
6.7897864,400,,,,
6.9380632,400,,,,
6.7866244,400,,,,
6.6881042,400,,,,
6.6931749,400,,,,
6.8017916,400,,,,
6.7649423,400,,,,
6.7489734,400,,,,
6.7707194,400,,,,
6.7996782,400,,,,
6.6960816,400,,,,
6.706434,400,,,,
6.8457786,400,,,,
6.9460653,400,,,,
6.9012143,400,,,,
6.7444347,400,,,,
6.8568146,400,,,,
6.67982,400,,,,
6.8846936,400,,,,
6.8991884,400,,,,
6.7508171,400,,,,
6.8147687,400,,,,
6.9265888,400,,,,
6.7404119,400,,,,
6.807007,400,,,,
6.7959165,400,,,,
6.881617,400,,,,
6.7793307,400,,,,
6.8762798,400,,,,
6.8058693,400,,,,
6.8791177,400,,,,
6.6809668,400,,,,
6.781838,400,,,,
6.8291381,400,,,,
6.8363962,400,,,,
6.7414329,400,,,,
6.7022542,400,,,,
6.6775238,400,,,,
6.7776574,400,,,,
6.8201264,400,,,,
6.8059545,400,,,,
6.9256711,400,,,,
6.7703614,400,,,,
6.7642426,400,,,,
6.706409,400,,,,
6.8007864,400,,,,
6.9002968,400,,,,
6.8015436,400,,,,
6.8524406,400,,,,
6.928431,400,,,,
6.7514383,400,,,,
6.7793771,400,,,,
6.8077121,400,,,,
6.6870544,400,,,,
6.824438,400,,,,
6.7760059,400,,,,
6.6483425,400,,,,
6.7448738,400,,,,
6.7877703,400,,,,
6.777888,400,,,,
6.8596941,400,,,,
6.7555282,400,,,,
6.9044874,400,,,,
6.6997198,400,,,,
6.7441571,400,,,,
6.8977663,400,,,,
6.7948227,400,,,,
6.8668677,400,,,,
6.7441741,400,,,,
6.7519624,400,,,,
6.6993023,400,,,,
6.6527275,400,,,,
6.6409714,400,,,,
6.8692495,400,,,,
6.7018855,400,,,,
6.767657,400,,,,
6.8446795,400,,,,
6.8498911,400,,,,
6.8812835,400,,,,
6.758901,400,,,,
6.8534722,400,,,,
6.7281504,400,,,,
6.7368002,400,,,,
6.7429236,400,,,,
6.8777617,400,,,,
6.6453987,400,,,,
6.7978253,400,,,,
6.6340968,400,,,,
6.7959931,400,,,,
6.9318115,400,,,,
6.9735243,400,,,,
6.7672513,400,,,,
6.7163298,400,,,,
6.722367,245,,,,
7.1188352,400,,,,
6.8120534,400,,,,
6.8223103,400,,,,
6.7630365,400,,,,
6.7898364,400,,,,
6.9216843,400,,,,
6.785483,400,,,,
6.8061319,400,,,,
6.8201523,400,,,,
6.8514382,400,,,,
6.7618851,400,,,,
6.7243617,400,,,,
6.7632142,400,,,,
6.7829169,400,,,,
6.9398983,400,,,,
6.7878891,400,,,,
6.7385986,400,,,,
6.77308,400,,,,
6.7466646,400,,,,
6.7761226,400,,,,
6.7234613,400,,,,
6.690426,400,,,,
6.713015,400,,,,
6.7440978,400,,,,
6.773372,400,,,,
6.7100502,400,,,,
6.9181767,400,,,,
6.7707348,400,,,,
6.7107025,400,,,,
6.7458279,400,,,,
6.9228476,400,,,,
6.7925804,400,,,,
6.8654141,400,,,,
6.6649243,400,,,,
6.7360801,400,,,,
6.7447665,400,,,,
6.8472673,400,,,,
7.0042887,400,,,,
6.7845564,400,,,,
6.7541847,400,,,,
6.8147757,400,,,,
6.8685309,400,,,,
6.7866476,400,,,,
6.8519596,400,,,,
6.8883122,400,,,,
6.751664,400,,,,
6.7717244,400,,,,
6.7227425,400,,,,
6.8750602,400,,,,
6.7355983,400,,,,
6.7997054,400,,,,
6.7841147,400,,,,
6.7044027,400,,,,
6.8435315,400,,,,
6.9391687,400,,,,
6.7539019,400,,,,
6.7460162,400,,,,
6.9013677,400,,,,
6.7849095,400,,,,
6.9544114,400,,,,
6.7651639,400,,,,
6.9416178,400,,,,
6.7388587,400,,,,
6.8018755,400,,,,
6.685412,400,,,,
6.8056377,400,,,,
6.7766956,400,,,,
6.9681279,400,,,,
6.8561712,400,,,,
6.7006339,400,,,,
6.7694975,400,,,,
6.7622866,400,,,,
6.8784819,400,,,,
6.7166651,400,,,,
6.7352524,400,,,,
6.8917269,400,,,,
6.9078507,400,,,,
6.7160188,400,,,,
6.7077224,400,,,,
6.8808452,400,,,,
6.701637,400,,,,
