Max Component Sizes,Compute Time (s),runScen2_2Random,,Average Compute Size,Average Compute Time (s)
0.0336715,800,,,791.6,0.033469883
0.0341156,800,,,,
0.0330429,800,,,,
0.0328118,800,,,,
0.0328535,800,,,,
0.0327403,800,,,,
0.0330931,800,,,,
0.0329117,800,,,,
0.0329207,800,,,,
0.0328809,800,,,,
0.0328879,800,,,,
0.0335832,800,,,,
0.0324236,800,,,,
0.0330107,800,,,,
0.033946,800,,,,
0.0331259,800,,,,
0.0332718,800,,,,
0.0345189,800,,,,
0.0320093,800,,,,
0.0324284,800,,,,
0.0339658,800,,,,
0.0329782,800,,,,
0.0328792,800,,,,
0.0326764,800,,,,
0.0326195,776,,,,
0.0328297,800,,,,
0.0327421,800,,,,
0.0338843,800,,,,
0.0314256,505,,,,
0.0343138,800,,,,
0.0330764,800,,,,
0.0330786,800,,,,
0.0327426,800,,,,
0.0330383,800,,,,
0.0331692,800,,,,
0.0330683,800,,,,
0.0326271,800,,,,
0.0327903,800,,,,
0.0325735,800,,,,
0.0326123,800,,,,
0.0344145,800,,,,
0.032921,800,,,,
0.0339792,800,,,,
0.0541015,776,,,,
0.0337494,800,,,,
0.0333447,800,,,,
0.0331883,800,,,,
0.0326515,800,,,,
0.0327525,800,,,,
0.0334551,800,,,,
0.0326198,800,,,,
0.0330575,800,,,,
0.0329822,800,,,,
0.0328683,800,,,,
0.0328475,800,,,,
0.033034,800,,,,
0.032326,778,,,,
0.0338895,800,,,,
0.0335888,800,,,,
0.0321347,800,,,,
0.0326736,800,,,,
0.0325373,800,,,,
0.0329033,800,,,,
0.0328716,800,,,,
0.0331227,800,,,,
0.0329359,800,,,,
0.0333391,800,,,,
0.033606,800,,,,
0.0327098,800,,,,
0.0332428,800,,,,
0.03384,800,,,,
0.0329153,800,,,,
0.0328725,800,,,,
0.0329572,800,,,,
0.032562,800,,,,
0.032902,800,,,,
0.0330637,800,,,,
0.033147,800,,,,
0.033599,800,,,,
0.0330757,800,,,,
0.032884,800,,,,
0.0329071,800,,,,
0.0326834,800,,,,
0.0326846,800,,,,
0.0327247,800,,,,
0.0338889,800,,,,
0.0331049,800,,,,
0.0562347,800,,,,
0.032823,800,,,,
0.033104,800,,,,
0.0328758,800,,,,
0.0330873,800,,,,
0.031273,800,,,,
0.0328777,800,,,,
0.032671,800,,,,
0.0328141,800,,,,
0.0329625,800,,,,
0.0328203,800,,,,
0.0336497,800,,,,
0.033157,800,,,,
0.0335835,800,,,,
0.0327688,800,,,,
0.033818,800,,,,
0.0353219,800,,,,
0.0328371,800,,,,
0.0328345,800,,,,
0.0325253,800,,,,
0.0310988,458,,,,
0.032812,800,,,,
0.032916,800,,,,
0.0329082,800,,,,
0.0327857,800,,,,
0.0331765,800,,,,
0.0337122,782,,,,
0.0329583,800,,,,
0.033515,800,,,,
0.0336506,800,,,,
0.0327472,800,,,,
0.0327084,800,,,,
0.0331966,800,,,,
0.0329138,800,,,,
0.0334767,800,,,,
0.0331808,800,,,,
0.0303392,569,,,,
0.0328654,800,,,,
0.0336043,800,,,,
0.032977,800,,,,
0.0327539,800,,,,
0.0335544,800,,,,
0.0330194,800,,,,
0.0335222,800,,,,
0.0557532,800,,,,
0.0363269,800,,,,
0.0326725,800,,,,
0.0313974,477,,,,
0.032894,800,,,,
0.0334637,800,,,,
0.033412,800,,,,
0.032891,800,,,,
0.0330153,800,,,,
0.0327895,800,,,,
0.0336075,800,,,,
0.0329251,800,,,,
0.0336379,800,,,,
0.0320209,800,,,,
0.0338623,800,,,,
0.0326748,800,,,,
0.0327263,800,,,,
0.0328818,800,,,,
0.0328265,800,,,,
0.0330131,800,,,,
0.0328325,800,,,,
0.0328127,800,,,,
0.0329207,800,,,,
0.0330685,780,,,,
0.0326543,800,,,,
0.0345776,800,,,,
0.0329005,800,,,,
0.0327844,800,,,,
0.0330767,800,,,,
0.0329285,800,,,,
0.033057,800,,,,
0.0324764,800,,,,
0.0326463,800,,,,
0.0323886,800,,,,
0.0334976,800,,,,
0.0333419,800,,,,
0.0328997,800,,,,
0.0324366,773,,,,
0.0329616,800,,,,
0.033072,800,,,,
0.0341825,800,,,,
0.03279,800,,,,
0.033493,800,,,,
0.03092,476,,,,
0.0558834,770,,,,
0.0330681,800,,,,
0.033096,800,,,,
0.0334344,800,,,,
0.0330541,800,,,,
0.0329515,800,,,,
0.0326386,800,,,,
0.0330441,800,,,,
0.0332029,800,,,,
0.0339164,800,,,,
0.0330133,800,,,,
0.0336558,800,,,,
0.033061,800,,,,
0.0323604,800,,,,
0.0330256,800,,,,
0.031227,800,,,,
0.0330239,800,,,,
0.0326657,800,,,,
0.0326985,800,,,,
0.0330016,800,,,,
0.0327307,800,,,,
0.0330292,800,,,,
0.0330735,800,,,,
0.0326897,800,,,,
0.0334891,800,,,,
