Max Component Sizes,Compute Time (s),partition_lgraph_louvain,,Average Compute Size,Average Compute Time (s)
5.9793607,1600,,,1551.25,6.244685597
5.9410844,1454,,,,
5.7745589,1454,,,,
6.4759655,1600,,,,
6.03761,1454,,,,
6.4941307,1600,,,,
6.7523014,1600,,,,
5.779544,1600,,,,
4.9930992,1600,,,,
5.6755213,1600,,,,
5.7378697,1600,,,,
6.3042509,1600,,,,
6.7254084,1600,,,,
6.0209766,1600,,,,
5.773327,1600,,,,
6.5711493,1600,,,,
5.9178756,1600,,,,
6.2433046,1600,,,,
5.7042613,1600,,,,
5.6968141,1175,,,,
6.0058579,1600,,,,
6.7706215,1600,,,,
6.2884827,1116,,,,
5.7088691,1600,,,,
5.8434155,1175,,,,
6.3001115,1600,,,,
5.9173972,1600,,,,
5.908999,1600,,,,
5.3960961,1600,,,,
6.8346549,1600,,,,
6.5685102,1600,,,,
5.7596102,1600,,,,
6.4967888,1600,,,,
5.8920644,1600,,,,
6.3606652,1600,,,,
6.3150149,1600,,,,
6.2448645,1600,,,,
5.852786,1600,,,,
6.6096837,1600,,,,
6.6789717,1600,,,,
6.6635382,1600,,,,
5.5072562,1600,,,,
6.347221,1600,,,,
6.0323891,1600,,,,
6.6602258,1600,,,,
6.7766042,1600,,,,
5.588986,1600,,,,
6.7691313,1600,,,,
6.6402734,1600,,,,
6.5919799,1600,,,,
6.2931325,1600,,,,
6.8453019,1600,,,,
5.9678448,1243,,,,
6.4789272,1600,,,,
5.7014827,1600,,,,
6.4644472,1600,,,,
6.4234133,1600,,,,
5.4055244,1600,,,,
6.4290511,1600,,,,
6.6879675,1600,,,,
6.0432636,1600,,,,
6.1440553,1600,,,,
6.1377503,1600,,,,
5.9925481,1600,,,,
6.4751833,1600,,,,
5.687037,1600,,,,
6.2501025,1600,,,,
6.6321761,1600,,,,
6.6978904,1600,,,,
6.4379701,1600,,,,
5.6999117,1600,,,,
6.0011825,1600,,,,
5.9777136,1454,,,,
6.9350792,1600,,,,
6.4529433,1600,,,,
5.9685891,1600,,,,
5.621835,1600,,,,
6.2309479,1600,,,,
5.8322146,1600,,,,
5.346775,1175,,,,
6.0458392,1600,,,,
6.4582566,1600,,,,
7.0477761,1600,,,,
7.1907284,1600,,,,
6.3040194,1600,,,,
5.7760266,1116,,,,
6.1514169,1600,,,,
7.0699502,1600,,,,
5.9439185,1600,,,,
5.8371934,1600,,,,
6.2125412,1600,,,,
6.9231225,1600,,,,
6.3770335,1600,,,,
6.482193,1600,,,,
6.2609138,1600,,,,
6.221434,1600,,,,
5.1007481,1600,,,,
5.9787019,1600,,,,
5.6536766,1600,,,,
6.7291223,1600,,,,
6.4881042,1600,,,,
7.2128901,1600,,,,
6.7948477,1600,,,,
5.8589573,1191,,,,
6.1867033,825,,,,
6.1653173,1143,,,,
6.6001039,1600,,,,
6.7347683,1600,,,,
7.1344768,1600,,,,
5.8337373,1600,,,,
6.8312037,1600,,,,
5.3111467,1600,,,,
6.5837751,1600,,,,
6.9909719,1600,,,,
6.0612155,1600,,,,
6.7163968,1600,,,,
5.8428576,1600,,,,
6.7799106,1600,,,,
6.0030556,1600,,,,
6.5616803,1600,,,,
5.8274017,1600,,,,
5.4197501,1454,,,,
6.3523535,1600,,,,
6.6436635,837,,,,
5.5659588,1469,,,,
5.7068967,1600,,,,
6.1127724,1600,,,,
5.442977,1136,,,,
5.6082121,1600,,,,
6.2238521,1600,,,,
6.5991769,1600,,,,
5.6608565,1600,,,,
7.0875313,1600,,,,
6.5662558,1600,,,,
6.1318588,1600,,,,
6.6350118,1600,,,,
6.5429993,1600,,,,
6.7325822,1527,,,,
6.6327371,1600,,,,
6.5992956,1098,,,,
5.8376726,1600,,,,
6.5334596,1600,,,,
5.6765036,1600,,,,
6.7441556,1600,,,,
6.5361315,1540,,,,
6.81726,1600,,,,
6.075048,1600,,,,
6.4759982,1600,,,,
5.2561325,1531,,,,
5.8273219,1454,,,,
5.3252081,1135,,,,
7.1338377,1600,,,,
5.6440189,1600,,,,
6.3536438,1600,,,,
6.7165008,1600,,,,
6.3902858,1538,,,,
6.6640382,1600,,,,
6.0248946,1125,,,,
6.5550505,1600,,,,
6.1953413,1600,,,,
6.6453438,1600,,,,
6.2684836,1600,,,,
5.3621937,1600,,,,
6.1575838,1600,,,,
6.9416806,1600,,,,
6.8171565,1128,,,,
6.0543991,1175,,,,
7.1202785,1600,,,,
5.6534606,1600,,,,
6.1508494,1600,,,,
6.1074158,1600,,,,
6.1411696,1600,,,,
6.4958506,1600,,,,
7.1919365,1600,,,,
5.8855527,1600,,,,
7.07904,1600,,,,
6.9553647,1600,,,,
5.8623883,1600,,,,
5.539549,1454,,,,
5.7078445,1600,,,,
6.0202155,1527,,,,
6.1255022,1600,,,,
6.5314401,1600,,,,
6.0934733,1600,,,,
5.8559176,1600,,,,
6.3280111,1600,,,,
7.1869185,1207,,,,
5.39632,1600,,,,
5.8209949,1540,,,,
6.3732036,1600,,,,
6.8688881,1600,,,,
6.5244522,1600,,,,
6.6675253,1600,,,,
6.0522948,1600,,,,
5.8938737,1600,,,,
6.7804666,1600,,,,
6.7337211,1600,,,,
5.6852092,1600,,,,
6.3924253,1600,,,,
6.9456014,1600,,,,
