Max Component Sizes,Compute Time (s),partition_lgraph_louvain,,Average Compute Time (s),Average Comp. Size
9.6921309,262,,,9.819250416,176.585
9.6660337,178,,,,
9.6960946,125,,,,
10.0550694,153,,,,
10.1693935,105,,,,
10.0050041,207,,,,
10.2198486,146,,,,
10.166163,152,,,,
10.2307514,269,,,,
10.3650946,147,,,,
9.7346931,244,,,,
9.6949765,179,,,,
10.1641344,153,,,,
9.5586613,228,,,,
9.8927512,146,,,,
10.0609078,152,,,,
9.5331224,290,,,,
10.2421296,172,,,,
9.7089111,155,,,,
9.0423758,133,,,,
9.9999381,135,,,,
9.915876,197,,,,
10.3169377,225,,,,
10.0027881,236,,,,
9.4161313,288,,,,
9.8335088,136,,,,
9.9734735,191,,,,
10.2389136,134,,,,
10.1880915,120,,,,
10.1420611,142,,,,
8.9786594,232,,,,
9.7554213,337,,,,
9.8703278,179,,,,
9.6962414,138,,,,
10.3076598,139,,,,
9.86298,133,,,,
9.7231084,237,,,,
9.8429898,217,,,,
9.2957607,141,,,,
9.07885,147,,,,
10.0309487,165,,,,
9.604066,188,,,,
9.7649817,196,,,,
8.9281643,271,,,,
9.067564,127,,,,
9.0833133,154,,,,
9.7753007,144,,,,
10.0284262,127,,,,
10.1654843,242,,,,
9.7415411,215,,,,
9.165208,159,,,,
9.6176483,261,,,,
9.7204089,243,,,,
9.4244826,173,,,,
9.6793778,207,,,,
9.7292958,125,,,,
10.0164703,139,,,,
9.7223904,227,,,,
10.7699682,138,,,,
9.6105454,117,,,,
9.4913449,146,,,,
9.7285847,319,,,,
9.8014856,162,,,,
9.8923314,159,,,,
10.1895523,123,,,,
9.5598071,276,,,,
9.7824138,215,,,,
9.4778453,142,,,,
9.7821043,270,,,,
9.9340554,243,,,,
9.5691716,188,,,,
9.5743558,128,,,,
9.7728272,227,,,,
9.9822633,272,,,,
9.916006,281,,,,
9.4596838,117,,,,
10.3219056,165,,,,
9.5180543,121,,,,
9.716711,185,,,,
10.5279562,123,,,,
10.1894487,128,,,,
10.1649279,125,,,,
9.8697639,134,,,,
9.727885,113,,,,
10.4312627,148,,,,
9.8042508,231,,,,
9.935868,325,,,,
9.4777322,175,,,,
9.6833103,124,,,,
9.7644873,175,,,,
10.4721593,145,,,,
9.7652808,123,,,,
10.0121904,178,,,,
10.1061331,122,,,,
9.6983502,129,,,,
9.4696573,141,,,,
9.4321828,220,,,,
9.5594285,267,,,,
9.7900482,235,,,,
9.6444747,147,,,,
10.1541175,124,,,,
9.19032,138,,,,
10.0242643,124,,,,
10.1147467,204,,,,
9.7607709,180,,,,
9.7518769,200,,,,
9.9924025,138,,,,
10.1761075,210,,,,
9.6928902,258,,,,
9.6484219,186,,,,
9.4463364,193,,,,
9.2198817,205,,,,
9.9148566,176,,,,
8.4853435,338,,,,
10.0558103,149,,,,
9.7414157,167,,,,
10.3001962,280,,,,
9.6968797,151,,,,
9.5040356,143,,,,
9.1295704,171,,,,
10.2815931,119,,,,
10.2977861,187,,,,
10.175021,224,,,,
10.0472657,119,,,,
9.6609811,157,,,,
10.1153134,148,,,,
9.3587452,131,,,,
10.4833725,150,,,,
10.0782274,124,,,,
9.8431468,141,,,,
9.7845666,149,,,,
9.6447032,132,,,,
9.5715295,169,,,,
9.7485277,224,,,,
9.7476045,269,,,,
10.0119711,143,,,,
9.5957026,156,,,,
9.4950504,109,,,,
9.2583009,149,,,,
9.5728609,145,,,,
10.0528513,114,,,,
9.7939791,134,,,,
9.7159314,157,,,,
9.7577134,196,,,,
9.6708934,253,,,,
9.5998877,151,,,,
10.3834577,139,,,,
10.2855239,144,,,,
10.1356373,127,,,,
9.7757933,154,,,,
9.9206955,145,,,,
9.8294137,136,,,,
9.970646,125,,,,
9.1963325,165,,,,
9.5027056,185,,,,
10.1893503,258,,,,
10.3150623,121,,,,
9.6912261,139,,,,
9.7176841,110,,,,
8.9673823,236,,,,
9.5662914,132,,,,
9.8905712,144,,,,
9.8072912,163,,,,
9.8533798,115,,,,
9.7623432,190,,,,
9.1408007,202,,,,
9.826407,296,,,,
9.7133071,143,,,,
9.9593931,157,,,,
10.201338,232,,,,
9.8997369,153,,,,
9.235428,155,,,,
9.8151725,181,,,,
9.8842958,217,,,,
9.8697773,226,,,,
10.3893539,288,,,,
9.2043088,155,,,,
10.218289,126,,,,
9.6406946,161,,,,
9.4642281,185,,,,
10.6454277,133,,,,
9.859541,132,,,,
9.8934882,122,,,,
9.5364515,105,,,,
10.3838687,111,,,,
9.524018,157,,,,
9.5643059,228,,,,
9.6124554,197,,,,
10.4224992,119,,,,
11.0660535,152,,,,
10.2066477,285,,,,
10.3341363,239,,,,
9.9264014,126,,,,
10.2884735,176,,,,
9.7744402,173,,,,
9.9266953,267,,,,
10.2124615,249,,,,
9.569327,156,,,,
9.6674279,144,,,,
9.8680216,191,,,,
