Max Component Sizes,Compute Time (s),partition_lgraph_spectral,,Average Compute Size,Average Compute Time (s)
7.1143906,1600,,,1600,7.002977783
6.5745557,1600,,,,
6.895254,1600,,,,
6.7569316,1600,,,,
6.9789416,1600,,,,
6.9893214,1600,,,,
7.2965946,1600,,,,
6.9525259,1600,,,,
6.8644152,1600,,,,
7.3387144,1600,,,,
6.924783,1600,,,,
7.0806119,1600,,,,
6.6772416,1600,,,,
6.5740439,1600,,,,
7.118507,1600,,,,
6.6180717,1600,,,,
7.0707128,1600,,,,
7.1389456,1600,,,,
7.1703721,1600,,,,
7.0320194,1600,,,,
6.7726177,1600,,,,
7.2841016,1600,,,,
7.2598281,1600,,,,
7.0192263,1600,,,,
6.7867321,1600,,,,
6.517122,1600,,,,
7.3277489,1600,,,,
7.3584783,1600,,,,
7.1199118,1600,,,,
7.2523039,1600,,,,
7.4110683,1600,,,,
6.580936,1600,,,,
6.6841984,1600,,,,
6.9187191,1600,,,,
7.0318719,1600,,,,
6.5670766,1600,,,,
7.0266543,1600,,,,
6.577723,1600,,,,
7.0020506,1600,,,,
7.1408236,1600,,,,
6.0453081,1600,,,,
6.7909089,1600,,,,
6.714597,1600,,,,
6.8350432,1600,,,,
7.0802568,1600,,,,
7.1379481,1600,,,,
6.790511,1600,,,,
7.0368903,1600,,,,
6.670439,1600,,,,
7.0727496,1600,,,,
6.9317227,1600,,,,
6.8836065,1600,,,,
7.3785241,1600,,,,
6.6336974,1600,,,,
7.3443433,1600,,,,
7.0013666,1600,,,,
7.0579607,1600,,,,
7.0261925,1600,,,,
8.0674009,1600,,,,
7.1892704,1600,,,,
6.9631306,1600,,,,
6.9053158,1600,,,,
7.0233634,1600,,,,
6.8668023,1600,,,,
6.5983415,1600,,,,
7.5593943,1600,,,,
6.5274465,1600,,,,
6.707073,1600,,,,
6.9579293,1600,,,,
6.9069806,1600,,,,
6.627125,1600,,,,
7.0260065,1600,,,,
6.9108824,1600,,,,
6.9677571,1600,,,,
7.1083603,1600,,,,
7.0143302,1600,,,,
6.847438,1600,,,,
6.9345372,1600,,,,
6.8117825,1600,,,,
6.7515442,1600,,,,
7.2223425,1600,,,,
7.1883665,1600,,,,
7.3966512,1600,,,,
7.9570391,1600,,,,
6.6629893,1600,,,,
6.8632651,1600,,,,
7.39207,1600,,,,
7.3009589,1600,,,,
6.3456931,1600,,,,
7.3748133,1600,,,,
7.0143003,1600,,,,
7.0817608,1600,,,,
6.7437282,1600,,,,
7.1391177,1600,,,,
6.4860613,1600,,,,
7.2160448,1600,,,,
7.0876787,1600,,,,
7.2735697,1600,,,,
7.180305,1600,,,,
6.8476587,1600,,,,
7.558025,1600,,,,
7.0113482,1600,,,,
6.7235429,1600,,,,
7.003888,1600,,,,
7.2945355,1600,,,,
6.8171661,1600,,,,
6.6336955,1600,,,,
7.4304947,1600,,,,
7.2983241,1600,,,,
7.3479058,1600,,,,
6.6908161,1600,,,,
7.0841354,1600,,,,
7.0294822,1600,,,,
7.2192508,1600,,,,
7.3650687,1600,,,,
6.9440495,1600,,,,
6.7498521,1600,,,,
7.0992984,1600,,,,
6.9566245,1600,,,,
7.3838654,1600,,,,
7.2412475,1600,,,,
7.0236682,1600,,,,
7.3333475,1600,,,,
7.308822,1600,,,,
6.6395894,1600,,,,
6.8881269,1600,,,,
7.4009626,1600,,,,
6.8933466,1600,,,,
6.7146888,1600,,,,
7.3042769,1600,,,,
6.9794354,1600,,,,
6.4566411,1600,,,,
7.0265576,1600,,,,
6.7534738,1600,,,,
7.1184949,1600,,,,
7.2270226,1600,,,,
7.4339752,1600,,,,
7.0023374,1600,,,,
6.8209246,1600,,,,
6.6612484,1600,,,,
6.9159663,1600,,,,
6.8533125,1600,,,,
6.5897819,1600,,,,
7.1398263,1600,,,,
7.0698319,1600,,,,
6.6363627,1600,,,,
7.062764,1600,,,,
7.4419358,1600,,,,
6.8085938,1600,,,,
7.0270289,1600,,,,
7.080718,1600,,,,
6.6017138,1600,,,,
6.9578959,1600,,,,
7.1642525,1600,,,,
7.2618006,1600,,,,
6.9502559,1600,,,,
6.8474729,1600,,,,
6.782866,1600,,,,
6.9410702,1600,,,,
7.1969094,1600,,,,
7.0033608,1600,,,,
7.0062857,1600,,,,
6.9560017,1600,,,,
6.7383274,1600,,,,
7.1014669,1600,,,,
7.1001069,1600,,,,
7.30203,1600,,,,
6.9091051,1600,,,,
7.0358142,1600,,,,
7.3622649,1600,,,,
6.7378395,1600,,,,
7.5083043,1600,,,,
6.9560299,1600,,,,
7.2162852,1600,,,,
7.2980255,1600,,,,
7.0587998,1600,,,,
6.7572843,1600,,,,
7.3515207,1600,,,,
7.2934911,1600,,,,
7.8230045,1600,,,,
6.4510867,1600,,,,
7.0570478,1600,,,,
6.964949,1600,,,,
6.9712372,1600,,,,
7.1777756,1600,,,,
6.9674416,1600,,,,
6.7841285,1600,,,,
7.0170655,1600,,,,
7.3302589,1600,,,,
6.8712496,1600,,,,
7.161724,1600,,,,
6.7564966,1600,,,,
6.9749149,1600,,,,
7.1158545,1600,,,,
7.1114788,1600,,,,
6.6257185,1600,,,,
6.6103075,1600,,,,
7.0661443,1600,,,,
6.6470133,1600,,,,
6.9335612,1600,,,,
