Max Component Sizes,Compute Time (s),partition_lgraph_spectral,,Average Compute Time (s),Average Comp. Size
13.5169633,1588,,,13.43261143,1205.6
13.6486607,825,,,,
13.238035,826,,,,
13.090429,1555,,,,
13.6364272,1595,,,,
13.4117235,832,,,,
13.2348113,1532,,,,
13.7343434,1571,,,,
13.6732966,1579,,,,
13.3808605,822,,,,
13.4675411,1593,,,,
13.3555257,1581,,,,
13.3930009,804,,,,
13.4119945,827,,,,
13.8058688,1600,,,,
13.2429382,1552,,,,
13.3303135,1578,,,,
13.3176357,1547,,,,
13.349132,827,,,,
13.6143688,1572,,,,
13.2973509,1582,,,,
13.1030964,1583,,,,
13.305099,1589,,,,
13.8082201,832,,,,
13.1982921,818,,,,
13.4709399,1589,,,,
13.5661547,823,,,,
13.4498808,1561,,,,
13.6633322,1592,,,,
13.3868288,823,,,,
13.4361278,832,,,,
13.4941044,826,,,,
13.4460993,1567,,,,
13.3461644,1566,,,,
13.9560705,1516,,,,
13.3629939,821,,,,
13.4410559,1591,,,,
13.3821755,1585,,,,
13.2768855,1526,,,,
13.1500103,1583,,,,
13.1888615,1538,,,,
13.7562583,1580,,,,
13.5274948,809,,,,
13.1865148,828,,,,
12.9524855,796,,,,
13.1477444,832,,,,
13.5745888,832,,,,
13.723441,1564,,,,
13.4046197,799,,,,
13.560401,827,,,,
13.6041672,1567,,,,
13.5825087,1578,,,,
13.6680319,1545,,,,
13.5155003,790,,,,
13.2270686,819,,,,
13.4078709,1591,,,,
13.0629819,1591,,,,
13.3819091,824,,,,
13.5973938,1567,,,,
13.1252502,821,,,,
13.6126426,1533,,,,
13.6354332,766,,,,
13.5255715,1579,,,,
13.3488718,810,,,,
13.4893752,1588,,,,
13.1748528,1576,,,,
13.6636975,1558,,,,
13.5019694,1495,,,,
13.5304454,832,,,,
13.5509557,1595,,,,
13.7824314,1600,,,,
13.5025669,1538,,,,
13.1760763,826,,,,
13.6686287,1577,,,,
13.6673807,1582,,,,
13.357447,809,,,,
13.3951902,1560,,,,
13.4784608,832,,,,
13.6709955,1591,,,,
13.8393231,832,,,,
13.4986912,1580,,,,
13.5429322,1600,,,,
13.4791887,1600,,,,
13.7317278,815,,,,
13.4952234,832,,,,
13.8238405,832,,,,
13.1210045,1592,,,,
13.3264541,810,,,,
13.6355498,822,,,,
13.4244298,1147,,,,
13.4193057,782,,,,
13.4576736,1596,,,,
13.1643099,1574,,,,
13.458265,800,,,,
13.4859823,1565,,,,
13.3437456,1570,,,,
13.571686,1589,,,,
13.317956,799,,,,
13.2785386,798,,,,
13.0724724,832,,,,
13.3858268,1584,,,,
13.3559572,1475,,,,
13.106265,770,,,,
13.4635704,827,,,,
13.4313215,827,,,,
13.378039,1569,,,,
13.2585235,1585,,,,
13.4819139,1444,,,,
13.0374587,1600,,,,
13.3586237,832,,,,
13.2154138,832,,,,
13.4707426,1590,,,,
13.4326528,845,,,,
13.2914852,821,,,,
13.5128558,823,,,,
12.9589124,780,,,,
13.4533675,1562,,,,
13.2511544,1588,,,,
13.336657,838,,,,
13.2086593,1553,,,,
13.3584047,827,,,,
13.2219529,826,,,,
13.3368042,826,,,,
13.3224979,838,,,,
13.5029326,1597,,,,
13.0755666,823,,,,
13.4171189,821,,,,
13.3911449,832,,,,
13.6474679,1526,,,,
13.3339797,1573,,,,
13.3630233,1400,,,,
13.4620908,1551,,,,
13.5235625,1524,,,,
13.5434978,783,,,,
14.1435953,1483,,,,
13.9377638,766,,,,
13.2637729,1571,,,,
13.452874,820,,,,
13.3061798,1572,,,,
13.6917582,1446,,,,
13.542536,1582,,,,
13.2649919,759,,,,
13.4760091,874,,,,
13.4716736,864,,,,
13.6053843,1589,,,,
13.2762728,1574,,,,
13.7200134,1577,,,,
13.3555913,1600,,,,
13.7496843,1576,,,,
13.4297721,1585,,,,
13.5335441,1539,,,,
13.1294303,832,,,,
13.2344854,822,,,,
13.0682725,1557,,,,
13.1478377,1582,,,,
13.222876,1576,,,,
13.4398314,839,,,,
13.5521514,819,,,,
13.4699938,810,,,,
13.8028093,832,,,,
13.3706648,826,,,,
13.6562194,1590,,,,
13.806155,780,,,,
13.1880873,827,,,,
13.2210491,832,,,,
13.4163401,1583,,,,
13.2060094,806,,,,
13.4986293,828,,,,
13.5620177,1582,,,,
13.3906748,832,,,,
13.530785,1583,,,,
13.1294881,819,,,,
13.5361633,1600,,,,
13.3802209,1573,,,,
13.802155,1590,,,,
13.4757433,832,,,,
13.444734,1592,,,,
13.9315233,808,,,,
13.2418836,816,,,,
13.2319074,822,,,,
13.2796114,820,,,,
13.7415845,821,,,,
13.4512276,791,,,,
13.5743127,758,,,,
13.5155396,820,,,,
13.4014508,1536,,,,
13.5550483,1585,,,,
13.2514283,1552,,,,
13.4435908,818,,,,
13.211641,822,,,,
13.3364715,821,,,,
13.5225996,807,,,,
13.3718981,844,,,,
13.1914737,1547,,,,
13.3486694,1568,,,,
13.4044854,820,,,,
13.5498285,1577,,,,
13.3947772,832,,,,
13.568362,825,,,,
13.3981473,1574,,,,
