Max Component Sizes,Compute Time (s),runScen3Random,,Average Compute Time (s),Average Comp. Size
105.9527979,1593,,,106.4919051,1571.355
106.733949,1600,,,,
105.8977454,1585,,,,
106.5501185,1562,,,,
105.6768943,1600,,,,
106.4591023,1600,,,,
106.5283852,1565,,,,
106.6422835,1584,,,,
106.6870702,1595,,,,
106.0814296,1537,,,,
106.1989718,1590,,,,
106.8491946,1574,,,,
106.2237719,1459,,,,
106.5065494,1352,,,,
106.0398281,1600,,,,
106.5755187,1584,,,,
106.2142137,1503,,,,
106.1232472,1584,,,,
105.956132,1582,,,,
106.7987862,1564,,,,
106.3157009,1600,,,,
106.4165086,1600,,,,
106.4496953,1582,,,,
106.733425,1600,,,,
106.0325835,1578,,,,
106.6611744,1594,,,,
106.7155581,1596,,,,
106.5057434,1563,,,,
106.1234373,1585,,,,
106.525607,1567,,,,
106.3263947,1595,,,,
106.7354646,1600,,,,
106.4241912,1576,,,,
106.4051312,1564,,,,
106.4525692,1572,,,,
106.3994062,1600,,,,
106.7122485,1574,,,,
106.7051457,1532,,,,
106.6780098,1403,,,,
107.7189129,1600,,,,
106.5171143,1560,,,,
106.2796761,1592,,,,
106.0464391,1589,,,,
106.3439478,1550,,,,
106.0911107,1600,,,,
106.3108489,1600,,,,
106.487891,1600,,,,
106.4788322,1594,,,,
106.2287963,1583,,,,
106.5262152,1594,,,,
106.1672742,1600,,,,
105.8744528,1582,,,,
106.3593354,1559,,,,
106.5256592,1584,,,,
106.3661353,1582,,,,
106.2163421,1584,,,,
106.3971194,1586,,,,
105.9578278,1600,,,,
106.4488724,1600,,,,
106.8591968,1589,,,,
106.7651137,1569,,,,
106.4917543,1553,,,,
107.1038789,1571,,,,
106.1945306,1576,,,,
106.3258471,1583,,,,
106.5997029,1545,,,,
106.4708191,1600,,,,
105.964239,1576,,,,
106.8682845,1575,,,,
106.8657714,1586,,,,
106.5122564,1550,,,,
106.7972581,1590,,,,
106.4613632,1598,,,,
106.519286,1585,,,,
106.4289979,1563,,,,
106.272331,1594,,,,
106.2648249,1590,,,,
106.7513636,1591,,,,
106.2249617,1598,,,,
106.3632695,1597,,,,
106.3903591,1587,,,,
106.2918939,1560,,,,
106.7216275,1600,,,,
106.5625141,1576,,,,
106.3303883,1586,,,,
106.6852491,1594,,,,
106.7166874,1544,,,,
106.7472729,1600,,,,
106.7914818,1587,,,,
106.3807894,1580,,,,
105.8761323,1567,,,,
106.4980323,1560,,,,
106.5120955,1561,,,,
106.7990493,1600,,,,
106.3961392,1562,,,,
107.0229385,1586,,,,
106.9100413,1587,,,,
106.7813275,1465,,,,
106.4408715,1587,,,,
106.2366727,1589,,,,
106.1304493,1581,,,,
106.6900114,1059,,,,
106.7896037,1529,,,,
106.4679294,1533,,,,
106.2080011,1595,,,,
106.4314388,1595,,,,
106.7381089,1546,,,,
106.3908486,1588,,,,
106.4806347,1596,,,,
106.4018011,1592,,,,
106.4942334,1589,,,,
106.7635201,1583,,,,
106.403489,1596,,,,
106.4161407,1585,,,,
106.5382979,1564,,,,
106.0657798,1551,,,,
106.7300086,1555,,,,
106.679222,1600,,,,
108.1951993,1582,,,,
106.286159,1591,,,,
106.3150798,1597,,,,
106.3978921,1600,,,,
106.1709654,1594,,,,
106.8924471,1481,,,,
107.1327044,1590,,,,
106.5500145,1575,,,,
106.1533091,1538,,,,
106.4343236,1596,,,,
106.8090587,1597,,,,
106.3909698,1597,,,,
106.1312098,1557,,,,
106.0697527,1575,,,,
106.5992476,1596,,,,
106.0973713,1600,,,,
106.8205432,1576,,,,
106.3654276,1474,,,,
106.6375358,1534,,,,
107.4268671,1575,,,,
106.5683334,1594,,,,
106.3917673,1600,,,,
106.1895425,1589,,,,
106.5325894,1535,,,,
106.4275622,1562,,,,
106.4178409,1580,,,,
106.8023735,1595,,,,
106.0149519,1570,,,,
106.2897895,1600,,,,
106.4891339,1586,,,,
106.6728647,1592,,,,
106.5844211,1558,,,,
106.4137251,1583,,,,
105.8074925,1583,,,,
106.8702779,1600,,,,
106.1580278,1600,,,,
106.6672582,1569,,,,
106.4403098,1524,,,,
105.9222351,1583,,,,
106.1488822,1594,,,,
106.7219764,1569,,,,
106.6477789,1600,,,,
106.3798935,1597,,,,
106.0259282,1574,,,,
106.7128155,1597,,,,
106.9767132,1600,,,,
106.0726581,1546,,,,
106.4211177,1589,,,,
106.1970939,1600,,,,
106.4632029,1600,,,,
106.7399828,1557,,,,
106.656594,1525,,,,
106.2448604,1592,,,,
106.5859833,1590,,,,
106.4993494,1535,,,,
106.6984513,1600,,,,
106.7919443,1541,,,,
106.5145228,1592,,,,
107.8794072,1473,,,,
107.0001232,1569,,,,
106.5059273,1581,,,,
107.1400479,1592,,,,
106.6339392,1600,,,,
106.5396102,1581,,,,
106.8933341,1565,,,,
106.1382936,1600,,,,
106.4256314,1578,,,,
106.1194179,1595,,,,
106.5906779,1253,,,,
106.6790141,1590,,,,
106.4897262,1579,,,,
106.2528393,1596,,,,
106.8695772,1554,,,,
106.6270338,1588,,,,
106.4217224,1563,,,,
106.8236554,1562,,,,
106.676486,1561,,,,
106.4509132,1600,,,,
106.5599855,1575,,,,
106.3203051,1575,,,,
106.4404265,1597,,,,
106.4936785,1591,,,,
