Max Component Sizes,Compute Time (s),runScen2_3_1_rand,,Average Compute Size,Average Compute Time (s)
6.5734497,1600,,,1600,6.870290927
6.5707107,1600,,,,
6.2089787,1600,,,,
6.347128,1600,,,,
6.5137114,1600,,,,
6.4220329,1600,,,,
6.3045873,1600,,,,
6.5312789,1600,,,,
6.2329418,1600,,,,
6.4855684,1600,,,,
6.3673197,1600,,,,
6.4297274,1600,,,,
6.4320469,1600,,,,
7.3393798,1600,,,,
6.4041472,1600,,,,
6.3713986,1600,,,,
6.7525283,1600,,,,
6.3429323,1600,,,,
6.2934309,1600,,,,
6.5121049,1600,,,,
6.3568646,1600,,,,
6.3030153,1600,,,,
6.5086717,1600,,,,
6.2812492,1600,,,,
6.383761,1600,,,,
6.2816335,1600,,,,
6.1405467,1600,,,,
6.3765456,1600,,,,
7.0456005,1600,,,,
6.566588,1600,,,,
6.466267,1600,,,,
6.5090737,1600,,,,
6.3694353,1600,,,,
6.449173,1600,,,,
6.4169101,1600,,,,
6.4474505,1600,,,,
7.1960881,1600,,,,
6.5306976,1600,,,,
6.4985357,1600,,,,
6.5676094,1600,,,,
6.3365178,1600,,,,
6.3588749,1600,,,,
6.2717403,1600,,,,
6.3418483,1600,,,,
6.794346,1600,,,,
6.2887491,1600,,,,
6.3831798,1600,,,,
6.4484725,1600,,,,
6.4701594,1600,,,,
6.4662969,1600,,,,
6.5126189,1600,,,,
6.3892098,1600,,,,
6.3397199,1600,,,,
6.4843561,1600,,,,
6.8785536,1600,,,,
6.8673513,1600,,,,
6.4315919,1600,,,,
6.4240293,1600,,,,
6.3954932,1600,,,,
6.631445,1600,,,,
6.2285117,1600,,,,
6.6970388,1600,,,,
6.4027993,1600,,,,
6.1509938,1600,,,,
6.2666513,1600,,,,
6.7831774,1600,,,,
6.3708408,1600,,,,
6.3376098,1600,,,,
6.3564183,1600,,,,
6.3233832,1600,,,,
6.258881,1600,,,,
6.4543173,1600,,,,
6.2890024,1600,,,,
6.9089627,1600,,,,
6.2699396,1600,,,,
6.3553286,1600,,,,
6.5383207,1600,,,,
6.3854636,1600,,,,
6.4502605,1600,,,,
6.4437239,1600,,,,
6.3247983,1600,,,,
7.4089018,1600,,,,
6.4784956,1600,,,,
6.6385916,1600,,,,
6.777153,1600,,,,
6.4857087,1600,,,,
6.4754423,1600,,,,
6.2517212,1600,,,,
6.274973,1600,,,,
6.2664847,1600,,,,
6.3216654,1600,,,,
6.4867268,1600,,,,
6.2648624,1600,,,,
6.3339521,1600,,,,
7.0512724,1600,,,,
6.6961239,1600,,,,
6.2408611,1600,,,,
6.3744729,1600,,,,
6.4693649,1600,,,,
6.3867348,1600,,,,
6.2957945,1600,,,,
6.2651176,1600,,,,
6.2369433,1600,,,,
7.3193104,1600,,,,
6.4156869,1600,,,,
6.5095543,1600,,,,
6.3980931,1600,,,,
6.2737996,1600,,,,
6.37823,1600,,,,
6.3561745,1600,,,,
6.4184942,1600,,,,
6.4350581,1600,,,,
7.8735549,1600,,,,
7.1589165,1600,,,,
7.547639,1600,,,,
6.5209359,1600,,,,
6.4309767,1600,,,,
6.8294637,1600,,,,
7.4539245,1600,,,,
7.8404834,1600,,,,
7.5309796,1600,,,,
7.4299579,1600,,,,
7.4228861,1600,,,,
7.8547948,1600,,,,
7.8042641,1600,,,,
7.4538251,1600,,,,
7.3630127,1600,,,,
7.5104677,1600,,,,
7.4480328,1600,,,,
7.311598,1600,,,,
7.6225223,1600,,,,
7.771864,1600,,,,
7.6159296,1600,,,,
7.3803902,1600,,,,
7.4961023,1600,,,,
7.7846568,1600,,,,
7.0857946,1600,,,,
7.2029695,1600,,,,
7.0615163,1600,,,,
7.2519448,1600,,,,
7.3435138,1600,,,,
7.4719377,1600,,,,
7.0058379,1600,,,,
7.0664406,1600,,,,
7.1099857,1600,,,,
7.2428937,1600,,,,
7.9656692,1600,,,,
7.5213739,1600,,,,
7.6307661,1600,,,,
7.6842361,1600,,,,
7.5013796,1600,,,,
7.6146777,1600,,,,
7.6322407,1600,,,,
7.7844292,1600,,,,
7.6984115,1600,,,,
7.7331237,1600,,,,
7.3825416,1600,,,,
7.4249701,1600,,,,
7.385475,1600,,,,
7.4991142,1600,,,,
7.1549309,1600,,,,
7.4402651,1600,,,,
7.1691206,1600,,,,
7.2264468,1600,,,,
7.7780176,1600,,,,
7.431156,1600,,,,
7.218828,1600,,,,
7.5508924,1600,,,,
7.7304516,1600,,,,
7.5863151,1600,,,,
7.448798,1600,,,,
7.4326736,1600,,,,
7.2631209,1600,,,,
7.3972373,1600,,,,
7.577097,1600,,,,
6.9461382,1600,,,,
7.1550619,1600,,,,
7.6974819,1600,,,,
7.4886469,1600,,,,
6.8483305,1600,,,,
7.3329585,1600,,,,
7.3439389,1600,,,,
6.827717,1600,,,,
6.7032897,1600,,,,
7.4062593,1600,,,,
7.903427,1600,,,,
7.7983602,1600,,,,
7.7388894,1600,,,,
7.5933295,1600,,,,
7.2932033,1600,,,,
7.7383426,1600,,,,
6.8089788,1600,,,,
7.0152225,1600,,,,
7.3463298,1600,,,,
7.2548204,1600,,,,
6.66763,1600,,,,
6.7336338,1600,,,,
6.9878096,1600,,,,
7.5050572,1600,,,,
7.5316934,1600,,,,
