Max Component Sizes,Compute Time (s),runScen3_1_rand,,Average Compute Time (s),Average Comp. Size
7.8162731,1590,,,7.774854078,1586.535
7.8239657,1553,,,,
7.7197562,1594,,,,
7.935399,1573,,,,
7.7030905,1595,,,,
7.7811769,1566,,,,
7.7789322,1600,,,,
7.7398571,1595,,,,
7.6521648,1587,,,,
7.821183,1591,,,,
7.7414071,1571,,,,
7.6845471,1498,,,,
7.7386598,1592,,,,
7.7541012,1596,,,,
7.7537926,1588,,,,
7.7062396,1595,,,,
7.7239435,1600,,,,
7.8540444,1598,,,,
7.6535944,1597,,,,
7.7279303,1594,,,,
7.8442779,1594,,,,
7.9264335,1600,,,,
7.7852987,1546,,,,
7.8135934,1591,,,,
7.8980083,1585,,,,
7.5859726,1583,,,,
7.7903739,1573,,,,
7.764209,1600,,,,
7.8209037,1527,,,,
7.8672753,1600,,,,
7.7676194,1600,,,,
7.8676289,1588,,,,
7.676129,1588,,,,
7.777018,1592,,,,
7.7349825,1597,,,,
7.7545101,1590,,,,
7.7166628,1597,,,,
7.7205827,1596,,,,
7.8312043,1600,,,,
7.7541901,1583,,,,
7.7432679,1578,,,,
7.6262058,1576,,,,
7.7560739,1582,,,,
8.0020717,1600,,,,
7.8736222,1556,,,,
7.7377602,1600,,,,
7.7661069,1595,,,,
7.6901274,1596,,,,
7.6933514,1594,,,,
7.7051422,1600,,,,
7.7706315,1588,,,,
7.759181,1586,,,,
7.5846336,1600,,,,
7.6588574,1597,,,,
7.7796958,1600,,,,
7.6924033,1587,,,,
7.7610402,1595,,,,
7.7405682,1523,,,,
7.7982583,1581,,,,
7.7764739,1593,,,,
7.8545008,1578,,,,
7.8376529,1593,,,,
7.7373663,1591,,,,
7.7289829,1587,,,,
7.6749952,1587,,,,
7.745694,1590,,,,
7.6851238,1600,,,,
7.7756948,1595,,,,
7.720115,1597,,,,
7.6970149,1486,,,,
7.7253931,1597,,,,
7.8277396,1593,,,,
7.7742347,1600,,,,
7.7608602,1595,,,,
8.0528712,1600,,,,
7.9131955,1596,,,,
7.7765516,1587,,,,
7.7799566,1579,,,,
7.737812,1567,,,,
7.763913,1600,,,,
7.8340521,1584,,,,
7.734016,1596,,,,
7.6891319,1573,,,,
7.8678746,1594,,,,
7.7982876,1592,,,,
7.8455889,1593,,,,
7.8204803,1592,,,,
7.8185493,1600,,,,
7.8944225,1573,,,,
7.6910388,1600,,,,
7.7725191,1600,,,,
7.8348582,1600,,,,
7.643886,1569,,,,
7.6629495,1586,,,,
7.7192644,1600,,,,
7.6296006,1589,,,,
7.6150551,1573,,,,
7.7252502,1598,,,,
7.842255,1589,,,,
7.7307871,1583,,,,
7.7853101,1586,,,,
7.6952638,1571,,,,
7.7694206,1600,,,,
7.8703791,1387,,,,
7.7649497,1594,,,,
7.6695777,1579,,,,
7.7921006,1565,,,,
7.7324363,1600,,,,
7.7220664,1600,,,,
7.7308762,1594,,,,
7.7871197,1584,,,,
7.9028611,1585,,,,
7.8182722,1594,,,,
7.7355221,1594,,,,
7.6818807,1594,,,,
7.7831565,1600,,,,
7.794882,1585,,,,
7.7407953,1600,,,,
7.8110828,1593,,,,
7.6626959,1596,,,,
7.8240173,1592,,,,
7.8267322,1591,,,,
7.7126799,1578,,,,
7.8338959,1600,,,,
7.6662092,1595,,,,
7.8105438,1594,,,,
7.8300169,1600,,,,
7.8313231,1588,,,,
7.7280603,1576,,,,
7.8204902,1566,,,,
7.9330101,1580,,,,
7.8750408,1600,,,,
7.8198667,1594,,,,
7.6552804,1588,,,,
7.7280553,1579,,,,
7.7387451,1600,,,,
7.7776502,1576,,,,
7.8639424,1600,,,,
7.8454816,1600,,,,
7.9260064,1600,,,,
7.7536449,1597,,,,
7.9408397,1592,,,,
7.8024336,1586,,,,
7.7590062,1522,,,,
7.7915331,1542,,,,
7.7702848,1600,,,,
7.6218525,1600,,,,
7.7878177,1582,,,,
7.7687593,1596,,,,
7.7548654,1583,,,,
7.7643504,1600,,,,
7.722775,1566,,,,
7.6933862,1568,,,,
7.7778534,1597,,,,
7.7675694,1600,,,,
7.6971315,1600,,,,
7.7367997,1590,,,,
7.8329283,1600,,,,
7.6355702,1591,,,,
7.7889565,1594,,,,
7.7427694,1600,,,,
7.7672032,1600,,,,
7.8655396,1600,,,,
7.7317014,1583,,,,
7.8481156,1600,,,,
7.6844234,1592,,,,
7.8199075,1600,,,,
7.7513933,1589,,,,
7.6841654,1596,,,,
7.8021063,1568,,,,
7.8641073,1583,,,,
7.9368546,1583,,,,
7.8357062,1600,,,,
7.9999653,1515,,,,
7.8177269,1585,,,,
7.7659459,1591,,,,
7.6923484,1600,,,,
7.8698983,1590,,,,
7.8718755,1596,,,,
7.950585,1600,,,,
7.9049432,1591,,,,
7.8766754,1595,,,,
7.7827031,1587,,,,
7.801391,1592,,,,
7.8037284,1591,,,,
7.8497926,1586,,,,
7.8524431,1597,,,,
7.7693902,1595,,,,
7.7219233,1581,,,,
7.7382111,1583,,,,
7.7950312,1587,,,,
7.7285525,1597,,,,
7.827774,1592,,,,
7.6350873,1595,,,,
7.8724089,1600,,,,
7.8069316,1593,,,,
7.6526079,1600,,,,
7.7738984,1562,,,,
7.7277549,1596,,,,
7.8192339,1580,,,,
