Test #0: num_ppl = 2.000000e+00, k = 5, locations = [5, 5], timeTaken = 0.0012089999999999046 seconds
Test #1: num_ppl = 4.000000e+00, k = 5, locations = [5, 5], timeTaken = 0.0004237999999999742 seconds
Test #2: num_ppl = 1.600000e+01, k = 5, locations = [5, 5], timeTaken = 0.00043079999999995344 seconds
Test #3: num_ppl = 2.560000e+02, k = 5, locations = [5, 5], timeTaken = 0.00041669999999993657 seconds
Test #4: num_ppl = 6.553600e+04, k = 5, locations = [5, 5], timeTaken = 0.0004322000000001047 seconds
Test #5: num_ppl = 4.294967e+09, k = 5, locations = [5, 5], timeTaken = 0.0004262999999999906 seconds
Test #6: num_ppl = 1.844674e+19, k = 5, locations = [5, 5], timeTaken = 0.00043450000000000433 seconds
Test #7: num_ppl = 3.402824e+38, k = 5, locations = [5, 5], timeTaken = 0.0005218000000000167 seconds
Test #8: num_ppl = 1.157921e+77, k = 5, locations = [5, 5], timeTaken = 0.00048070000000000057 seconds
Test #9: num_ppl = 1.340781e+154, k = 5, locations = [5, 5], timeTaken = 0.00045530000000004733 seconds
Test #0: num_ppl = 2.000000e+00, k = 5, locations = [5, 5], timeTaken = 0.0012579999999999814 seconds
Test #1: num_ppl = 4.000000e+00, k = 5, locations = [5, 5], timeTaken = 0.0004381999999999442 seconds
Test #2: num_ppl = 1.600000e+01, k = 5, locations = [5, 5], timeTaken = 0.00044850000000007384 seconds
Test #3: num_ppl = 2.560000e+02, k = 5, locations = [5, 5], timeTaken = 0.0004225999999999397 seconds
Test #4: num_ppl = 6.553600e+04, k = 5, locations = [5, 5], timeTaken = 0.0004321999999999937 seconds
Test #5: num_ppl = 4.294967e+09, k = 5, locations = [5, 5], timeTaken = 0.0004403000000000601 seconds
Test #6: num_ppl = 1.844674e+19, k = 5, locations = [5, 5], timeTaken = 0.00043560000000009147 seconds
Test #7: num_ppl = 3.402824e+38, k = 5, locations = [5, 5], timeTaken = 0.0005211999999999994 seconds
Test #8: num_ppl = 1.157921e+77, k = 5, locations = [5, 5], timeTaken = 0.00042789999999992556 seconds
Test #9: num_ppl = 1.340781e+154, k = 5, locations = [5, 5], timeTaken = 0.00044050000000006584 seconds
Test #0: num_ppl = 1000, k = 5, locations = ['2.000000e+00', '2.000000e+00'], timeTaken = 0.00036320000000000796 seconds
Test #1: num_ppl = 1000, k = 5, locations = ['4.000000e+00', '4.000000e+00'], timeTaken = 0.00041450000000009535 seconds
Test #2: num_ppl = 1000, k = 5, locations = ['1.600000e+01', '1.600000e+01'], timeTaken = 0.0007232999999999823 seconds
Test #3: num_ppl = 1000, k = 5, locations = ['2.560000e+02', '2.560000e+02'], timeTaken = 0.007899100000000048 seconds
